form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὦ	ὦ	1	i	-	-	-	-	-	-	-	-
τέκνα	τέκνον	2	n	-	p	-	-	-	n	v	-
,	,	3	u	-	-	-	-	-	-	-	-
Κάδμου	Κάδμος	4	n	-	s	-	-	-	m	g	-
τοῦ	ὁ	5	l	-	s	-	-	-	m	g	-
πάλαι	πάλαι	6	d	-	-	-	-	-	-	-	-
νέα	νέος	7	a	-	s	-	-	-	f	v	-
τροφή	τροφή	8	n	-	s	-	-	-	f	v	-
,	,	9	u	-	-	-	-	-	-	-	-
τίνας	τις	10	p	-	p	-	-	-	f	a	-
ποθ'	ποτέ	11	d	-	-	-	-	-	-	-	-
ἕδρας	ἕδρα	12	n	-	p	-	-	-	f	a	-
τάσδε	ὅδε	13	p	-	p	-	-	-	f	a	-
μοι	ἐγώ	14	p	-	s	-	-	-	m	d	-
θοάζετε	θοάζω	15	v	2	p	p	i	a	-	-	-
ἱκτηρίοις	ἱκετήριος	16	a	-	p	-	-	-	m	d	-
κλάδοισιν	κλάδος	17	n	-	p	-	-	-	m	d	-
ἐξεστεμμένοι	ἐκστέφω	18	v	-	p	r	p	e	m	n	-
;	;	19	u	-	-	-	-	-	-	-	-

πόλις	πόλις	1	n	-	s	-	-	-	f	n	-
δ'	δέ	2	d	-	-	-	-	-	-	-	-
ὁμοῦ	ὁμοῦ	3	d	-	-	-	-	-	-	-	-
μὲν	μέν	4	d	-	-	-	-	-	-	-	-
θυμιαμάτων	θυμίαμα	5	n	-	p	-	-	-	n	g	-
γέμει	γέμω	6	v	3	s	p	i	a	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
ὁμοῦ	ὁμοῦ	8	d	-	-	-	-	-	-	-	-
δὲ	δέ	9	d	-	-	-	-	-	-	-	-
παιάνων	Παιάν	10	n	-	p	-	-	-	m	g	-
τε	τε	11	c	-	-	-	-	-	-	-	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
στεναγμάτων	στέναγμα	13	n	-	p	-	-	-	n	g	-
·	·	14	u	-	-	-	-	-	-	-	-

ἁγὼ	ἐγώ	1	p	-	s	-	-	-	m	n	-
δικαιῶν	δικαιόω	2	v	-	s	p	p	a	m	n	-
μὴ	μή	3	d	-	-	-	-	-	-	-	-
παρ'	παρά	4	r	-	-	-	-	-	-	-	-
ἀγγέλων	ἄγγελος	5	n	-	p	-	-	-	m	g	-
,	,	6	u	-	-	-	-	-	-	-	-
τέκνα	τέκνον	7	n	-	p	-	-	-	n	v	-
,	,	8	u	-	-	-	-	-	-	-	-
ἄλλων	ἄλλος	9	p	-	p	-	-	-	m	g	-
ἀκούειν	ἀκούω	10	v	-	-	p	n	a	-	-	-
αὐτὸς	αὐτός	11	p	-	s	-	-	-	m	n	-
ὧδ'	ὧδε	12	d	-	-	-	-	-	-	-	-
ἐλήλυθα	ἔρχομαι	13	v	1	s	r	i	a	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
ὁ	ὁ	15	l	-	s	-	-	-	m	n	-
πᾶσι	πᾶς	16	p	-	p	-	-	-	m	d	-
κλεινὸς	κλεινός	17	a	-	s	-	-	-	m	n	-
Οἰδίπους	Οἰδίπους	18	n	-	s	-	-	-	m	n	-
καλούμενος	καλέω	19	v	-	s	p	p	e	m	n	-
.	.	20	u	-	-	-	-	-	-	-	-

ἀλλ'	ἀλλά	1	c	-	-	-	-	-	-	-	-
ὦ	ὦ	2	i	-	-	-	-	-	-	-	-
γεραιέ	γεραιός	3	a	-	s	-	-	-	m	v	-
,	,	4	u	-	-	-	-	-	-	-	-
φράζ'	φράζω	5	v	2	s	p	m	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
ἐπεὶ	ἐπεί	7	c	-	-	-	-	-	-	-	-
πρέπων	πρέπω	8	v	-	s	p	p	a	m	n	-
ἔφυς	φύω	9	v	2	s	a	i	a	-	-	-
πρὸ	πρό	10	r	-	-	-	-	-	-	-	-
τῶνδε	ὅδε	11	p	-	p	-	-	-	m	g	-
φωνεῖν	φωνέω	12	v	-	-	p	n	a	-	-	-
,	,	13	u	-	-	-	-	-	-	-	-
τίνι	τίς	14	p	-	s	-	-	-	m	d	-
τρόπῳ	τρόπος	15	n	-	s	-	-	-	m	d	-
καθέστατε	καθίστημι	16	v	2	p	r	i	a	-	-	-
,	,	17	u	-	-	-	-	-	-	-	-
δείσαντες	δείδω	18	v	-	p	a	p	a	m	n	-
ἢ	ἤ	19	c	-	-	-	-	-	-	-	-
στέρξαντες	στέργω	20	v	-	p	a	p	a	m	n	-
;	;	21	u	-	-	-	-	-	-	-	-

ὡς	ὡς	1	c	-	-	-	-	-	-	-	-
θέλοντος	ἐθέλω	2	v	-	s	p	p	a	m	g	-
ἂν	ἄν1	3	d	-	-	-	-	-	-	-	-
ἐμοῦ	ἐγώ	4	p	-	s	-	-	-	m	g	-
προσαρκεῖν	προσαρκέω	5	v	-	-	p	n	a	-	-	-
πᾶν	πᾶς	6	p	-	s	-	-	-	n	a	-
·	·	7	u	-	-	-	-	-	-	-	-

δυσάλγητος	δυσάλγητος	1	a	-	s	-	-	-	m	n	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἂν	ἄν1	3	d	-	-	-	-	-	-	-	-
εἴην	εἰμί	4	v	1	s	p	o	a	-	-	-
τοιάνδε	τοιόσδε	5	p	-	s	-	-	-	f	a	-
μὴ	μή	6	c	-	-	-	-	-	-	-	-
οὐ	οὐ	7	d	-	-	-	-	-	-	-	-
