form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
προαιρούμεθα	προαιρέω	3	v	1	p	p	i	e	-	-	-
θεωρῆσαι	θεωρέω	4	v	-	-	a	n	a	-	-	-
περὶ	περί	5	r	-	-	-	-	-	-	-	-
τῆς	ὁ	6	l	-	s	-	-	-	f	g	-
κοινωνίας	κοινωνία	7	n	-	s	-	-	-	f	g	-
τῆς	ὁ	8	l	-	s	-	-	-	f	g	-
πολιτικῆς	πολιτικός	9	a	-	s	-	-	-	f	g	-
,	,	10	u	-	-	-	-	-	-	-	-
τίς	τις	11	p	-	s	-	-	-	f	n	-
κρατίστη	κράτιστος	12	a	-	s	-	-	-	f	n	-
πασῶν	πᾶς	13	a	-	p	-	-	-	f	g	-
τοῖς	ὁ	14	l	-	p	-	-	-	m	d	-
δυναμένοις	δύναμαι	15	v	-	p	p	p	e	m	d	-
ζῆν	ζάω	16	v	-	-	p	n	a	-	-	-
ὅτι	ὅτι2	17	c	-	-	-	-	-	-	-	-
μάλιστα	μάλιστα	18	d	-	-	-	-	-	-	-	-
κατ ̓	κατά	19	r	-	-	-	-	-	-	-	-
εὐχήν	εὐχή	20	n	-	s	-	-	-	f	a	-
,	,	21	u	-	-	-	-	-	-	-	-
δεῖ	δεῖ	22	v	3	s	p	i	a	-	-	-
καὶ	καί	23	d	-	-	-	-	-	-	-	-
τὰς	ὁ	24	l	-	p	-	-	-	f	a	-
ἄλλας	ἄλλος	25	a	-	p	-	-	-	f	a	_
ἐπισκέψασθαι	ἐπισκέπτομαι	26	v	-	-	a	n	e	-	-	-
πολιτείας	πολιτεία	27	n	-	s	-	-	-	f	g	-
,	,	28	u	-	-	-	-	-	-	-	-
αἷς	ὅς	29	p	-	p	-	-	-	f	d	-
τε	τε	30	d	-	-	-	-	-	-	-	-
χρῶνταί	χράομαι	31	v	3	p	p	s	e	-	-	-
τινες	τις	32	p	-	p	-	-	-	f	n	-
τῶν	ὁ	33	l	-	p	-	-	-	f	g	-
πόλεων	πόλις	34	n	-	p	-	-	-	f	g	-
τῶν	ὁ	35	l	-	p	-	-	-	f	g	-
εὐνομεῖσθαι	εὐνομέομαι	36	v	-	-	p	n	e	-	-	-
λεγομένων	λέγω3	37	v	-	p	p	p	e	f	g	-
