form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
οἶδα	οἶδα	1	v	1	s	r	i	a	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
περὶ	περί	4	r	-	-	-	-	-	-	-	-
κάλλους	κάλλος	5	n	-	s	-	-	-	n	g	-
γυναικῶν	γυνή	6	n	-	p	-	-	-	f	g	-
ἀγῶνά	ἀγών	7	n	-	s	-	-	-	m	a	-
ποτε	ποτέ	8	d	-	-	-	-	-	-	-	-
διατεθέντα	διατίθημι	9	v	-	s	a	p	p	m	a	-
:	punc1	10	u	-	-	-	-	-	-	-	-

περὶ	περί	1	r	-	-	-	-	-	-	-	-
οὗ	ὅς	2	p	-	s	-	-	-	m	g	-
ἱστορῶν	ἱστορέω	3	v	-	s	p	p	a	m	n	-
Νικίας	Νικίας	4	n	-	s	-	-	-	m	n	-
ἐν	ἐν	5	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	6	l	-	p	-	-	-	n	d	-
Ἀρκαδικοῖς	Ἀρκαδικός	7	a	-	p	-	-	-	n	d	-
διαθεῖναί	διατίθημι	8	v	-	-	a	n	a	-	-	-
φησιν	φημί	9	v	3	s	p	i	a	-	-	-
αὐτὸν	αὐτός	10	p	-	s	-	-	-	m	a	-
Κύψελον	Κύψελος	11	n	-	s	-	-	-	m	a	-
,	punc1	12	u	-	-	-	-	-	-	-	-
πόλιν	πόλις	13	n	-	s	-	-	-	f	a	-
κτίσαντα	κτίζω	14	v	-	s	a	p	a	m	a	-
ἐν	ἐν	15	r	-	-	-	-	-	-	-	-
τῷ	ὁ	16	l	-	s	-	-	-	n	d	-
πεδίῳ	πεδίον	17	n	-	s	-	-	-	n	d	-
περὶ	περί	18	r	-	-	-	-	-	-	-	-
τὸν	ὁ	19	l	-	s	-	-	-	m	a	-
Ἀλφειόν	Ἀλφειός	20	n	-	s	-	-	-	m	a	-
:	punc1	21	u	-	-	-	-	-	-	-	-

εἰς	εἰς	1	r	-	-	-	-	-	-	-	-
ἣν	ὅς	2	p	-	s	-	-	-	f	a	-
κατοικίσαντα	κατοικίζω	3	v	-	s	a	p	a	m	a	-
Παρρασίων	Παρράσιος	4	n	-	p	-	-	-	m	g	-
τινὰς	τις	5	p	-	p	-	-	-	m	a	-
τέμενος	τέμενος	6	n	-	s	-	-	-	n	a	-
καὶ	καί	7	c	-	-	-	-	-	-	-	-
βωμὸν	βωμός	8	n	-	s	-	-	-	m	a	-
ἀναστῆσαι	ἀνίστημι	9	v	-	-	a	n	a	-	-	-
Δήμητρι	Δημήτηρ	10	n	-	s	-	-	-	f	d	-
Ἐλευσινίᾳ	Ἐλευσίνιος	11	a	-	s	-	-	-	f	d	-
,	punc1	12	u	-	-	-	-	-	-	-	-
ἧς	ὅς	13	p	-	s	-	-	-	f	g	-
ἐν	ἐν	14	r	-	-	-	-	-	-	-	-
τῇ	ὁ	15	l	-	s	-	-	-	f	d	-
ἑορτῇ	ἑορτή	16	n	-	s	-	-	-	f	d	-
καὶ	καί	17	d	-	-	-	-	-	-	-	-
τὸν	ὁ	18	l	-	s	-	-	-	m	a	-
τοῦ	ὁ	19	l	-	s	-	-	-	n	g	-
κάλλους	κάλλος	20	n	-	s	-	-	-	n	g	-
ἀγῶνα	ἀγών	21	n	-	s	-	-	-	m	a	-
ἐπιτελέσαι	ἐπιτελέω	22	v	3	s	a	o	a	-	-	-
:	punc1	23	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
νικῆσαι	νικάω	2	v	-	-	a	n	a	-	-	-
πρῶτον	πρῶτος	3	a	-	s	-	-	-	m	a	-
αὐτοῦ	αὐτός	4	p	-	s	-	-	-	m	g	-
τὴν	ὁ	5	l	-	s	-	-	-	f	a	-
γυναῖκα	γυνή	6	n	-	s	-	-	-	f	a	-
Ἡροδίκην	Ἡροδίκη	7	n	-	s	-	-	-	f	a	-
.	punc1	8	u	-	-	-	-	-	-	-	-

ἐπιτελεῖται	ἐπιτελέω	1	v	3	s	p	i	e	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
μέχρι	μέχρι	4	d	-	-	-	-	-	-	-	-
νῦν	νῦν	5	d	-	-	-	-	-	-	-	-
ὁ	ὁ	6	l	-	s	-	-	-	m	n	-
ἀγὼν	ἀγών	7	n	-	s	-	-	-	m	n	-
οὗτος	οὗτος	8	a	-	s	-	-	-	m	n	_
,	punc1	9	u	-	-	-	-	-	-	-	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
αἱ	ὁ	11	l	-	p	-	-	-	f	n	-
ἀγωνιζόμεναι	ἀγωνίζομαι	12	v	-	p	p	p	e	f	n	-
γυναῖκες	γυνή	13	n	-	p	-	-	-	f	n	-
χρυσοφόροι	χρυσοφόρος	14	a	-	p	-	-	-	f	n	-
ὀνομάζονται	ὀνομάζω	15	v	3	p	p	i	e	-	-	-
.	punc1	16	u	-	-	-	-	-	-	-	-

Θεόφραστος	Θεόφραστος	1	n	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἀγῶνα	ἀγών	3	n	-	s	-	-	-	m	a	-
κάλλους	κάλλος	4	n	-	s	-	-	-	n	g	-
φησὶ	φημί	5	v	3	s	p	i	a	-	-	-
γίνεσθαι	γίγνομαι	6	v	-	-	p	n	e	-	-	-
παρὰ	παρά	7	r	-	-	-	-	-	-	-	-
Ἠλείοις	Ἠλεῖος	8	n	-	p	-	-	-	m	d	-
,	punc1	9	u	-	-	-	-	-	-	-	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
τὴν	ὁ	11	l	-	s	-	-	-	f	a	-
κρίσιν	κρίσις	12	n	-	s	-	-	-	f	a	-
ἐπιτελεῖσθαι	ἐπιτελέω	13	v	-	-	p	n	e	-	-	-
μετὰ	μετά	14	r	-	-	-	-	-	-	-	-
σπουδῆς	σπουδή	15	n	-	s	-	-	-	f	g	-
λαμβάνειν	λαμβάνω	16	v	-	-	p	n	a	-	-	-
τε	τε	17	c	-	-	-	-	-	-	-	-
