form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
πολλά	πολύς	1	a	-	p	-	-	-	n	n	-
με	ἐγώ	2	p	1	s	-	-	-	m	a	-
τὰ	ὁ	3	l	-	p	-	-	-	n	n	-
παρακαλοῦντα	παρακαλέω	4	v	-	p	p	p	a	n	n	-
ἦν	εἰμί	5	v	3	s	i	i	a	-	-	-
,	punc1	6	u	-	-	-	-	-	-	-	-
ὦ	ὦ	7	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	8	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	9	a	-	p	-	-	-	m	v	-
,	punc1	10	u	-	-	-	-	-	-	-	-
γράψασθαι	γράφω	11	v	-	-	a	n	m	-	-	-
Νέαιραν	Νέαιρα	12	n	-	s	-	-	-	f	a	-
τὴν	ὁ	13	l	-	s	-	-	-	f	a	-
γραφὴν	γραφή	14	n	-	s	-	-	-	f	a	-
ταυτηνὶ	οὗτος	15	a	-	s	-	-	-	f	a	_
καὶ	καί	16	c	-	-	-	-	-	-	-	-
εἰσελθεῖν	εἰσέρχομαι	17	v	-	-	a	n	a	-	-	-
εἰς	εἰς	18	r	-	-	-	-	-	-	-	-
ὑμᾶς	σύ	19	p	-	p	-	-	-	m	a	-
.	punc1	20	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἠδικήμεθα	ἀδικέω	3	v	1	p	r	i	e	-	-	-
ὑπὸ	ὑπό	4	r	-	-	-	-	-	-	-	-
Στεφάνου	Στέφανος	5	n	-	s	-	-	-	m	g	-
μεγάλα	μέγας	6	a	-	p	-	-	-	n	a	_
,	punc1	7	u	-	-	-	-	-	-	-	-
καὶ	καί	8	c	-	-	-	-	-	-	-	-
εἰς	εἰς	9	r	-	-	-	-	-	-	-	-
κινδύνους	κίνδυνος	10	n	-	p	-	-	-	m	a	-
τοὺς	ὁ	11	l	-	p	-	-	-	m	a	-
