form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τίσι	τις	1	a	-	p	-	-	-	m	d	_
δ ̓	δέ	2	d	-	-	-	-	-	-	-	-
ὀφθαλμοῖς	ὀφθαλμός	3	n	-	p	-	-	-	m	d	-
πρὸς	πρός	4	r	-	-	-	-	-	-	-	-
Διὸς	Ζεύς	5	n	-	s	-	-	-	m	g	-
ἑωρῶμεν	ὁράω	6	v	1	p	i	i	a	-	-	-
ἂν	ἄν1	7	d	-	-	-	-	-	-	-	-
τοὺς	ὁ	8	l	-	p	-	-	-	m	a	-
εἰς	εἰς	9	r	-	-	-	-	-	-	-	-
τὴν	ὁ	10	l	-	s	-	-	-	f	a	-
πόλιν	πόλις	11	n	-	s	-	-	-	f	a	-
ἀνθρώπους	ἄνθρωπος	12	n	-	p	-	-	-	m	a	-
ἀφικνουμένους	ἀφικνέομαι	13	v	-	p	p	p	e	m	a	-
,	,	14	u	-	-	-	-	-	-	-	-
εἰ	εἰ	15	c	-	-	-	-	-	-	-	-
τὰ	ὁ	16	l	-	p	-	-	-	n	n	-
μὲν	μέν	17	d	-	-	-	-	-	-	-	-
πράγματ ̓	πρᾶγμα	18	n	-	p	-	-	-	n	n	-
εἰς	εἰς	19	r	-	-	-	-	-	-	-	-
ὅπερ	ὅσπερ	20	p	-	s	-	-	-	n	a	-
νυνὶ	νυνί	21	d	-	-	-	-	-	-	-	-
περιέστη	περιίστημι	22	v	3	s	a	i	a	-	-	-
,	,	23	u	-	-	-	-	-	-	-	-
ἡγεμὼν	ἡγεμών	24	n	-	s	-	-	-	m	n	-
δὲ	δέ	25	d	-	-	-	-	-	-	-	-
καὶ	καί	26	c	-	-	-	-	-	-	-	-
κύριος	κύριος	27	n	-	s	-	-	-	m	n	-
ᾑρέθη	αἱρέω	28	v	3	s	a	i	p	-	-	-
Φίλιππος	Φίλιππος	29	n	-	s	-	-	-	m	n	-
ἁπάντων	ἅπας	30	a	-	p	-	-	-	m	g	-
,	,	31	u	-	-	-	-	-	-	-	-
τὸν	ὁ	32	l	-	s	-	-	-	m	a	-
δ ̓	δέ	33	c	-	-	-	-	-	-	-	-
ὑπὲρ	ὑπέρ	34	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	35	l	-	s	-	-	-	n	g	-
μὴ	μή	36	d	-	-	-	-	-	-	-	-
γενέσθαι	γίγνομαι	37	v	-	-	a	n	m	-	-	-
ταῦτ ̓	οὗτος	38	a	-	p	-	-	-	n	a	_
ἀγῶνα	ἀγών	39	n	-	s	-	-	-	m	a	-
ἕτεροι	ἕτερος	40	a	-	p	-	-	-	m	n	-
χωρὶς	χωρίς	41	r	-	-	-	-	-	-	-	-
ἡμῶν	ἐγώ	42	p	1	p	-	-	-	m	g	-
ἦσαν	εἰμί	43	v	3	p	i	i	a	-	-	-
πεποιημένοι	ποιέω	44	v	-	p	r	p	e	m	n	-
,	,	45	u	-	-	-	-	-	-	-	-
καὶ	καί	46	c	-	-	-	-	-	-	-	-
ταῦτα	οὗτος	47	p	-	p	-	-	-	n	a	-
μηδεπώποτε	μηδεπώποτε	48	d	-	-	-	-	-	-	-	-
τῆς	ὁ	49	l	-	s	-	-	-	f	g	-
πόλεως	πόλις	50	n	-	s	-	-	-	f	g	-
ἐν	ἐν	51	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	52	l	-	p	-	-	-	m	d	-
ἔμπροσθεν	ἔμπροσθεν	53	d	-	-	-	-	-	-	-	-
χρόνοις	χρόνος	54	n	-	p	-	-	-	m	d	-
ἀσφάλειαν	ἀσφάλεια	55	n	-	s	-	-	-	f	a	-
ἄδοξον	ἄδοξος	56	a	-	s	-	-	-	f	a	-
μᾶλλον	μᾶλλον	57	d	-	-	-	-	-	-	-	-
ἢ	ἤ1	58	c	-	-	-	-	-	-	-	-
τὸν	ὁ	59	l	-	s	-	-	-	m	a	-
ὑπὲρ	ὑπέρ	60	r	-	-	-	-	-	-	-	-
τῶν	ὁ	61	l	-	p	-	-	-	n	g	-
καλῶν	κάλη	62	n	-	p	-	-	-	f	g	-
κίνδυνον	κίνδυνος	63	n	-	s	-	-	-	m	a	-
ᾑρημένης	αἱρέω	64	v	-	s	r	p	e	f	g	-
.	.	65	u	-	-	-	-	-	-	-	-

τίς	τις	1	p	-	s	-	-	-	m	n	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
οὐκ	οὐ	3	d	-	-	-	-	-	-	-	-
οἶδεν	οἶδα	4	v	3	s	r	i	a	-	-	-
Ἑλλήνων	Ἕλλην	5	n	-	p	-	-	-	m	g	-
,	,	6	u	-	-	-	-	-	-	-	-
τίς	τις	7	p	-	s	-	-	-	m	n	-
δὲ	δέ	8	c	-	-	-	-	-	-	-	-
