form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἡ	ὁ	1	l	-	s	-	-	-	f	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
πρὸ	πρό	4	r	-	-	-	-	-	-	-	-
ταύτης	οὗτος	5	p	-	s	-	-	-	f	g	-
βίβλος	βίβλος	6	n	-	s	-	-	-	f	n	-
,	,	7	u	-	-	-	-	-	-	-	-
τῆς	ὁ	8	l	-	s	-	-	-	f	g	-
ὅλης	ὁλάω	9	v	2	s	i	i	a	-	-	-
συντάξεως	σύνταξις	10	n	-	s	-	-	-	f	g	-
οὖσα	εἰμί	11	v	-	s	p	p	a	f	n	-
δεκάτη	δεκάτη	12	n	-	s	-	-	-	f	n	-
,	,	13	u	-	-	-	-	-	-	-	-
τὸ	ὁ	14	l	-	s	-	-	-	n	a	-
τέλος	τέλος	15	n	-	s	-	-	-	n	a	-
ἔσχε	ἔχω	16	v	3	s	a	i	a	-	-	-
τῶν	ὁ	17	l	-	p	-	-	-	f	g	-
πράξεων	πρᾶξις	18	n	-	p	-	-	-	f	g	-
εἰς	εἰς	19	r	-	-	-	-	-	-	-	-
τὸν	ὁ	20	l	-	s	-	-	-	m	a	-
προηγούμενον	προηγέομαι	21	v	-	s	p	p	e	m	a	-
ἐνιαυτὸν	ἐνιαυτός	22	n	-	s	-	-	-	m	a	-
τῆς	ὁ	23	l	-	s	-	-	-	f	g	-
Ξέρξου	Ξέρξης	24	n	-	s	-	-	-	m	g	-
διαβάσεως	διάβασις	25	n	-	s	-	-	-	f	g	-
εἰς	εἰς	26	r	-	-	-	-	-	-	-	-
τὴν	ὁ	27	l	-	s	-	-	-	f	a	-
Εὐρώπην	Εὐρώπη	28	n	-	s	-	-	-	f	a	-
καὶ	καί	29	c	-	-	-	-	-	-	-	-
εἰς	εἰς	30	r	-	-	-	-	-	-	-	-
τὰς	ὁ	31	l	-	p	-	-	-	f	a	-
γενομένας	γίγνομαι	32	v	-	p	a	p	m	f	a	-
δημηγορίας	δημηγορία	33	n	-	p	-	-	-	f	a	-
ἐν	ἐν	34	r	-	-	-	-	-	-	-	-
τῇ	ὁ	35	l	-	s	-	-	-	f	d	-
κοινῇ	κοινός	36	a	-	s	-	-	-	f	d	-
συνόδῳ	σύνοδος2	37	n	-	s	-	-	-	f	d	-
τῶν	ὁ	38	l	-	p	-	-	-	m	g	-
Ἑλλήνων	Ἕλλην	39	n	-	p	-	-	-	m	g	-
ἐν	ἐν	40	r	-	-	-	-	-	-	-	-
Κορίνθῳ	Κόρινθος	41	n	-	s	-	-	-	f	d	-
περὶ	περί	42	r	-	-	-	-	-	-	-	-
τῆς	ὁ	43	l	-	s	-	-	-	f	g	-
Γέλωνος	Γέλων	44	n	-	s	-	-	-	m	g	-
