form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τοὺς	ὁ	1	l	-	p	-	-	-	m	a	-
εἰωθότας	ἔθω	2	v	-	p	r	p	a	m	a	-
ἀποδίδοσθαι	ἀποδίδωμι	3	v	-	-	p	n	e	-	-	-
τοῖς	ὁ	4	l	-	p	-	-	-	n	d	-
προοιμίοις	προοίμιον	5	n	-	p	-	-	-	n	d	-
τῶν	ὁ	6	l	-	p	-	-	-	f	g	-
ἱστοριῶν	ἱστορία	7	n	-	p	-	-	-	f	g	-
λόγους	λόγος	8	n	-	p	-	-	-	m	a	-
ἥκιστα	ἥκιστος	9	a	-	p	-	-	-	n	a	-
βουλόμενος	βούλομαι	10	v	-	s	p	p	e	m	n	-
ἀναγκάζομαι	ἀναγκάζω	11	v	1	s	p	i	e	-	-	-
περὶ	περί	12	r	-	-	-	-	-	-	-	-
ἐμαυτοῦ	ἐμαυτοῦ	13	p	-	s	-	-	-	m	g	-
προειπεῖν	προεῖπον	14	v	-	-	a	n	a	-	-	-
,	punc1	15	u	-	-	-	-	-	-	-	-
οὔ	οὐ	16	d	-	-	-	-	-	-	-	-
-τ᾽	τε	17	d	-	-	-	-	-	-	-	-
ἐν	ἐν	18	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	19	l	-	p	-	-	-	m	d	-
ἰδίοις	ἴδιος	20	a	-	p	-	-	-	m	d	-
μέλλων	μέλλω	21	v	-	s	p	p	a	m	n	-
πλεονάζειν	πλεονάζω	22	v	-	-	p	n	a	-	-	-
ἐπαίνοις	ἔπαινος	23	n	-	p	-	-	-	m	d	-
,	punc1	24	u	-	-	-	-	-	-	-	-
οὓς	ὅς	25	p	-	p	-	-	-	m	a	-
ἐπαχθεῖς	ἐπαχθής	26	a	-	p	-	-	-	m	a	-
οἶδα	οἶδα	27	v	1	s	r	i	a	-	-	-
φαινομένους	φαίνω	28	v	-	p	p	p	e	m	a	-
τοῖς	ὁ	29	l	-	p	-	-	-	m	d	-
ἀκούουσιν	ἀκούω	30	v	-	p	p	p	a	m	d	-
,	punc1	31	u	-	-	-	-	-	-	-	-
οὔ	οὐ	32	d	-	-	-	-	-	-	-	-
-τε	τε	33	c	-	-	-	-	-	-	-	-
διαβολὰς	διαβολή	34	n	-	p	-	-	-	f	a	-
καθ᾽	κατά	35	r	-	-	-	-	-	-	-	-
ἑτέρων	ἕτερος	36	a	-	p	-	-	-	m	g	-
ἐγνωκὼς	γιγνώσκω	37	v	-	s	r	p	a	m	n	-
ποιεῖσθαι	ποιέω	38	v	-	-	p	n	e	-	-	-
συγγραφέων	συγγραφεύς	39	n	-	p	-	-	-	m	g	-
,	punc1	40	u	-	-	-	-	-	-	-	-
ὥσπερ	ὥσπερ	41	c	-	-	-	-	-	-	-	-
Ἀναξιμένης	Ἀναξιμένης	42	n	-	s	-	-	-	m	n	-
καὶ	καί	43	c	-	-	-	-	-	-	-	-
Θεόπομπος	Θεόπομπος	44	n	-	s	-	-	-	m	n	-
ἐν	ἐν	45	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	46	l	-	p	-	-	-	n	d	-
προοιμίοις	προοίμιον	47	n	-	p	-	-	-	n	d	-
τῶν	ὁ	48	l	-	p	-	-	-	f	g	-
ἱστοριῶν	ἱστορία	49	n	-	p	-	-	-	f	g	-
ἐποίησαν	ποιέω	50	v	3	p	a	i	a	-	-	-
,	punc1	51	u	-	-	-	-	-	-	-	-
ἀλλὰ	ἀλλά	52	c	-	-	-	-	-	-	-	-
τοὺς	ὁ	53	l	-	p	-	-	-	m	a	-
ἐμαυτοῦ	ἐμαυτοῦ	54	p	-	s	-	-	-	m	g	-
λογισμοὺς	λογισμός	55	n	-	p	-	-	-	m	a	-
ἀποδεικνύμενος	ἀποδείκνυμι	56	v	-	s	p	p	e	m	n	-
,	punc1	57	u	-	-	-	-	-	-	-	-
οἷς	ὅς	58	p	-	p	-	-	-	m	d	-
ἐχρησάμην	χράω2	59	v	1	s	a	i	m	-	-	-
ὅτε	ὅτε	60	c	-	-	-	-	-	-	-	-
ἐπὶ	ἐπί	61	r	-	-	-	-	-	-	-	-
ταύτην	οὗτος	62	a	-	s	-	-	-	f	a	_
ὥρμησα	ὁρμάω	63	v	1	s	a	i	a	-	-	-
τὴν	ὁ	64	l	-	s	-	-	-	f	a	-
πραγματείαν	πραγματεία	65	n	-	s	-	-	-	f	a	-
,	punc1	66	u	-	-	-	-	-	-	-	-
καὶ	καί	67	c	-	-	-	-	-	-	-	-
περὶ	περί	68	r	-	-	-	-	-	-	-	-
τῶν	ὁ	69	l	-	p	-	-	-	f	g	-
ἀφορμῶν	ἀφορμή	70	n	-	p	-	-	-	f	g	-
ἀποδιδοὺς	ἀποδίδωμι	71	v	-	s	p	p	a	m	n	-
λόγον	λόγος	72	n	-	s	-	-	-	m	a	-
,	punc1	73	u	-	-	-	-	-	-	-	-
ἐξ	ἐκ	74	r	-	-	-	-	-	-	-	-
ὧν	ὅς	75	p	-	p	-	-	-	f	g	-
τὴν	ὁ	76	l	-	s	-	-	-	f	a	-
ἐμπειρίαν	ἐμπειρία	77	n	-	s	-	-	-	f	a	-
ἔλαβον	λαμβάνω	78	v	1	s	a	i	a	-	-	-
τῶν	ὁ	79	l	-	p	-	-	-	n	g	-
γραφησομένων	γράφω	80	v	-	p	f	p	p	n	g	-
.	punc1	81	u	-	-	-	-	-	-	-	-

ἐπείσθην	πείθω	1	v	1	s	a	i	p	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	3	c	-	-	-	-	-	-	-	-
δεῖ	δεῖ	4	v	3	s	p	i	a	-	-	-
τοὺς	ὁ	5	l	-	p	-	-	-	m	a	-
προαιρουμένους	προαιρέω	6	v	-	p	p	p	e	m	a	-
μνημεῖα	μνημεῖον	7	n	-	p	-	-	-	n	a	-
τῆς	ὁ	8	l	-	s	-	-	-	f	g	-
ἑαυτῶν	ἑαυτοῦ	9	p	-	p	-	-	-	m	g	-
ψυχῆς	ψυχή	10	n	-	s	-	-	-	f	g	-
τοῖς	ὁ	11	l	-	p	-	-	-	m	d	-
ἐπιγιγνομένοις	ἐπιγίγνομαι	12	v	-	p	p	p	e	m	d	-
καταλιπεῖν	καταλιμπάνω	13	v	-	-	a	n	a	-	-	-
,	punc1	14	u	-	-	-	-	-	-	-	-
ἃ	ὅς	15	p	-	p	-	-	-	n	n	-
μὴ	μή	16	d	-	-	-	-	-	-	-	-
συναφανισθήσεται	συναφανίζομαι	17	v	3	s	f	i	e	-	-	-
τοῖς	ὁ	18	l	-	p	-	-	-	n	d	-
σώμασιν	σῶμα	19	n	-	p	-	-	-	n	d	-
αὐτῶν	αὐτός	20	p	-	p	-	-	-	m	g	-
ὑπὸ	ὑπό	21	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	22	l	-	s	-	-	-	m	g	-
χρόνου	χρόνος	23	n	-	s	-	-	-	m	g	-
,	punc1	24	u	-	-	-	-	-	-	-	-
καὶ	καί	25	c	-	-	-	-	-	-	-	-
πάντων	πᾶς	26	a	-	p	-	-	-	n	g	-
μάλιστα	μάλιστα	27	d	-	-	-	-	-	-	-	-
τοὺς	ὁ	28	l	-	p	-	-	-	m	a	-
ἀναγράφοντας	ἀναγράφω	29	v	-	p	p	p	a	m	a	-
ἱστορίας	ἱστορία	30	n	-	p	-	-	-	f	a	-
,	punc1	31	u	-	-	-	-	-	-	-	-
ἐν	ἐν	32	r	-	-	-	-	-	-	-	-
αἷς	ὅς	33	p	-	p	-	-	-	f	d	-
