form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἐς	εἰς	1	r	-	-	-	-	-	-	-	-
τὸ	ὁ	2	l	-	s	-	-	-	n	a	-
πεδίον	πεδίον	3	n	-	s	-	-	-	n	a	-
δὲ	δέ	4	d	-	-	-	-	-	-	-	-
συνελθόντων	συνέρχομαι	5	v	-	p	a	p	a	m	g	-
τοῦτο	οὗτος	6	a	-	s	-	-	-	n	a	-
τὸ	ὅς	7	p	-	s	-	-	-	n	n	-
πρὸ	πρό	8	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	9	l	-	s	-	-	-	n	g	-
ἄστεος	ἄστυ	10	n	-	s	-	-	-	n	g	-
ἐστὶ	εἰμί	11	v	3	s	p	i	a	-	-	-
τοῦ	ὁ	12	l	-	s	-	-	-	n	g	-
Σαρδιηνοῦ	Σάρδεις	13	a	-	s	-	-	-	m	g	-
,	punc1	14	u	-	-	-	-	-	-	-	-
ἐὸν	εἰμί	15	v	-	s	p	p	a	n	a	-
μέγα	μέγας	16	a	-	s	-	-	-	n	a	-
τε	τε	17	d	-	-	-	-	-	-	-	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
ψιλὸν	ψιλός	19	a	-	s	-	-	-	n	a	-
(	punc1	20	u	-	-	-	-	-	-	-	-
διὰ	διά	21	r	-	-	-	-	-	-	-	-
δὲ	δέ	22	d	-	-	-	-	-	-	-	-
αὐτοῦ	αὐτός	23	p	-	s	-	-	-	n	g	-
ποταμοὶ	ποταμός	24	n	-	p	-	-	-	m	n	-
ῥέοντες	ῥέω	25	v	-	p	p	p	a	m	n	-
καὶ	καί	26	d	-	-	-	-	-	-	-	-
ἄλλοι	ἄλλος	27	p	-	p	-	-	-	m	n	-
καὶ	καί	28	c	-	-	-	-	-	-	-	-
Ὕλλος	Ὕλλος	29	n	-	s	-	-	-	m	n	-
συρρηγνῦσι	συρράσσω	30	v	3	p	p	i	a	-	-	-
ἐς	εἰς	31	r	-	-	-	-	-	-	-	-
τὸν	ὁ	32	l	-	s	-	-	-	m	a	-
μέγιστον	μέγας	33	a	-	s	-	-	-	m	a	-
,	punc1	34	u	-	-	-	-	-	-	-	-
καλεόμενον	καλέω	35	v	-	s	f	p	m	m	a	-
δὲ	δέ	36	c	-	-	-	-	-	-	-	-
Ἕρμον	Ἕρμος	37	n	-	s	-	-	-	m	a	-
,	punc1	38	u	-	-	-	-	-	-	-	-
ὃς	ὅς	39	p	-	s	-	-	-	m	n	-
ἐξ	ἐκ	40	r	-	-	-	-	-	-	-	-
ὄρεος	ὄρος	41	n	-	s	-	-	-	n	g	-
ἱροῦ	ἱερός	42	a	-	s	-	-	-	n	g	-
μητρὸς	μήτηρ	43	n	-	s	-	-	-	f	g	-
Δινδυμήνης	Δινδυμήνη	44	n	-	s	-	-	-	f	g	-
ῥέων	ῥέον	45	n	-	p	-	-	-	n	g	-
ἐκδιδοῖ	ἐκδίδωμι	46	v	3	s	p	i	a	-	-	-
ἐς	εἰς	47	r	-	-	-	-	-	-	-	-
θάλασσαν	θάλασσα	48	n	-	s	-	-	-	f	a	-
κατὰ	κατά	49	r	-	-	-	-	-	-	-	-
Φωκαίην	Φωκαίη	50	n	-	s	-	-	-	f	a	-
πόλιν	πόλις	51	n	-	s	-	-	-	f	a	-
)	punc1	52	u	-	-	-	-	-	-	-	-
,	punc1	53	u	-	-	-	-	-	-	-	-
ἐνθαῦτα	ἐνταῦθα	54	d	-	-	-	-	-	-	-	-
ὁ	ὁ	55	l	-	s	-	-	-	m	n	-
Κῦρος	κῦρος	56	n	-	s	-	-	-	n	n	-
ὡς	ὡς	57	c	-	-	-	-	-	-	-	-
εἶδε	εἶδον	58	v	3	s	a	i	a	-	-	-
τοὺς	ὁ	59	l	-	p	-	-	-	m	a	-
Λυδοὺς	Λυδός	60	n	-	p	-	-	-	m	a	-
ἐς	εἰς	61	r	-	-	-	-	-	-	-	-
μάχην	μάχη	62	n	-	s	-	-	-	f	a	-
τασσομένους	τάσσω	63	v	-	p	p	p	e	m	a	-
,	punc1	64	u	-	-	-	-	-	-	-	-
καταρρωδήσας	κατορρωδέω	65	v	-	s	a	p	a	m	n	-
τὴν	ὁ	66	l	-	s	-	-	-	f	a	-
ἵππον	ἵππος	67	n	-	s	-	-	-	m	a	-
ἐποίησε	ποιέω	68	v	3	s	a	i	a	-	-	-
Ἁρπάγου	ἅρπαγος	69	n	-	s	-	-	-	m	g	-
ὑποθεμένου	ὑποτίθημι	70	v	-	s	a	p	m	m	g	-
ἀνδρὸς	ἀνήρ	71	n	-	s	-	-	-	m	g	-
Μήδου	Μῆδος	72	n	-	s	-	-	-	m	g	-
τοιόνδε	τοιόσδε	73	p	-	s	-	-	-	n	a	-
:	punc1	74	u	-	-	-	-	-	-	-	-

ὅσαι	ὅσος	1	a	-	p	-	-	-	f	n	-
τῷ	ὁ	2	l	-	s	-	-	-	m	d	-
στρατῷ	στρατός	3	n	-	s	-	-	-	m	d	-
τῷ	ὁ	4	l	-	s	-	-	-	m	d	-
ἑωυτοῦ	ἑαυτοῦ	5	p	-	s	-	-	-	m	g	-
εἵποντο	ἕπομαι	6	v	3	p	i	i	e	-	-	-
σιτοφόροι	σιτοφόρος	7	a	-	p	-	-	-	f	n	-
τε	τε	8	d	-	-	-	-	-	-	-	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
σκευοφόροι	σκευοφόρος	10	a	-	p	-	-	-	f	n	-
κάμηλοι	κάμηλος	11	n	-	p	-	-	-	f	n	-
,	punc1	12	u	-	-	-	-	-	-	-	-
ταύτας	οὗτος	13	p	-	p	-	-	-	f	a	-
πάσας	πᾶς	14	a	-	p	-	-	-	f	a	-
ἁλίσας	ἁλίζω2	15	v	-	s	a	p	a	m	n	-
καὶ	καί	16	c	-	-	-	-	-	-	-	-
ἀπελὼν	ἀφαιρέω	17	v	-	s	a	p	a	m	n	-
τὰ	ὁ	18	l	-	p	-	-	-	n	a	-
ἄχθεα	ἄχθος	19	n	-	p	-	-	-	n	a	-
