form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Καὶ	καὶ	1	d	-	-	-	-	-	-	-	_
κληρονόμος	κληρονόμος	2	n	-	s	-	-	-	m	n	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
ἦν	εἰμί	4	v	3	s	i	i	a	-	-	-
τῶν	ὁ	5	l	-	p	-	-	-	n	g	-
ὅλων	ὅλος	6	a	-	p	-	-	-	n	g	-
Ὑρκανός	Ὑρκανός	7	n	-	s	-	-	-	m	n	-
,	,	8	u	-	-	-	-	-	-	-	-
ᾧ	ὅς	9	p	-	s	-	-	-	m	d	-
καὶ	καί	10	d	-	-	-	-	-	-	-	-
ζῶσα	ζάω	11	v	-	s	p	p	a	f	n	-
τὴν	ὁ	12	l	-	s	-	-	-	f	a	-
βασιλείαν	βασιλεία	13	n	-	s	-	-	-	f	a	-
ἐνεχείρισεν	ἐγχειρίζω	14	v	3	s	a	i	a	-	-	-
,	,	15	u	-	-	-	-	-	-	-	-
δυνάμει	δύναμις	16	n	-	s	-	-	-	f	d	-
δὲ	δέ	17	c	-	-	-	-	-	-	-	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
φρονήματι	φρόνημα	19	n	-	s	-	-	-	n	d	-
προεῖχεν	προέχω	20	v	3	s	i	i	a	-	-	-
ὁ	ὁ	21	l	-	s	-	-	-	m	n	-
Ἀριστόβουλος	Ἀριστόβουλος	22	n	-	s	-	-	-	m	n	-
.	.	23	u	-	-	-	-	-	-	-	-

γενομένης	γίγνομαι	1	v	-	s	a	p	m	f	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
αὐτοῖς	αὐτός	3	p	-	p	-	-	-	m	d	-
περὶ	περί	4	r	-	-	-	-	-	-	-	-
τῶν	ὁ	5	l	-	p	-	-	-	n	g	-
ὅλων	ὅλος	6	a	-	p	-	-	-	n	g	-
συμβολῆς	συμβολή	7	n	-	s	-	-	-	f	g	-
περὶ	περί	8	r	-	-	-	-	-	-	-	-
Ἱεριχοῦντα	Ἱεριχώ	9	n	-	s	-	-	-	f	a	-
καταλιπόντες	καταλιμπάνω	10	v	-	p	a	p	a	m	n	-
οἱ	ὁ	11	l	-	p	-	-	-	m	n	-
πολλοὶ	πολύς	12	a	-	p	-	-	-	m	n	-
τὸν	ὁ	13	l	-	s	-	-	-	m	a	-
Ὑρκανὸν	Ὑρκανός	14	n	-	s	-	-	-	m	a	-
μεταβαίνουσιν	μεταβαίνω	15	v	-	p	p	p	a	m	d	-
πρὸς	πρός	16	r	-	-	-	-	-	-	-	-
τὸν	ὁ	17	l	-	s	-	-	-	m	a	-
Ἀριστόβουλον	Ἀριστόβουλος	18	n	-	s	-	-	-	m	a	-
.	.	19	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
μετὰ	μετά	3	r	-	-	-	-	-	-	-	-
τῶν	ὁ	4	l	-	p	-	-	-	m	g	-
συμμεινάντων	συμμένω	5	v	-	p	a	p	a	m	g	-
φθάνει	φθάνω	6	v	3	s	p	i	a	-	-	-
συμφυγὼν	συμφεύγω	7	v	-	s	a	p	a	m	n	-
ἐπὶ	ἐπί	8	r	-	-	-	-	-	-	-	-
τὴν	ὁ	9	l	-	s	-	-	-	f	a	-
Ἀντωνίαν	Ἀντωνία	10	n	-	s	-	-	-	f	a	-
καὶ	καί	11	c	-	-	-	-	-	-	-	-
κυριεύσας	κυριεύω	12	v	-	s	a	p	a	m	n	-
τῶν	ὁ	13	l	-	p	-	-	-	m	g	-
