form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἡγοῦμαι	ἡγέομαι	1	v	1	s	p	i	m	-	-	-
μέν	μέν	2	d	-	-	-	-	-	-	-	-
,	,	3	u	-	-	-	-	-	-	-	-
ὦ	ὦ	4	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	5	n	-	p	-	-	-	m	v	-
δικασταί	δικαστής	6	n	-	p	-	-	-	m	v	-
,	,	7	u	-	-	-	-	-	-	-	-
οὐδεμίαν	οὐδείς	8	a	-	s	-	-	-	f	a	-
ὑμᾶς	σύ	9	p	2	p	-	-	-	m	a	-
ποθεῖν	ποθέω	10	v	-	-	p	n	a	-	-	-
ἀκοῦσαι	ἀκούω	11	v	-	-	a	n	a	-	-	-
πρόφασιν	πρόφασις	12	n	-	s	-	-	-	f	a	-
παρὰ	παρά	13	r	-	-	-	-	-	-	-	-
τῶν	ὁ	14	l	-	p	-	-	-	m	g	-
βουλομένων	βούλομαι	15	v	-	p	p	p	e	m	g	-
Ἀλκιβιάδου	Ἀλκιβιάδης	16	n	-	s	-	-	-	m	g	-
κατηγορεῖν	κατηγορέω	17	v	-	-	p	n	a	-	-	-
·	·	18	u	-	-	-	-	-	-	-	-

τοιοῦτον	τοιοῦτος	1	a	-	s	-	-	-	m	a	_
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
πολίτην	πολίτης	3	n	-	s	-	-	-	m	a	-
ἑαυτὸν	ἑαυτοῦ	4	p	-	s	-	-	-	m	a	-
ἐξ	ἐκ	5	r	-	-	-	-	-	-	-	-
ἀρχῆς	ἀρχή	6	n	-	s	-	-	-	f	g	-
παρέσχεν	παρέχω	7	v	3	s	a	i	a	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
ὥστε	ὥστε	9	c	-	-	-	-	-	-	-	-
καὶ	καί	10	d	-	-	-	-	-	-	-	_
εἰ	εἰ	11	c	-	-	-	-	-	-	-	-
μή	μή	12	d	-	-	-	-	-	-	-	_
τις	τις	13	p	-	s	-	-	-	m	n	-
ἰδία	ἴδιος	14	a	-	p	-	-	-	n	a	p
ἀδικούμενος	ἀδικέω	15	v	-	s	p	p	e	m	n	-
ὑπʼ	ὑπό	16	r	-	-	-	-	-	-	-	-
αὐτοῦ	αὐτός	17	p	-	s	-	-	-	m	g	-
τυγχάνει	τυγχάνω	18	v	3	s	p	i	a	-	-	-
,	,	19	u	-	-	-	-	-	-	-	-
οὐδὲν	οὐδείς	20	p	-	s	-	-	-	n	a	-
ἧττον	ἥσσων	21	a	-	s	-	-	-	n	a	c
προσήκει	προσήκω	22	v	3	s	p	i	a	-	-	-
ἐκ	ἐκ	23	r	-	-	-	-	-	-	-	-
τῶν	ὁ	24	l	-	p	-	-	-	n	g	-
ἄλλων	ἄλλος	25	a	-	p	-	-	-	n	g	_
ἐπιτηδευμάτων	ἐπιτήδευμα	26	n	-	p	-	-	-	n	g	-
ἐχθρὸν	ἐχθρός	27	a	-	s	-	-	-	m	a	-
αὐτὸν	αὐτός	28	p	-	s	-	-	-	m	a	-
ἡγεῖσθαι	ἡγέομαι	29	v	-	-	p	n	m	-	-	-
.	.	30	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
μικρὰ	σμικρός	3	a	-	p	-	-	-	n	n	-
τὰ	ὁ	4	l	-	p	-	-	-	n	n	-
ἁμαρτήματα	ἁμάρτημα	5	n	-	p	-	-	-	n	n	-
