form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
οὗτος	οὗτος	1	a	-	s	-	-	-	m	n	_
ὁ	ὁ	2	l	-	s	-	-	-	m	n	-
τῆς	ὁ	3	l	-	s	-	-	-	f	g	-
Τύχης	Τύχη	4	n	-	s	-	-	-	f	g	-
λόγος	λόγος	5	n	-	s	-	-	-	m	n	-
ἐστίν	εἰμί	6	v	3	s	p	i	a	-	-	-
,	punc1	7	u	-	-	-	-	-	-	-	-
ἴδιον	ἴδιος	8	a	-	s	-	-	-	n	a	-
καὶ	καί	9	d	-	-	-	-	-	-	-	-
μόνης	μόνος	10	a	-	s	-	-	-	f	g	-
αὑτῆς	ἑαυτοῦ	11	p	-	s	-	-	-	f	g	-
ἔργον	ἔργον	12	n	-	s	-	-	-	n	a	-
ἀποφαινομένης	ἀποφαίνω	13	v	-	s	p	p	e	f	g	-
Ἀλέξανδρον	Ἀλέξανδρος	14	n	-	s	-	-	-	m	a	-
.	punc1	15	u	-	-	-	-	-	-	-	-

δεῖ	δεῖ	1	v	3	s	p	i	a	-	-	-
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
ἀντειπεῖν	ἀντεῖπον	3	v	-	-	a	n	a	-	-	-
ὑπὲρ	ὑπέρ	4	r	-	-	-	-	-	-	-	-
φιλοσοφίας	φιλοσοφία	5	n	-	s	-	-	-	f	g	-
,	punc1	6	u	-	-	-	-	-	-	-	-
μᾶλλον	μᾶλλον	7	d	-	-	-	-	-	-	-	-
δ᾽	δέ	8	c	-	-	-	-	-	-	-	-
ὑπὲρ	ὑπέρ	9	r	-	-	-	-	-	-	-	-
Ἀλεξάνδρου	Ἀλέξανδρος	10	n	-	s	-	-	-	m	g	-
δυσχεραίνοντος	δυσχεραίνω	11	v	-	s	p	p	a	m	g	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
ἀγανακτοῦντος	ἀγανακτέω	13	v	-	s	p	p	a	m	g	-
,	punc1	14	u	-	-	-	-	-	-	-	-
εἰ	εἰ	15	c	-	-	-	-	-	-	-	-
προῖκα	προίξ	16	n	-	s	-	-	-	f	a	-
δόξει	δοκέω	17	v	3	s	a	s	a	-	-	-
καὶ	καί	18	d	-	-	-	-	-	-	-	-
παρὰ	παρά	19	r	-	-	-	-	-	-	-	-
τῆς	ὁ	20	l	-	s	-	-	-	f	g	-
Τύχης	Τύχη	21	n	-	s	-	-	-	f	g	-
λαβεῖν	λαμβάνω	22	v	-	-	a	n	a	-	-	-
τὴν	ὁ	23	l	-	s	-	-	-	f	a	-
ἡγεμονίαν	ἡγεμονία	24	n	-	s	-	-	-	f	a	-
,	punc1	25	u	-	-	-	-	-	-	-	-
ἣν	ὅς	26	p	-	s	-	-	-	f	a	-
ὤνιον	ὤνιος	27	a	-	s	-	-	-	f	a	-
αἵματος	αἷμα	28	n	-	s	-	-	-	n	g	-
πολλοῦ	πολύς	29	a	-	s	-	-	-	n	g	-
καὶ	καί	30	c	-	-	-	-	-	-	-	-
τραυμάτων	τραῦμα	31	n	-	p	-	-	-	n	g	-
ἐπαλλήλων	ἐπάλληλος	32	a	-	p	-	-	-	n	g	-
κτώμενος	κτάομαι	33	v	-	s	p	p	e	m	n	-
πολλὰς	πολύς	34	a	-	p	-	-	-	f	a	-
μὲν	μέν	35	d	-	-	-	-	-	-	-	-
ἀύπνους	ἄυπνος	36	a	-	p	-	-	-	f	a	-
νύκτας	νύξ	37	n	-	p	-	-	-	f	a	-
ἴαυεν	ἰαύω	38	v	3	s	i	i	a	-	-	-
,	punc1	39	u	-	-	-	-	-	-	-	-
ἤματα	ἦμαρ	40	n	-	p	-	-	-	n	a	-
δ᾽	δέ	41	c	-	-	-	-	-	-	-	-
αἱματόεντα	αἱματόεις	42	a	-	p	-	-	-	n	a	-
διέπρησσεν	διαπράσσω	43	v	3	s	i	i	a	-	-	-
πολεμίζων	πολεμίζω	44	v	-	s	p	p	a	m	n	-
πρὸς	πρός	45	r	-	-	-	-	-	-	-	-
ἀμάχους	ἄμαχος	46	a	-	p	-	-	-	f	a	-
δυνάμεις	δύναμις	47	n	-	p	-	-	-	f	a	-
καὶ	καί	48	d	-	-	-	-	-	-	-	-
ἄπειρα	ἄπειρος1	49	a	-	p	-	-	-	n	a	-
φῦλα	φῦλον	50	n	-	p	-	-	-	n	a	-
καὶ	καί	51	d	-	-	-	-	-	-	-	-
ποταμοὺς	ποταμός	52	n	-	p	-	-	-	m	a	-
ἀπεράτους	ἀπέρατος	53	a	-	p	-	-	-	m	a	-
καὶ	καί	54	c	-	-	-	-	-	-	-	-
πέτρας	πέτρα	55	n	-	p	-	-	-	f	a	-
ἀτοξεύτους	ἀτόξευτος	56	a	-	p	-	-	-	f	a	-
,	punc1	57	u	-	-	-	-	-	-	-	-
εὐβουλίᾳ	εὐβουλία	58	n	-	s	-	-	-	f	d	-
καὶ	καί	59	d	-	-	-	-	-	-	-	-
καρτερίᾳ	καρτερία	60	n	-	s	-	-	-	f	d	-
καὶ	καί	61	d	-	-	-	-	-	-	-	-
ἀνδρείᾳ	ἀνδρεία	62	n	-	s	-	-	-	f	d	-
καὶ	καί	63	c	-	-	-	-	-	-	-	-
σωφροσύνῃ	σωφροσύνη	64	n	-	s	-	-	-	f	d	-
παραπεμπόμενος	παραπέμπω	65	v	-	s	p	p	e	m	n	-
.	punc1	66	u	-	-	-	-	-	-	-	-

οἶμαι	οἴομαι	1	v	1	s	p	i	e	-	-	-
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
ἂν	ἄν1	3	d	-	-	-	-	-	-	-	-
αὐτὸν	αὐτός	4	p	-	s	-	-	-	m	a	-
εἰπεῖν	εἶπον	5	v	-	-	a	n	a	-	-	-
πρὸς	πρός	6	r	-	-	-	-	-	-	-	-
τὴν	ὁ	7	l	-	s	-	-	-	f	a	-
Τύχην	Τύχη	8	n	-	s	-	-	-	f	a	-
τοῖς	ὁ	9	l	-	p	-	-	-	n	d	-
κατορθώμασιν	κατόρθωμα	10	n	-	p	-	-	-	n	d	-
αὑτὴν	ἑαυτοῦ	11	p	-	s	-	-	-	f	a	-
ἐπιγράφουσαν	ἐπιγράφω	12	v	-	s	p	p	a	f	a	-
,	punc1	13	u	-	-	-	-	-	-	-	-
μή	μή	14	d	-	-	-	-	-	-	-	-
μου	ἐγώ	15	p	1	s	-	-	-	m	g	-
διάβαλλε	διαβάλλω	16	v	2	s	p	m	a	-	-	-
τὴν	ὁ	17	l	-	s	-	-	-	f	a	-
ἀρετὴν	ἀρετή	18	n	-	s	-	-	-	f	a	-
μη	μη	19	d	-	-	-	-	-	-	-	_
-δ᾽	δέ	20	c	-	-	-	-	-	-	-	-
ἀφαιροῦ	ἀφαιρέω	21	v	2	s	p	m	e	-	-	-
περισπῶσα	περισπάω	22	v	-	s	p	p	a	f	n	-
τὴν	ὁ	23	l	-	s	-	-	-	f	a	-
δόξαν	δόξα	24	n	-	s	-	-	-	f	a	-
.	punc1	25	u	-	-	-	-	-	-	-	-

Δαρεῖος	Δαρεῖος	1	n	-	s	-	-	-	m	n	-
ἦν	εἰμί	2	v	3	s	i	i	a	-	-	-
σὸν	σός	3	a	-	s	-	-	-	n	n	-
ἔργον	ἔργον	4	n	-	s	-	-	-	n	n	-
,	punc1	5	u	-	-	-	-	-	-	-	-
ὃν	ὅς	6	p	-	s	-	-	-	m	a	-
ἐκ	ἐκ	7	r	-	-	-	-	-	-	-	-
δούλου	δοῦλος	8	n	-	s	-	-	-	m	g	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
ἀστάνδου	ἀστάνδης	10	n	-	s	-	-	-	m	g	-
βασιλέως	βασιλεύς	11	n	-	s	-	-	-	m	g	-
κύριον	κύριος	12	n	-	s	-	-	-	m	a	-
Περσῶν	Πέρσης	13	n	-	p	-	-	-	m	g	-
ἐποίησας	ποιέω	14	v	2	s	a	i	a	-	-	-
:	punc1	15	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
Σαρδανάπαλλος	Σαρδανάπαλλος	2	n	-	s	-	-	-	m	n	-
,	punc1	3	u	-	-	-	-	-	-	-	-
ᾧ	ὅς	4	p	-	s	-	-	-	m	d	-
τὸ	ὁ	5	l	-	s	-	-	-	n	a	-
διάδημα	διάδημα	6	n	-	s	-	-	-	n	a	-
τῆς	ὁ	7	l	-	s	-	-	-	f	g	-
βασιλείας	βασίλεια	8	n	-	s	-	-	-	f	g	-
πορφύραν	πορφύρα	9	n	-	s	-	-	-	f	a	-
ξαίνοντι	ξαίνω	10	v	-	s	p	p	a	m	d	-
περιέθηκας	περιτίθημι	11	v	2	s	a	i	a	-	-	-
.	punc1	12	u	-	-	-	-	-	-	-	-

ἐγὼ	ἐγώ	1	p	1	s	-	-	-	m	n	-
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
εἰς	εἰς	3	r	-	-	-	-	-	-	-	-
Σοῦσα	Σοῦσα	4	n	-	p	-	-	-	n	a	-
νικῶν	νικάω	5	v	-	s	p	p	a	m	n	-
δι᾽	διά	6	r	-	-	-	-	-	-	-	-
Ἀρβήλων	Ἄρβηλος	7	n	-	p	-	-	-	m	g	-
ἀναβέβηκα	ἀναβαίνω	8	v	1	s	r	i	a	-	-	-
,	punc1	9	u	-	-	-	-	-	-	-	-
καὶ	καί	10	d	-	-	-	-	-	-	-	-
Κιλικία	Κιλικία	11	n	-	s	-	-	-	f	n	-
μοι	ἐγώ	12	p	1	s	-	-	-	m	d	-
πλατεῖαν	πλατύς	13	a	-	s	-	-	-	f	a	-
ἀνέῳξεν	ἀνοίγνυμι	14	v	3	s	a	i	a	-	-	-
Αἴγυπτον	Αἴγυπτος	15	n	-	s	-	-	-	m	a	-
,	punc1	16	u	-	-	-	-	-	-	-	-
Κιλικίαν	Κιλίκιa	17	n	-	s	-	-	-	f	a	-
δὲ	δέ	18	c	-	-	-	-	-	-	-	-
Γράνικος	Γράνικος	19	n	-	s	-	-	-	m	n	-
,	punc1	20	u	-	-	-	-	-	-	-	-
ὃν	ὅς	21	p	-	s	-	-	-	m	a	-
Μιθριδάτῃ	Μιθριδάτης	22	n	-	s	-	-	-	m	d	-
καὶ	καί	23	c	-	-	-	-	-	-	-	-
Σπιθριδάτῃ	Σπιθριδάτης	24	n	-	s	-	-	-	m	d	-
νεκροῖς	νεκρός	25	a	-	p	-	-	-	m	d	-
ἐπιβὰς	ἐπιβαίνω	26	v	-	s	a	p	a	m	n	-
διεπέρασα	διαπεράω	27	v	1	s	a	i	a	-	-	-
.	punc1	28	u	-	-	-	-	-	-	-	-

κόσμει	κοσμέω	1	v	2	s	p	m	a	-	-	-
σεαυτὴν	σαυτοῦ	2	p	-	s	-	-	-	f	a	-
καὶ	καί	3	c	-	-	-	-	-	-	-	-
σεμνύνου	σεμνύνω	4	v	2	s	p	m	e	-	-	-
βασιλεῦσιν	βασιλεύς	5	n	-	p	-	-	-	m	d	-
ἀτρώτοις	ἄτρωτος	6	a	-	p	-	-	-	m	d	-
καὶ	καί	7	c	-	-	-	-	-	-	-	-
ἀναιμάκτοις	ἀναίμακτος	8	a	-	p	-	-	-	m	d	-
:	punc1	9	u	-	-	-	-	-	-	-	-

