form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἀπέθανον	ἀποθνήσκω	1	v	3	p	a	i	a	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
τῶν	ὁ	4	l	-	p	-	-	-	m	g	-
Κελτῶν	Κελτοί	5	n	-	p	-	-	-	m	g	-
εἰς	εἰς	6	r	-	-	-	-	-	-	-	-
τετρακισμυρίους	τετρακισμύριοι	7	a	-	p	-	-	-	m	a	-
,	,	8	u	-	-	-	-	-	-	-	-
ἑάλωσαν	ἁλίσκομαι	9	v	3	p	a	i	a	-	-	-
δ’	δέ	10	c	-	-	-	-	-	-	-	-
οὐκ	οὐ	11	d	-	-	-	-	-	-	-	-
ἐλάττους	ἐλάσσων	12	a	-	p	-	-	-	m	n	c
μυρίων	μυρίος	13	a	-	p	-	-	-	m	g	-
,	,	14	u	-	-	-	-	-	-	-	-
ἐν	ἐν	15	r	-	-	-	-	-	-	-	-
οἷς	ὅς	16	p	-	p	-	-	-	m	d	-
καὶ	καί	17	d	-	-	-	-	-	-	-	-
τῶν	ὁ	18	l	-	p	-	-	-	m	g	-
βασιλέων	βασιλεύς	19	n	-	p	-	-	-	m	g	-
Κογκολιτάνος	Κογκολιτάνος	20	n	-	s	-	-	-	m	n	-
.	.	21	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δ’	δέ	2	d	-	-	-	-	-	-	-	-
ἕτερος	ἕτερος	3	a	-	s	-	-	-	m	n	-
αὐτῶν	αὐτός	4	p	-	p	-	-	-	m	g	-
Ἀνηρόεστος		5
εἴς	εἰς	6	r	-	-	-	-	-	-	-	-
τινα	τις	7	a	-	s	-	-	-	m	a	_
τόπον	τόπος	8	n	-	s	-	-	-	m	a	-
συμφυγὼν	συμφεύγω	9	v	-	s	a	p	a	m	n	-
μετ’	μετά	10	r	-	-	-	-	-	-	-	-
ὀλίγων	ὀλίγος	11	a	-	p	-	-	-	m	g	-
προσήνεγκε	προσφέρω	12	v	3	s	a	i	a	-	-	-
τὰς	ὁ	13	l	-	p	-	-	-	f	a	-
χεῖρας	χείρ	14	n	-	p	-	-	-	f	a	-
αὑτῷ	ἑαυτοῦ	15	p	-	s	-	-	-	m	d	-
καὶ	καί	16	c	-	-	-	-	-	-	-	-
τοῖς	ὁ	17	l	-	p	-	-	-	m	d	-
ἀναγκαίοις	ἀναγκαῖος	18	a	-	p	-	-	-	m	d	-
.	.	19	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
στρατηγὸς	στρατηγός	3	n	-	s	-	-	-	m	n	-
τῶν	ὁ	4	l	-	p	-	-	-	m	g	-
Ῥωμαίων	Ῥωμαῖος	5	n	-	p	-	-	-	m	g	-
τὰ	ὁ	6	l	-	p	-	-	-	n	a	-
μὲν	μέν	7	d	-	-	-	-	-	-	-	-
σκῦλα	σκῦλον	8	n	-	p	-	-	-	n	a	-
συναθροίσας	συναθροίζω	9	v	-	s	a	p	a	m	n	-
εἰς	εἰς	10	r	-	-	-	-	-	-	-	-
τὴν	ὁ	11	l	-	s	-	-	-	f	a	-
Ῥώμην	Ῥώμη	12	n	-	s	-	-	-	f	a	-
ἀπέστειλε	ἀποστέλλω	13	v	3	s	a	i	a	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
τὴν	ὁ	15	l	-	s	-	-	-	f	a	-
δὲ	δέ	16	c	-	-	-	-	-	-	-	-
λείαν	λεία	17	n	-	s	-	-	-	f	a	-
ἀπέδωκε	ἀποδίδωμι	18	v	3	s	a	i	a	-	-	-
τοῖς	ὁ	19	l	-	p	-	-	-	m	d	-
προσήκουσιν	προσήκω	20	v	-	p	p	p	a	m	d	-
.	.	21	u	-	-	-	-	-	-	-	-

αὐτὸς	αὐτός	1	p	-	s	-	-	-	m	n	-
δ’	δέ	2	d	-	-	-	-	-	-	-	-
ἀναλαβὼν	ἀναλαμβάνω	3	v	-	s	a	p	a	m	n	-
τὰ	ὁ	4	l	-	p	-	-	-	n	a	-
στρατόπεδα	στρατόπεδον	5	n	-	p	-	-	-	n	a	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
διελθὼν	διέρχομαι	7	v	-	s	a	p	a	m	n	-
παρ’	παρά	8	r	-	-	-	-	-	-	-	-
αὐτὴν	αὐτός	9	a	-	s	-	-	-	f	a	_
τὴν	ὁ	10	l	-	s	-	-	-	f	a	-
Λιγυστικὴν	Λιγυστικός	11	a	-	s	-	-	-	f	a	-
εἰς	εἰς	12	r	-	-	-	-	-	-	-	-
τὴν	ὁ	13	l	-	s	-	-	-	f	a	-
τῶν	ὁ	14	l	-	p	-	-	-	m	g	-
Βοίων	Βοῖος	15	n	-	p	-	-	-	m	g	-
ἐνέβαλε	ἐμβάλλω	16	v	3	s	a	i	a	-	-	-
χώραν	χώρα	17	n	-	s	-	-	-	f	a	-
.	.	18	u	-	-	-	-	-	-	-	-

πληρώσας	πληρόω	1	v	-	s	a	p	a	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τὰς	ὁ	3	l	-	p	-	-	-	f	a	-
ὁρμὰς	ὁρμή	4	n	-	p	-	-	-	f	a	-
τῶν	ὁ	5	l	-	p	-	-	-	n	g	-
στρατοπέδων	στρατόπεδον	6	n	-	p	-	-	-	n	g	-
τῆς	ὁ	7	l	-	s	-	-	-	f	g	-
ὠφελείας	ὠφέλεια	8	n	-	s	-	-	-	f	g	-
,	,	9	u	-	-	-	-	-	-	-	-
ἐν	ἐν	10	r	-	-	-	-	-	-	-	-
ὀλίγαις	ὀλίγος	11	a	-	p	-	-	-	f	d	-
ἡμέραις	ἡμέρα	12	n	-	p	-	-	-	f	d	-
ἧκεν	ἵημι	13	v	3	s	a	i	a	-	-	-
μετὰ	μετά	14	r	-	-	-	-	-	-	-	-
τῶν	ὁ	15	l	-	p	-	-	-	f	g	-
δυνάμεων	δύναμις	16	n	-	p	-	-	-	f	g	-
εἰς	εἰς	17	r	-	-	-	-	-	-	-	-
τὴν	ὁ	18	l	-	s	-	-	-	f	a	-
Ῥώμην	Ῥώμη	19	n	-	s	-	-	-	f	a	-
.	.	20	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
τὸ	ὁ	2	l	-	s	-	-	-	n	a	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
Καπετώλιον	Καπετώλιον	4	n	-	s	-	-	-	n	a	-
ἐκόσμησε	κοσμέω	5	v	3	s	a	i	a	-	-	-
ταῖς	ὁ	6	l	-	p	-	-	-	f	d	-
τε	τε	7	d	-	-	-	-	-	-	-	-
σημείαις	σημεία	8	n	-	p	-	-	-	f	d	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
τοῖς	ὁ	10	l	-	p	-	-	-	m	d	-
μανιάκαις	μανιάκης	11	n	-	p	-	-	-	m	d	-
—	—	12	u	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	13	p	-	s	-	-	-	n	n	-
δ’	δέ	14	d	-	-	-	-	-	-	-	-
ἔστι	εἰμί	15	v	3	s	p	i	a	-	-	-
χρυσοῦν	χρύσεος	16	a	-	s	-	-	-	n	n	-
ψέλιον	ψέλιον	17	n	-	s	-	-	-	n	n	-
,	,	18	u	-	-	-	-	-	-	-	-
ὃ	ὅς	19	p	-	s	-	-	-	n	a	-
φοροῦσι	φορέω	20	v	3	p	p	i	a	-	-	-
περὶ	περί	21	r	-	-	-	-	-	-	-	-
τὸν	ὁ	22	l	-	s	-	-	-	m	a	-
τράχηλον	τράχηλος	23	n	-	s	-	-	-	m	a	-
οἱ	ὁ	24	l	-	p	-	-	-	m	n	-
Γαλάται	Γαλάτης	25	n	-	p	-	-	-	m	n	-
—	—	26	u	-	-	-	-	-	-	-	-
τοῖς	ὁ	27	l	-	p	-	-	-	n	d	-
δὲ	δέ	28	c	-	-	-	-	-	-	-	-
λοιποῖς	λοιπός	29	a	-	p	-	-	-	n	d	-
σκύλοις	σκῦλον	30	n	-	p	-	-	-	n	d	-
καὶ	καί	31	c	-	-	-	-	-	-	-	-
τοῖς	ὁ	32	l	-	p	-	-	-	m	d	-
αἰχμαλώτοις	αἰχμάλωτος	33	a	-	p	-	-	-	m	d	-
πρὸς	πρός	34	r	-	-	-	-	-	-	-	-
τὴν	ὁ	35	l	-	s	-	-	-	f	a	-
εἴσοδον	εἴσοδος	36	n	-	s	-	-	-	f	a	-
ἐχρήσατο	χράω2	37	v	3	s	a	i	m	-	-	-
τὴν	ὁ	38	l	-	s	-	-	-	f	a	-
