form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἔννοιά	ἔννοια	1	n	-	s	-	-	-	f	n	-
ποθ’	πότε	2	d	-	-	-	-	-	-	-	_
ἡμῖν	ἐγώ	3	p	1	p	-	-	-	m	d	-
ἐγένετο	γίγνομαι	4	v	3	s	a	i	m	-	-	-
ὅσαι	ὅσος	5	a	-	p	-	-	-	f	n	-
δημοκρατίαι	δημοκρατία	6	n	-	p	-	-	-	f	n	-
κατελύθησαν	καταλύω	7	v	3	p	a	i	p	-	-	-
ὑπὸ	ὑπό	8	r	-	-	-	-	-	-	-	-
τῶν	ὁ	9	l	-	p	-	-	-	m	g	-
ἄλλως	ἄλλως	10	d	-	-	-	-	-	-	-	-
πως	πως	11	d	-	-	-	-	-	-	-	-
βουλομένων	βούλομαι	12	v	-	p	p	p	e	m	g	-
πολιτεύεσθαι	πολιτεύω	13	v	-	-	p	n	e	-	-	-
μᾶλλον	μᾶλλον	14	d	-	-	-	-	-	-	-	-
ἢ	ἤ1	15	c	-	-	-	-	-	-	-	-
ἐν	ἐν	16	r	-	-	-	-	-	-	-	-
δημοκρατίᾳ	δημοκρατία	17	n	-	s	-	-	-	f	d	-
,	,	18	u	-	-	-	-	-	-	-	-
ὅσαι	ὅσος	19	a	-	p	-	-	-	f	n	-
τ’	τε	20	d	-	-	-	-	-	-	-	-
αὖ	αὖ	21	d	-	-	-	-	-	-	-	-
μοναρχίαι	μοναρχία	22	n	-	p	-	-	-	f	n	-
,	,	23	u	-	-	-	-	-	-	-	-
ὅσαι	ὅσος	24	a	-	p	-	-	-	f	n	-
τε	τε	25	c	-	-	-	-	-	-	-	-
ὀλιγαρχίαι	ὀλιγαρχία	26	n	-	p	-	-	-	f	n	-
ἀνῄρηνται	ἀναιρέω	27	v	3	p	r	i	e	-	-	-
ἤδη	ἤδη	28	d	-	-	-	-	-	-	-	-
ὑπὸ	ὑπό	29	r	-	-	-	-	-	-	-	-
δήμων	δῆμος	30	n	-	p	-	-	-	m	g	-
,	,	31	u	-	-	-	-	-	-	-	-
καὶ	καί	32	c	-	-	-	-	-	-	-	-
ὅσοι	ὅσος	33	a	-	p	-	-	-	m	n	-
τυραννεῖν	τυραννεύω	34	v	-	-	p	n	a	-	-	-
ἐπιχειρήσαντες	ἐπιχειρέω	35	v	-	p	a	p	a	m	n	-
οἱ	ὁ	36	l	-	p	-	-	-	m	n	-
μὲν	μέν	37	d	-	-	-	-	-	-	-	-
αὐτῶν	αὐτός	38	p	-	p	-	-	-	m	g	-
καὶ	καί	39	d	-	-	-	-	-	-	-	-
ταχὺ	ταχύς	40	a	-	s	-	-	-	n	a	-
πάμπαν	πάμπαν	41	d	-	-	-	-	-	-	-	-
κατελύθησαν	καταλύω	42	v	3	p	a	i	p	-	-	-
,	,	43	u	-	-	-	-	-	-	-	-
οἱ	ὁ	44	l	-	p	-	-	-	m	n	-
δὲ	δέ	45	c	-	-	-	-	-	-	-	-
κ-	καί	46	d	-	-	-	-	-	-	-	-
ἂν	ἐάν	47	c	-	-	-	-	-	-	-	-
ὁποσονοῦν	ὁπόσος	48	a	-	s	-	-	-	m	a	-
