form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
δὴ	δή	3	d	-	-	-	-	-	-	-	-
Κῦρος	Κῦρος	4	n	-	s	-	-	-	m	n	-
οὕτως	οὕτως	5	d	-	-	-	-	-	-	-	-
ἀπελθὼν	ἀπέρχομαι	6	v	-	s	a	p	a	m	n	-
ἐν	ἐν	7	r	-	-	-	-	-	-	-	-
Πέρσαις	Πέρσης	8	n	-	p	-	-	-	m	d	-
ἐνιαυτὸν	ἐνιαυτός	9	n	-	s	-	-	-	m	a	-
λέγεται	λέγω3	10	v	3	s	p	i	e	-	-	-
ἐν	ἐν	11	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	12	l	-	p	-	-	-	m	d	-
παισὶν	παῖς	13	n	-	p	-	-	-	m	d	-
ἔτι	ἔτι	14	d	-	-	-	-	-	-	-	-
γενέσθαι	γίγνομαι	15	v	-	-	a	n	m	-	-	-
.	.	16	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
τὸ	ὁ	2	l	-	s	-	-	-	n	a	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
πρῶτον	πρότερος	4	a	-	s	-	-	-	n	a	-
οἱ	ὁ	5	l	-	p	-	-	-	m	n	-
παῖδες	παῖς	6	n	-	p	-	-	-	m	n	-
ἔσκωπτον	σκώπτω	7	v	3	p	i	i	a	-	-	-
αὐτὸν	αὐτός	8	p	-	s	-	-	-	m	a	-
ὡς	ὡς	9	c	-	-	-	-	-	-	-	-
ἡδυπαθεῖν	ἡδυπαθέω	10	v	-	-	p	n	a	-	-	-
ἐν	ἐν	11	r	-	-	-	-	-	-	-	-
Μήδοις	Μῆδος	12	n	-	p	-	-	-	m	d	-
μεμαθηκὼς	μανθάνω	13	v	-	s	r	p	a	m	n	-
ἥκοι	ἥκω	14	v	3	s	p	o	a	-	-	-
·	·	15	u	-	-	-	-	-	-	-	-

ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
ἐσθίοντα	ἐσθίω	4	v	-	s	p	p	a	m	a	-
αὐτὸν	αὐτός	5	p	-	s	-	-	-	m	a	-
ἑώρων	ὁράω	6	v	3	p	i	i	a	-	-	-
ὥσπερ	ὥσπερ	7	c	-	-	-	-	-	-	-	-
καὶ	καί	8	d	-	-	-	-	-	-	-	-
αὐτοὶ	αὐτός	9	p	-	p	-	-	-	m	n	-
ἡδέως	ἡδέως	10	d	-	-	-	-	-	-	-	-
