form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
οἱ	ὁ	1	l	-	p	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Λακεδαιμόνιοι	Λακεδαιμόνιος	3	n	-	p	-	-	-	m	n	-
πρότερον	πρότερος	4	a	-	s	-	-	-	n	a	-
τούτων	οὗτος	5	p	-	p	-	-	-	n	g	-
οὐ	οὐ	6	d	-	-	-	-	-	-	-	-
πολλῷ	πολύς	7	a	-	s	-	-	-	m	d	-
χρόνῳ	χρόνος	8	n	-	s	-	-	-	m	d	-
Κρατησιππίδᾳ	Κρατησιππίδας	9	n	-	s	-	-	-	m	d	-
τῆς	ὁ	10	l	-	s	-	-	-	f	g	-
ναυαρχίας	ναυαρχία	11	n	-	s	-	-	-	f	g	-
παρεληλυθυίας	παρέρχομαι	12	v	-	s	r	p	a	f	g	-
Λύσανδρον	Λύσανδρος	13	n	-	s	-	-	-	m	a	-
ἐξέπεμψαν	ἐκπέμπω	14	v	3	p	a	i	a	-	-	-
ναύαρχον	ναύαρχος	15	n	-	s	-	-	-	m	a	-
.	punc1	16	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἀφικόμενος	ἀφικνέομαι	3	v	-	s	a	p	m	m	n	-
εἰς	εἰς	4	r	-	-	-	-	-	-	-	-
Ῥόδον	Ῥόδος	5	n	-	s	-	-	-	f	a	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
ναῦς	ναῦς	7	n	-	p	-	-	-	f	a	-
ἐκεῖθεν	ἐκεῖθεν	8	d	-	-	-	-	-	-	-	-
λαβών	λαμβάνω	9	v	-	s	a	p	a	m	n	-
,	punc1	10	u	-	-	-	-	-	-	-	-
εἰς	εἰς	11	r	-	-	-	-	-	-	-	-
Κῶ	Κῶς	12	n	-	s	-	-	-	f	a	-
καὶ	καί	13	c	-	-	-	-	-	-	-	-
Μίλητον	Μίλητος	14	n	-	s	-	-	-	f	a	-
ἔπλευσεν	πλέω	15	v	3	s	a	i	a	-	-	-
,	punc1	16	u	-	-	-	-	-	-	-	-
ἐκεῖθεν	ἐκεῖθεν	17	d	-	-	-	-	-	-	-	-
δʼ	δέ	18	c	-	-	-	-	-	-	-	-
εἰς	εἰς	19	r	-	-	-	-	-	-	-	-
Ἔφεσον	Ἔφεσος	20	n	-	s	-	-	-	f	a	-
,	punc1	21	u	-	-	-	-	-	-	-	-
καὶ	καί	22	c	-	-	-	-	-	-	-	-
ἐκεῖ	ἐκεῖ	23	d	-	-	-	-	-	-	-	-
ἔμεινε	μένω	24	v	3	s	a	i	a	-	-	-
ναῦς	ναῦς	25	n	-	p	-	-	-	f	a	-
ἔχων	ἔχω	26	v	-	s	p	p	a	m	n	-
ἑβδομήκοντα	ἑβδομήκοντα	27	a	-	_	-	-	-	_	_	_
μέχρι	μέχρι	28	r	-	-	-	-	-	-	-	-
οὗ	ὅς	29	p	-	s	-	-	-	n	g	-
Κῦρος	Κῦρος	30	n	-	s	-	-	-	m	n	-
εἰς	εἰς	31	r	-	-	-	-	-	-	-	-
Σάρδεις	Σάρδεις	32	n	-	p	-	-	-	f	a	-
