form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἡ	ὁ	1	l	-	s	-	-	-	f	n	-
γυνὴ	γυνή	2	n	-	s	-	-	-	f	n	-
τοῦ	ὁ	3	l	-	s	-	-	-	m	g	-
Ξάνθου	Ξάνθος	4	n	-	s	-	-	-	m	g	-
,	,	5	u	-	-	-	-	-	-	-	-
τοῦ	ὁ	6	l	-	s	-	-	-	m	g	-
Αἰσώπου	Αἴσωπος	7	n	-	s	-	-	-	m	g	-
ἰδοῦσα	εἶδον	8	v	-	s	a	p	a	f	n	-
τὸ	ὁ	9	l	-	s	-	-	-	n	a	-
κακοπινὲς	κακοπινής	10	a	-	s	-	-	-	n	a	-
τοῦ	ὁ	11	l	-	s	-	-	-	n	g	-
προσώπου	πρόσωπον	12	n	-	s	-	-	-	n	g	-
,	,	13	u	-	-	-	-	-	-	-	-
ἀπεστράφη	ἀποστρέφω	14	v	3	s	a	i	p	-	-	-
καὶ	καί	15	c	-	-	-	-	-	-	-	-
πρὸς	πρός	16	r	-	-	-	-	-	-	-	-
τὸν	ὁ	17	l	-	s	-	-	-	m	a	-
Ξάνθον	Ξάνθος	18	n	-	s	-	-	-	m	a	-
λέγει	λέγω1	19	v	3	s	p	i	a	-	-	-
"	"	20	u	-	-	-	-	-	-	-	-
οὐᾶ	οὐά	21	i	-	-	-	-	-	-	-	-
,	,	22	u	-	-	-	-	-	-	-	-
Ξάνθε	Ξάνθος	23	n	-	s	-	-	-	m	v	-
,	,	24	u	-	-	-	-	-	-	-	-
εὐεπινοήτως	εὐεπινόητος	25	d	-	-	-	-	-	-	-	p
καὶ	καί	26	c	-	-	-	-	-	-	-	-
φιλοσόφως	φιλόσοφος	27	d	-	-	-	-	-	-	-	p
καὶ	καί	28	c	-	-	-	-	-	-	-	-
πρεπόντως	πρεπόντως	29	d	-	-	-	-	-	-	-	-
ἔπραξας	πράσσω	30	v	2	s	a	i	a	-	-	-
·	·	31	u	-	-	-	-	-	-	-	-

ἑτέραν	ἕτερος	1	a	-	s	-	-	-	f	a	-
λαβεῖν	λαμβάνω	2	v	-	-	a	n	a	-	-	-
βουλόμενος	βούλομαι	3	v	-	s	p	p	e	m	n	-
γυναῖκα	γυνή	4	n	-	s	-	-	-	f	a	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
μὴ	μή	6	c	-	-	-	-	-	-	-	-
τολμῶν	τολμάω	7	v	-	s	p	p	a	m	n	-
μοι	ἐγώ	8	p	1	s	-	-	-	m	d	-
κατ'	κατά	9	r	-	-	-	-	-	-	-	-
ὄψιν	ὄψις	10	n	-	s	-	-	-	f	a	-
εἰπεῖν	εἶπον	11	v	-	-	a	n	a	-	-	-
'	'	12	u	-	-	-	-	-	-	-	-
πορεύου	πορεύω	13	v	2	s	p	m	e	-	-	-
ἀπ'	ἀπό	14	r	-	-	-	-	-	-	-	-
ἐμοῦ	ἐγώ	15	p	1	s	-	-	-	m	g	-
,	,	16	u	-	-	-	-	-	-	-	-
'	'	17	u	-	-	-	-	-	-	-	-
ἐπιστάμενός	ἐπίσταμαι	18	v	-	s	p	p	e	m	n	-
μου	ἐγώ	19	p	1	s	-	-	-	m	g	-
τὸ	ὁ	20	l	-	s	-	-	-	n	a	-
φιλοκάθαρον	φιλοκάθαρος	21	a	-	s	-	-	-	n	a	-
ἤνεγκάς	φέρω	22	v	2	s	a	i	a	-	-	-
μοι	ἐγώ	23	p	1	s	-	-	-	m	d	-
τοῦτον	οὗτος	24	p	-	s	-	-	-	m	a	-
ἐπίτηδες	ἐπίτηδες	25	d	-	-	-	-	-	-	-	-
,	,	26	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	27	c	-	-	-	-	-	-	-	-
μὴ	μή	28	c	-	-	-	-	-	-	-	-
ὑποφέρουσα	ὑποφέρω	29	v	-	s	p	p	a	f	n	-
ὐπ'	ὑπό	30	r	-	-	-	-	-	-	-	-
αὐτοῦ	αὐτός	31	p	-	s	-	-	-	m	g	-
δουλεύεσθαι	δουλεύω	32	v	-	-	p	n	e	-	-	-
φύγω	φεύγω	33	v	1	s	a	s	a	-	-	-
ἐπ'	ἐπί	34	r	-	-	-	-	-	-	-	-
ἐμαυτῆς	ἐμαυτοῦ	35	p	-	s	-	-	-	f	g	-
τὴν	ὁ	36	l	-	s	-	-	-	f	a	-
οἰκίαν	οἰκία	37	n	-	s	-	-	-	f	a	-
καταλιποῦσα	καταλιμπάνω	38	v	-	s	a	p	a	f	n	-
.	.	39	u	-	-	-	-	-	-	-	-

δός	δίδωμι	1	v	2	s	a	m	a	-	-	-
μοι	ἐγώ	2	p	1	s	-	-	-	m	d	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
τὴν	ὁ	4	l	-	s	-	-	-	f	a	-
προῖκα	προίξ	5	n	-	s	-	-	-	f	a	-
καί	καί	6	c	-	-	-	-	-	-	-	-
ἐγὼ	ἐγώ	7	p	1	s	-	-	-	m	n	-
πορεύσομαι	πορεύω	8	v	1	s	f	i	m	-	-	-
καθ'	κατά	9	r	-	-	-	-	-	-	-	-
ἑαυτήν	ἑαυτοῦ	10	p	-	s	-	-	-	f	a	-
.	.	11	u	-	-	-	-	-	-	-	-
"	"	12	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
Ξάνθος	Ξάνθος	2	n	-	s	-	-	-	m	n	-
λέγει	λέγω1	3	v	3	s	p	i	a	-	-	-
"	"	4	u	-	-	-	-	-	-	-	-
οἴμοι	οἴμοι	5	i	-	-	-	-	-	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	7	c	-	-	-	-	-	-	-	-
μὴ	μή	8	c	-	-	-	-	-	-	-	-
εἰς	εἰς	9	r	-	-	-	-	-	-	-	-
τὴν	ὁ	10	l	-	s	-	-	-	f	a	-
ὁδὸν	ὁδός2	11	n	-	s	-	-	-	f	a	-
περιπατῶν	περιπατέω	12	v	-	s	p	p	a	m	n	-
οὐρήσω	οὐρέω	13	v	1	s	a	s	a	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
ἑπτασφόνδυλά	ἑπτασφόνδυλος	15	a	-	p	-	-	-	n	a	p
μοι	ἐγώ	16	p	1	s	-	-	-	m	d	-
ῥήματα	ῥῆμα	17	n	-	p	-	-	-	n	a	-
εἶπας	εἶπον	18	v	2	s	a	i	a	-	-	-
,	,	19	u	-	-	-	-	-	-	-	-
καὶ	καί	20	c	-	-	-	-	-	-	-	-
νῦν	νῦν	21	d	-	-	-	-	-	-	-	-
οὐδὲν	οὐδείς	22	p	-	s	-	-	-	n	a	-
λέγεις	λέγω1	23	v	2	s	p	i	a	-	-	-
πρὸς	πρός	24	r	-	-	-	-	-	-	-	-
αὐτήν	αὐτός	25	p	-	s	-	-	-	f	a	-
;	;	26	u	-	-	-	-	-	-	-	-
"	"	27	u	-	-	-	-	-	-	-	-

Αἴσωπος	Αἴσωπος	1	n	-	s	-	-	-	m	n	-
εἶπε	εἶπον	2	v	3	s	a	i	a	-	-	-
"	"	3	u	-	-	-	-	-	-	-	-
τοιγὰρ	τοιγάρ	4	d	-	-	-	-	-	-	-	-
πορεύηται	πορεύω	5	v	3	s	p	s	e	-	-	-
καθ'	κατά	6	r	-	-	-	-	-	-	-	-
ἑαυτὴν	ἑαυτοῦ	7	p	-	s	-	-	-	f	a	-
εἰς	εἰς	8	r	-	-	-	-	-	-	-	-
τὸ	ὁ	9	l	-	s	-	-	-	n	a	-
σκότος	σκότος	10	n	-	s	-	-	-	n	a	-
.	.	11	u	-	-	-	-	-	-	-	-
"	"	12	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
Ξάνθος	Ξάνθος	2	n	-	s	-	-	-	m	n	-
εἶπεν	εἶπον	3	v	3	s	a	i	a	-	-	-
"	"	4	u	-	-	-	-	-	-	-	-
σιώπα	σιωπάω	5	v	2	s	p	m	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
κάθαρμα	κάθαρμα	7	n	-	s	-	-	-	n	v	-
,	,	8	u	-	-	-	-	-	-	-	-
οὐκ	οὐ	9	d	-	-	-	-	-	-	-	-
οἶδας	οἶδα	10	v	2	s	r	i	a	-	-	-
ὅτι	ὅτι2	11	c	-	-	-	-	-	-	-	-
φιλῶ	φιλέω	12	v	1	s	p	i	a	-	-	-
αὐτὴν	αὐτός	13	p	-	s	-	-	-	f	a	-
ὑπὲρ	ὑπέρ	14	r	-	-	-	-	-	-	-	-
ἐμαυτόν	ἐμαυτοῦ	15	p	-	s	-	-	-	m	a	-
;	;	16	u	-	-	-	-	-	-	-	-
"	"	17	u	-	-	-	-	-	-	-	-

Aἴσωπος	Aἴσωπος	1	n	-	s	-	-	-	m	n	-
λέγει	λέγω1	2	v	3	s	p	i	a	-	-	-
"	"	3	u	-	-	-	-	-	-	-	-
φιλεῖς	φιλέω	4	v	2	s	p	i	a	-	-	-
τὸ	ὁ	5	l	-	s	-	-	-	n	a	-
γύναιον	γύναιον	6	n	-	s	-	-	-	n	a	-
;	;	7	u	-	-	-	-	-	-	-	-
"	"	8	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
Ξάνθος	Ξάνθος	2	n	-	s	-	-	-	m	n	-
εἶπεν	εἶπον	3	v	3	s	a	i	a	-	-	-
"	"	4	u	-	-	-	-	-	-	-	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
μᾶλα	μᾶλα	6	d	-	-	-	-	-	-	-	p
.	.	7	u	-	-	-	-	-	-	-	-
"	"	8	u	-	-	-	-	-	-	-	-

Αἴσωπος	Αἴσωπος	1	n	-	s	-	-	-	m	n	-
λέγει	λέγω1	2	v	3	s	p	i	a	-	-	-
"	"	3	u	-	-	-	-	-	-	-	-
θέλεις	ἐθέλω	4	v	2	s	p	i	a	-	-	-
οὖν	οὖν	5	d	-	-	-	-	-	-	-	-
ἵνα	ἵνα	6	c	-	-	-	-	-	-	-	-
μένῃ	μένω	7	v	3	s	p	s	a	-	-	-
;	;	8	u	-	-	-	-	-	-	-	-
"	"	9	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
Ξάνθος	Ξάνθος	2	n	-	s	-	-	-	m	n	-
εἶπεν	εἶπον	3	v	3	s	a	i	a	-	-	-
"	"	4	u	-	-	-	-	-	-	-	-
θέλω	ἐθέλω	5	v	1	s	p	i	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
ταπεινέ	ταπεινός	7	a	-	s	-	-	-	m	v	-
.	.	8	u	-	-	-	-	-	-	-	-
"	"	9	u	-	-	-	-	-	-	-	-

Aἴσωπος	Aἴσωπος	1	n	-	s	-	-	-	m	n	-
λέγει	λέγω1	2	v	3	s	p	i	a	-	-	-
"	"	3	u	-	-	-	-	-	-	-	-
ὑποκρινοῦμαι	ὑποκρίνομαι	4	v	1	s	f	i	m	-	-	-
ὡς	ὡς	5	c	-	-	-	-	-	-	-	-
θέλεις	ἐθέλω	6	v	2	s	p	i	a	-	-	-
.	.	7	u	-	-	-	-	-	-	-	-
"	"	8	u	-	-	-	-	-	-	-	-

καὶ	καί	1	c	-	-	-	-	-	-	-	-
ῥήξας	ῥήσσω	2	v	-	s	a	p	a	m	n	-
τὸν	ὁ	3	l	-	s	-	-	-	m	a	-
πόδα	πούς	4	n	-	s	-	-	-	m	a	-
εἰς	εἰς	5	r	-	-	-	-	-	-	-	-
τὸ	ὁ	6	l	-	s	-	-	-	n	a	-
μέσον	μέσος	7	a	-	s	-	-	-	n	a	-
ὁ	ὁ	8	l	-	s	-	-	-	m	n	-
Aἴσωπος	Aἴσωπος	9	n	-	s	-	-	-	m	n	-
ἀνέκραγεν	ἀνακράζω	10	v	3	s	a	i	a	-	-	-
"	"	11	u	-	-	-	-	-	-	-	-
εἰ	εἰ	12	c	-	-	-	-	-	-	-	-
Ξάνθος	Ξάνθος	13	n	-	s	-	-	-	m	n	-
ὁ	ὁ	14	l	-	s	-	-	-	m	n	-
φιλόσοφος	φιλόσοφος	15	n	-	s	-	-	-	m	n	-
γυναικοκρατεῖται	γυναικοκρατέομαι	16	v	3	s	p	i	e	-	-	-
,	,	17	u	-	-	-	-	-	-	-	-
αὔριον	αὔριον	18	d	-	-	-	-	-	-	-	-
αὐτὸν	αὐτός	19	p	-	s	-	-	-	m	a	-
ἐγὼ	ἐγώ	20	p	1	s	-	-	-	m	n	-
δείξω	δείκνυμι	21	v	1	s	f	i	a	-	-	-
ἐν	ἐν	22	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	23	l	-	p	-	-	-	n	d	-
ἀκροατηρίοις	ἀκροατήριον	24	n	-	p	-	-	-	n	d	-
οἷόν	οἷος	25	a	-	s	-	-	-	n	a	-
ἐστιν	εἰμί	26	v	3	s	p	i	a	-	-	-
περικάθαρμα	περικάθαρμα	27	n	-	s	-	-	-	n	a	-
.	.	28	u	-	-	-	-	-	-	-	-
"	"	29	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
Ξάνθος	Ξάνθος	2	n	-	s	-	-	-	m	n	-
εἶπεν	εἶπον	3	v	3	s	a	i	a	-	-	-
"	"	4	u	-	-	-	-	-	-	-	-
καλῶς	καλός	5	d	-	-	-	-	-	-	-	p
,	,	6	u	-	-	-	-	-	-	-	-
Aἴσωπε	Aἴσωπος	7	n	-	s	-	-	-	m	v	-
;	;	8	u	-	-	-	-	-	-	-	-
"	"	9	u	-	-	-	-	-	-	-	-

Aἴσωπος	Aἴσωπος	1	n	-	s	-	-	-	m	n	-
πρὸς	πρός	2	r	-	-	-	-	-	-	-	-
τὴν	ὁ	3	l	-	s	-	-	-	f	a	-
κυρὰν	κυρία	4	n	-	s	-	-	-	f	a	-
εἶπεν	εἶπον	5	v	3	s	a	i	a	-	-	-
"	"	6	u	-	-	-	-	-	-	-	-
τάδε	ὅδε	7	p	-	p	-	-	-	n	a	-
πρὸς	πρός	8	r	-	-	-	-	-	-	-	-
σέ	σύ	9	p	2	s	-	-	-	-	a	-
,	,	10	u	-	-	-	-	-	-	-	-
γύναι	γυνή	11	n	-	s	-	-	-	f	v	-
,	,	12	u	-	-	-	-	-	-	-	-
βούλει	βούλομαι	13	v	2	s	p	i	e	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	15	c	-	-	-	-	-	-	-	-
σου	σύ	16	p	2	s	-	-	-	-	g	-
ὁ	ὁ	17	l	-	s	-	-	-	m	n	-
ἀνὴρ	ἀνήρ	18	n	-	s	-	-	-	m	n	-
ἐξιὼν	ἔξειμι2	19	v	-	s	p	p	a	m	n	-
ποταπὸν	ποταπὸς	20	a	-	s	-	-	-	n	a	p
ὠνήσηται	ὠνέομαι	21	v	3	s	a	s	m	-	-	-
σωμάτιον	σωμάτιον	22	n	-	s	-	-	-	n	a	-
εὐήλικον	εὐήλιξ	23	a	-	s	-	-	-	m	a	p
,	,	24	u	-	-	-	-	-	-	-	-
περικαλλῆ	περικαλλής	25	a	-	s	-	-	-	m	a	-
,	,	26	u	-	-	-	-	-	-	-	-
εὐηδῆ	εὐηδής	27	a	-	s	-	-	-	m	a	p
,	,	28	u	-	-	-	-	-	-	-	-
εὐόφθαλμον	εὐόφθαλμος	29	a	-	s	-	-	-	m	a	-
,	,	30	u	-	-	-	-	-	-	-	-
ξανθόν	ξανθός	31	a	-	s	-	-	-	m	a	-
.	.	32	u	-	-	-	-	-	-	-	-
"	"	33	u	-	-	-	-	-	-	-	-

ἡ	ὁ	1	l	-	s	-	-	-	f	n	-
γυνὴ	γυνή	2	n	-	s	-	-	-	f	n	-
τοῦ	ὁ	3	l	-	s	-	-	-	m	g	-
Ξάνθου	Ξάνθος	4	n	-	s	-	-	-	m	g	-
εἶπεν	εἶπον	5	v	3	s	a	i	a	-	-	-
"	"	6	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	7	c	-	-	-	-	-	-	-	-
τί	τίς	8	x	-	s	-	-	-	n	a	-
;	;	9	u	-	-	-	-	-	-	-	-
"	"	10	u	-	-	-	-	-	-	-	-

Aἴσωπος	Aἴσωπος	1	n	-	s	-	-	-	m	n	-
λέγει	λέγω	2	v	3	s	p	i	a	-	-	-
"	"	3	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	4	c	-	-	-	-	-	-	-	-
ὁ	ὁ	5	l	-	s	-	-	-	m	n	-
καλὸς	καλός	6	a	-	s	-	-	-	m	n	-
