form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Ἡροδότου	Ἡρόδοτος	1	n	-	s	-	-	-	m	g	-
Ἁλικαρνησσέος	Ἁλικαρνησσεύς	2	n	-	s	-	-	-	m	g	-
ἱστορίης	ἱστορία	3	n	-	s	-	-	-	f	g	-
ἀπόδεξις	ἀπόδειξις	4	n	-	s	-	-	-	f	n	-
ἥδε	ὅδε	5	p	-	s	-	-	-	f	n	-
,	,	6	u	-	-	-	-	-	-	-	-
ὡς	ὡς	7	c	-	-	-	-	-	-	-	-
μήτε	μήτε	8	d	-	-	-	-	-	-	-	-
τὰ	ὁ	9	l	-	p	-	-	-	n	n	-
γενόμενα	γίγνομαι	10	v	-	p	a	p	m	n	n	-
ἐξ	ἐκ	11	r	-	-	-	-	-	-	-	-
ἀνθρώπων	ἄνθρωπος	12	n	-	p	-	-	-	m	g	-
τῷ	ὁ	13	l	-	s	-	-	-	m	d	-
χρόνῳ	χρόνος	14	n	-	s	-	-	-	m	d	-
ἐξίτηλα	ἐξίτηλος	15	a	-	p	-	-	-	n	n	-
γένηται	γίγνομαι	16	v	3	s	a	s	m	-	-	-
,	,	17	u	-	-	-	-	-	-	-	-
μήτε	μήτε	18	c	-	-	-	-	-	-	-	-
ἔργα	ἔργον	19	n	-	p	-	-	-	n	n	-
μεγάλα	μέγας	20	a	-	d	-	-	-	f	n	-
τε	τε	21	d	-	-	-	-	-	-	-	-
καὶ	καί	22	c	-	-	-	-	-	-	-	-
θωμαστά	θαυμαστός	23	a	-	p	-	-	-	n	n	-
,	,	24	u	-	-	-	-	-	-	-	-
τὰ	ὁ	25	l	-	p	-	-	-	n	n	-
μὲν	μέν	26	d	-	-	-	-	-	-	-	-
Ἕλλησι	Ἕλλην	27	n	-	p	-	-	-	m	d	-
τὰ	ὁ	28	l	-	p	-	-	-	n	n	-
δὲ	δέ	29	c	-	-	-	-	-	-	-	-
βαρβάροισι	βάρβαρος	30	a	-	p	-	-	-	m	d	-
ἀποδεχθέντα	ἀποδέχομαι	31	v	-	p	a	p	p	n	n	-
,	,	32	u	-	-	-	-	-	-	-	-
ἀκλεᾶ	ἀκλεής	33	a	-	p	-	-	-	n	n	-
γένηται	γίγνομαι	34	v	3	s	a	s	m	-	-	-
,	,	35	u	-	-	-	-	-	-	-	-
τά	ὁ	36	l	-	p	-	-	-	n	n	-
τε	τε	37	d	-	-	-	-	-	-	-	-
ἄλλα	ἄλλος	38	p	-	p	-	-	-	n	n	-
καὶ	καί	39	c	-	-	-	-	-	-	-	-
δἰ	διά	40	r	-	-	-	-	-	-	-	-
ἣν	ὅς	41	a	-	s	-	-	-	f	a	-
αἰτίην	αἰτία	42	n	-	s	-	-	-	f	a	-
ἐπολέμησαν	πολεμέω	43	v	3	p	a	i	a	-	-	-
ἀλλήλοισι	ἀλλήλων	44	p	-	p	-	-	-	m	d	-
.	.	45	u	-	-	-	-	-	-	-	-

πέμπτῃ	πέμπτος	1	a	-	s	-	-	-	f	d	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἢ	ἤ	3	c	-	-	-	-	-	-	-	-
ἕκτῃ	ἕκτος	4	a	-	s	-	-	-	f	d	-
ἡμέρῃ	ἡμέρα	5	n	-	s	-	-	-	f	d	-
ἀπ̓	ἀπό	6	r	-	-	-	-	-	-	-	-
ἧς	ὅς	7	p	-	s	-	-	-	f	g	-
ἀπίκοντο	ἀφικνέομαι	8	v	3	p	a	i	m	-	-	-
,	,	9	u	-	-	-	-	-	-	-	-
ἐξεμπολημένων	ἐξεμπολάω	10	v	-	p	r	p	e	n	g	-
σφι	σφεῖς	11	p	-	p	-	-	-	m	d	-
σχεδόν	σχεδόν	12	d	-	-	-	-	-	-	-	-
πάντων	πᾶς	13	a	-	p	-	-	-	n	g	-
,	,	14	u	-	-	-	-	-	-	-	-
ἐλθεῖν	ἔρχομαι	15	v	-	-	a	n	a	-	-	-
ἐπὶ	ἐπί	16	r	-	-	-	-	-	-	-	-
τὴν	ὁ	17	l	-	s	-	-	-	f	a	-
θάλασσαν	θάλασσα	18	n	-	s	-	-	-	f	a	-
γυναῖκας	γυνή	19	n	-	p	-	-	-	f	a	-
ἄλλας	ἄλλος	20	a	-	p	-	-	-	f	a	-
τε	τε	21	d	-	-	-	-	-	-	-	-
πολλάς	πολύς	22	a	-	p	-	-	-	f	a	-
καὶ	καί	23	c	-	-	-	-	-	-	-	-
δὴ	δή	24	d	-	-	-	-	-	-	-	-
καὶ	καί	25	d	-	-	-	-	-	-	-	-
τοῦ	ὁ	26	l	-	s	-	-	-	m	g	-
βασιλέος	βασιλεύς	27	n	-	s	-	-	-	m	g	-
θυγατέρα	θυγάτηρ	28	n	-	s	-	-	-	f	a	-
·	·	29	u	-	-	-	-	-	-	-	-

τὸ	ὁ	1	l	-	s	-	-	-	n	a	-
δέ	δέ	2	d	-	-	-	-	-	-	-	-
οἱ	ἕ	3	p	-	s	-	-	-	f	d	-
οὔνομα	ὄνομα	4	n	-	s	-	-	-	n	a	-
εἶναι	εἰμί	5	v	-	-	p	n	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
κατὰ	κατά	7	r	-	-	-	-	-	-	-	-
τὠυτὸ	αὐτός	8	p	-	s	-	-	-	n	n	-
τὸ	ὁ	9	l	-	s	-	-	-	n	n	-
καὶ	καί	10	d	-	-	-	-	-	-	-	-
Ἕλληνές	Ἕλλην	11	n	-	p	-	-	-	m	n	-
λέγουσι	λέγω	12	v	-	p	p	p	a	m	d	-
,	,	13	u	-	-	-	-	-	-	-	-
Ἰοῦν	̓Ιώ	14	n	-	s	-	-	-	f	a	-
τὴν	ὁ	15	l	-	s	-	-	-	f	a	-
