form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Οὐρανὸς	Οὐρανός	1	n	-	s	-	-	-	m	n	-
πρῶτος	πρῶτος	2	a	-	s	-	-	-	m	n	-
τοῦ	ὁ	3	l	-	s	-	-	-	m	g	-
παντὸς	πᾶς	4	a	-	s	-	-	-	m	g	-
ἐδυνάστευσε	δυναστεύω	5	v	3	s	a	i	a	-	-	-
κόσμου	κόσμος	6	n	-	s	-	-	-	m	g	-
.	.	7	u	-	-	-	-	-	-	-	-

γήμας	γαμέω	1	v	-	s	a	p	a	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Γῆν	Γαῖα	3	n	-	s	-	-	-	f	a	-
ἐτέκνωσε	τεκνόω	4	v	3	s	a	i	a	-	-	-
πρώτους	πρῶτος	5	a	-	p	-	-	-	m	a	-
τοὺς	ὁ	6	l	-	p	-	-	-	m	a	-
ἑκατόγχειρας	ἑκατόγχειρος	7	n	-	p	-	-	-	m	a	-
προσαγορευθέντας	προσαγορεύω	8	v	-	p	a	p	p	m	a	-
,	,	9	u	-	-	-	-	-	-	-	-
Βριάρεων	Βριάρεως	10	n	-	s	-	-	-	m	a	-
Γύην	Γύης	11	n	-	s	-	-	-	m	a	-
Κόττον	Κόττος	12	n	-	s	-	-	-	m	a	-
,	,	13	u	-	-	-	-	-	-	-	-
οἳ	ὅς	14	p	-	p	-	-	-	m	n	-
μεγέθει	μέγεθος	15	n	-	s	-	-	-	n	d	-
τε	τε	16	d	-	-	-	-	-	-	-	-
ἀνυπέρβλητοι	ἀνυπέρβλητος	17	a	-	p	-	-	-	m	n	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
δυνάμει	δύναμις	19	n	-	s	-	-	-	f	d	-
καθειστήκεσαν	καθίστημι	20	v	3	p	l	i	a	-	-	-
,	,	21	u	-	-	-	-	-	-	-	-
χεῖρας	χείρ	22	n	-	p	-	-	-	f	a	-
μὲν	μέν	23	d	-	-	-	-	-	-	-	-
ἀνὰ	ἀνά	24	r	-	-	-	-	-	-	-	-
ἑκατὸν	ἑκατόν	25	m	-	-	-	-	-	-	-	-
κεφαλὰς	κεφαλή	26	n	-	p	-	-	-	f	a	-
δὲ	δέ	27	d	-	-	-	-	-	-	-	-
ἀνὰ	ἀνά	28	r	-	-	-	-	-	-	-	-
πεντήκοντα	πεντήκοντα	29	m	-	-	-	-	-	-	-	-
ἔχοντες	ἔχω	30	v	-	p	p	p	a	m	n	-
.	.	31	u	-	-	-	-	-	-	-	-

μετὰ	μετά	1	r	-	-	-	-	-	-	-	-
τούτους	οὗτος	2	p	-	p	-	-	-	m	a	-
δὲ	δέ	3	d	-	-	-	-	-	-	-	-
αὐτῷ	αὐτός	4	p	-	s	-	-	-	m	d	-
τεκνοῖ	τεκνόω	5	v	3	s	p	i	a	-	-	-
Γῆ	Γαῖα	6	n	-	s	-	-	-	f	n	-
Κύκλωπας	Κύκλωψ	7	n	-	p	-	-	-	m	a	-
,	,	8	u	-	-	-	-	-	-	-	-
Ἄργην	Ἄργης	9	n	-	s	-	-	-	m	a	-
Στερόπην	Στερόπης	10	n	-	s	-	-	-	m	a	-
Βρόντην	Βρόντης	11	n	-	s	-	-	-	m	a	-
,	,	12	u	-	-	-	-	-	-	-	-
ὧν	ὅς	13	p	-	p	-	-	-	m	g	-
ἕκαστος	ἕκαστος	14	a	-	s	-	-	-	m	n	-
εἶχεν	ἔχω	15	v	3	s	i	i	a	-	-	-
ἕνα	εἷς	16	m	-	s	-	-	-	m	a	-
ὀφθαλμὸν	ὀφθαλμός	17	n	-	s	-	-	-	m	a	-
ἐπὶ	ἐπί	18	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	19	l	-	s	-	-	-	n	g	-
μετώπου	μέτωπον	20	n	-	s	-	-	-	n	g	-
.	.	21	u	-	-	-	-	-	-	-	-

ἀλλὰ	ἀλλά	1	c	-	-	-	-	-	-	-	-
τούτους	οὗτος	2	p	-	p	-	-	-	m	a	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
Οὐρανὸς	Οὐρανός	4	n	-	s	-	-	-	m	n	-
δήσας	δέω	5	v	-	s	a	p	a	m	n	-
εἰς	εἰς	6	r	-	-	-	-	-	-	-	-
Τάρταρον	Τάρταρος	7	n	-	s	-	-	-	m	a	-
ἔρριψε	ῥίπτω	8	v	3	s	a	i	a	-	-	-
(	(	9	u	-	-	-	-	-	-	-	-
τόπος	τόπος	10	n	-	s	-	-	-	m	n	-
δὲ	δέ	11	d	-	-	-	-	-	-	-	-
οὗτος	οὗτος	12	p	-	s	-	-	-	m	n	-
ἐρεβώδης	ἐρεβώδης	13	a	-	s	-	-	-	m	n	-
