form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὡς	ὡς	1	c	-	-	-	-	-	-	-	-
τοίνυν	τοίνυν	2	d	-	-	-	-	-	-	-	-
ἐκέκτητο	κτάομαι	3	v	3	s	l	i	e	-	-	-
ὁ	ὁ	4	l	-	s	-	-	-	m	n	-
πατὴρ	πατήρ	5	n	-	s	-	-	-	m	n	-
αὐτοῦ	αὐτός	6	p	-	s	-	-	-	m	g	-
ἀργύριον	ἀργύριον	7	n	-	s	-	-	-	n	a	-
οὐκ	οὐ	8	d	-	-	-	-	-	-	-	-
ὀλίγον	ὀλίγος	9	a	-	s	-	-	-	n	a	-
,	punc1	10	u	-	-	-	-	-	-	-	-
ὃ	ὁ	11	l	-	s	-	-	-	m	n	-
οὗτος	οὗτος	12	p	-	s	-	-	-	m	n	-
ἠφάνικε	ἀφανίζω	13	v	3	s	r	i	a	-	-	-
,	punc1	14	u	-	-	-	-	-	-	-	-
τοῦθ᾽	οὗτος	15	p	-	s	-	-	-	n	a	-
ὑμῖν	σύ	16	p	-	p	-	-	-	m	d	-
ἐπιδείξω	ἐπιδείκνυμι	17	v	1	s	f	i	a	-	-	-
.	punc1	18	u	-	-	-	-	-	-	-	-

φοβηθεὶς	φοβέω	1	v	-	s	a	p	p	m	n	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
τὰς	ὁ	3	l	-	p	-	-	-	f	a	-
λῃτουργίας	λειτουργία	4	n	-	p	-	-	-	f	a	-
ἀπέδοτο	ἀποδίδωμι	5	v	3	s	a	i	m	-	-	-
ἃ	ὅς	6	a	-	p	-	-	-	n	n	_
ἦν	εἰμί	7	v	3	s	i	i	a	-	-	-
αὐτῷ	αὐτός	8	p	-	s	-	-	-	m	d	-
κτήματα	κτῆμα	9	n	-	p	-	-	-	n	n	-
ἄνευ	ἄνευ	10	r	-	-	-	-	-	-	-	-
τῶν	ὁ	11	l	-	p	-	-	-	n	g	-
ἀρτίως	ἄρτιος	12	d	-	-	-	-	-	-	-	p
εἰρημένων	ἐρῶ	13	v	-	p	r	p	e	n	g	-
,	punc1	14	u	-	-	-	-	-	-	-	-
χωρίον	χωρίον	15	n	-	s	-	-	-	n	n	-
Κηφισιᾶσιν	Κηφισία	16	n	-	s	-	-	-	f	l	-
,	punc1	17	u	-	-	-	-	-	-	-	-
ἕτερον	ἕτερος	18	a	-	s	-	-	-	n	n	-
Ἀμφιτροπῆσιν	Ἀμφιτρόπη	19	n	-	s	-	-	-	f	l	-
,	punc1	20	u	-	-	-	-	-	-	-	-
ἐργαστήρια	ἐργαστήριον	21	n	-	p	-	-	-	n	n	-
δύο	δύο	22	a	-	_	-	-	-	_	_	_
