form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἥδιστον	ἡδύς	1	a	-	s	-	-	-	n	n	s
μέν	μέν	2	d	-	-	-	-	-	-	-	-
,	punc1	3	u	-	-	-	-	-	-	-	-
ὦ	ὦ	4	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	5	n	-	p	-	-	-	m	v	-
δικασταί	δικαστής	6	n	-	p	-	-	-	m	v	-
,	punc1	7	u	-	-	-	-	-	-	-	-
ἀνθρώπῳ	ἄνθρωπος	8	n	-	s	-	-	-	m	d	-
ὄντι	εἰμί	9	v	-	s	p	p	a	m	d	-
μὴ	μή	10	d	-	-	-	-	-	-	-	-
γενέσθαι	γίγνομαι	11	v	-	-	a	n	m	-	-	-
μηδένα	μηδείς	12	a	-	s	-	-	-	m	a	_
κίνδυνον	κίνδυνος	13	n	-	s	-	-	-	m	a	-
περὶ	περί	14	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	15	l	-	s	-	-	-	n	g	-
σώματος	σῶμα	16	n	-	s	-	-	-	n	g	-
,	punc1	17	u	-	-	-	-	-	-	-	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
εὐχόμενος	εὔχομαι	19	v	-	s	p	p	e	m	n	-
ἄν	ἄν1	20	d	-	-	-	-	-	-	-	-
τις	τις	21	p	-	s	-	-	-	m	n	-
ταῦτα	οὗτος	22	p	-	p	-	-	-	n	a	-
εὔξαιτο	εὔχομαι	23	v	3	s	a	o	m	-	-	-
:	punc1	24	u	-	-	-	-	-	-	-	-

εἰ	εἰ	1	c	-	-	-	-	-	-	-	-
<	punc1	2	u	-	-	-	-	-	-	-	-
δ᾽	δέ	3	d	-	-	-	-	-	-	-	-
>	punc1	4	u	-	-	-	-	-	-	-	-
ἄρα	ἄρα	5	d	-	-	-	-	-	-	-	-
τις	τις	6	p	-	s	-	-	-	m	n	-
καὶ	καί	7	d	-	-	-	-	-	-	-	-
ἀναγκάζοιτο	ἀναγκάζω	8	v	3	s	p	o	e	-	-	-
