form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Ῥωμαίοις	Ῥωμαῖος	1	n	-	p	-	-	-	m	d	-
ὁ	ὁ	2	l	-	s	-	-	-	m	n	-
δῆμος	δῆμος	3	n	-	s	-	-	-	m	n	-
καὶ	καί	4	c	-	-	-	-	-	-	-	-
ἡ	ὁ	5	l	-	s	-	-	-	f	n	-
βουλὴ	βουλή	6	n	-	s	-	-	-	f	n	-
πολλάκις	πολλάκις	7	d	-	-	-	-	-	-	-	-
ἐς	εἰς	8	r	-	-	-	-	-	-	-	-
ἀλλήλους	ἀλλήλων	9	p	-	p	-	-	-	m	a	-
περί	περί	10	r	-	-	-	-	-	-	-	-
τε	τε	11	d	-	-	-	-	-	-	-	-
νόμων	νόμος	12	n	-	p	-	-	-	m	g	-
θέσεως	θέσις	13	n	-	s	-	-	-	f	g	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
χρεῶν	χρέος	15	n	-	p	-	-	-	n	g	-
ἀποκοπῆς	ἀποκοπή	16	n	-	s	-	-	-	f	g	-
ἢ	ἤ1	17	d	-	-	-	-	-	-	-	-
γῆς	γῆ	18	n	-	s	-	-	-	f	g	-
διαδατουμένης	διαδατέομαι	19	v	-	s	p	p	e	f	g	-
ἢ	ἢ	20	c	-	-	-	-	-	-	-	-
ἐν	ἐν	21	r	-	-	-	-	-	-	-	-
ἀρχαιρεσίαις	ἀρχαιρεσία	22	n	-	p	-	-	-	f	d	-
ἐστασίασαν	στασιάζω	23	v	3	p	a	i	a	-	-	-
·	punc1	24	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	_
μήν	μήν	2	d	-	-	-	-	-	-	-	-
τι	τις	3	a	-	s	-	-	-	n	a	_
χειρῶν	χειρόω	4	v	-	s	p	p	a	n	n	-
ἔργον	ἔργον	5	n	-	s	-	-	-	n	n	-
ἔμφυλον	ἔμφυλος	6	a	-	s	-	-	-	n	n	-
ἦν	εἰμί	7	v	3	s	i	i	a	-	-	-
,	punc1	8	u	-	-	-	-	-	-	-	-
