form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
καὶ	καί	1	d	-	-	-	-	-	-	-	-
οἵδε	ὅδε	2	p	-	p	-	-	-	m	n	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
οὕτως	οὕτως	4	d	-	-	-	-	-	-	-	-
ἐγκρατῶς	ἐγκρατής	5	d	-	-	-	-	-	-	-	-
ἀπέθανον	ἀποθνήσκω	6	v	3	p	a	i	a	-	-	-
·	·	7	u	-	-	-	-	-	-	-	-

ἠνυσμένων	ἀνύω	1	v	-	p	r	p	e	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τῶν	ὁ	3	l	-	p	-	-	-	m	g	-
ἀμφὶ	ἀμφί	4	r	-	-	-	-	-	-	-	-
τὴν	ὁ	5	l	-	s	-	-	-	f	a	-
Ἰταλίαν	Ἰταλία	6	n	-	s	-	-	-	f	a	-
πολέμοις	πόλεμος	7	n	-	p	-	-	-	m	d	-
καὶ	καί	8	d	-	-	-	-	-	-	-	-
πυρὶ	πῦρ	9	n	-	s	-	-	-	n	d	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
φόνῳ	φόνος	11	n	-	s	-	-	-	m	d	-
πολλῷ	πολύς	12	a	-	s	-	-	-	m	d	-
,	,	13	u	-	-	-	-	-	-	-	-
οἱ	ὁ	14	l	-	p	-	-	-	m	n	-
μὲν	μέν	15	d	-	-	-	-	-	-	-	-
τοῦ	ὁ	16	l	-	s	-	-	-	m	g	-
Σύλλα	Σύλλας	17	n	-	s	-	-	-	m	g	-
στρατηγοὶ	στρατηγός	18	n	-	p	-	-	-	m	n	-
τὰς	ὁ	19	l	-	p	-	-	-	f	a	-
πόλεις	πόλις	20	n	-	p	-	-	-	f	a	-
ἐπιόντες	ἔπειμι1	21	v	-	p	p	p	a	m	n	-
τὰ	ὁ	22	l	-	p	-	-	-	n	a	-
ὕποπτα	ὕποπτος	23	a	-	p	-	-	-	n	a	-
ἐφρούρουν	φρουρέω	24	v	3	p	i	i	a	-	-	-
,	,	25	u	-	-	-	-	-	-	-	-
καὶ	καί	26	c	-	-	-	-	-	-	-	-
Πομπήιος	Πομπήιος	27	n	-	s	-	-	-	m	n	-
ἔς	εἰς	28	r	-	-	-	-	-	-	-	-
τε	τε	29	d	-	-	-	-	-	-	-	-
Λιβύην	Λιβύη	30	n	-	s	-	-	-	f	a	-
ἐπὶ	ἐπί	31	r	-	-	-	-	-	-	-	-
Κάρβωνα	Κάρβων	32	n	-	s	-	-	-	m	a	-
καὶ	καί	33	c	-	-	-	-	-	-	-	-
ἐς	εἰς	34	r	-	-	-	-	-	-	-	-
Σικελίαν	Σικελία	35	n	-	s	-	-	-	f	a	-
ἐπὶ	ἐπί	36	r	-	-	-	-	-	-	-	-
τοὺς	ὁ	37	l	-	p	-	-	-	m	a	-
ἐκεῖ	ἐκεῖ	38	d	-	-	-	-	-	-	-	-
