form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
προαιρούμεθα	προαιρέω	3	v	1	p	p	i	e	-	-	-
θεωρῆσαι	θεωρέω	4	v	-	-	a	n	a	-	-	-
περὶ	περί	5	r	-	-	-	-	-	-	-	-
τῆς	ὁ	6	l	-	s	-	-	-	f	g	-
κοινωνίας	κοινωνία	7	n	-	s	-	-	-	f	g	-
τῆς	ὁ	8	l	-	s	-	-	-	f	g	-
πολιτικῆς	πολιτικός	9	a	-	s	-	-	-	f	g	-
,	punc1	10	u	-	-	-	-	-	-	-	-
τίς	τις	11	p	-	s	-	-	-	f	n	-
κρατίστη	κράτιστος	12	a	-	s	-	-	-	f	n	-
πασῶν	πᾶς	13	a	-	p	-	-	-	f	g	-
τοῖς	ὁ	14	l	-	p	-	-	-	m	d	-
δυναμένοις	δύναμαι	15	v	-	p	p	p	e	m	d	-
ζῆν	ζάω	16	v	-	-	p	n	a	-	-	-
ὅτι	ὅτι2	17	c	-	-	-	-	-	-	-	-
μάλιστα	μάλιστα	18	d	-	-	-	-	-	-	-	-
κατ᾽	κατά	19	r	-	-	-	-	-	-	-	-
εὐχήν	εὐχή	20	n	-	s	-	-	-	f	a	-
,	punc1	21	u	-	-	-	-	-	-	-	-
δεῖ	δεῖ	22	v	3	s	p	i	a	-	-	-
καὶ	καί	23	d	-	-	-	-	-	-	-	-
τὰς	ὁ	24	l	-	p	-	-	-	f	a	-
ἄλλας	ἄλλος	25	a	-	p	-	-	-	f	a	_
ἐπισκέψασθαι	ἐπισκέπτομαι	26	v	-	-	a	n	e	-	-	-
πολιτείας	πολιτεία	27	n	-	s	-	-	-	f	g	-
,	punc1	28	u	-	-	-	-	-	-	-	-
αἷς	ὅς	29	p	-	p	-	-	-	f	d	-
τε	τε	30	d	-	-	-	-	-	-	-	-
χρῶνταί	χράομαι	31	v	3	p	p	s	e	-	-	-
τινες	τις	32	p	-	p	-	-	-	f	n	-
τῶν	ὁ	33	l	-	p	-	-	-	f	g	-
πόλεων	πόλις	34	n	-	p	-	-	-	f	g	-
τῶν	ὁ	35	l	-	p	-	-	-	f	g	-
εὐνομεῖσθαι	εὐνομέομαι	36	v	-	-	p	n	e	-	-	-
λεγομένων	λέγω3	37	v	-	p	p	p	e	f	g	-
,	punc1	38	u	-	-	-	-	-	-	-	-
κ-	καί	39	c	-	-	-	-	-	-	-	-
ἂν	ἄν1	40	d	-	-	-	-	-	-	-	-
εἴ	εἰ	41	c	-	-	-	-	-	-	-	-
τινες	τις	42	p	-	p	-	-	-	f	n	-
ἕτεραι	ἕτερος	43	a	-	p	-	-	-	f	n	-
τυγχάνουσιν	τυγχάνω	44	v	3	p	p	i	a	-	-	-
ὑπὸ	ὑπό	45	r	-	-	-	-	-	-	-	-
τινῶν	τις	46	p	-	p	-	-	-	m	g	-
εἰρημέναι	ἐρῶ	47	v	-	p	r	p	e	f	n	-
καὶ	καί	48	c	-	-	-	-	-	-	-	-
δοκοῦσαι	δοκέω	49	v	-	p	p	p	a	f	n	-
καλῶς	καλός	50	d	-	-	-	-	-	-	-	p
ἔχειν	ἔχω	51	v	-	-	p	n	a	-	-	-
,	punc1	52	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	53	c	-	-	-	-	-	-	-	-
τό	ὁ	54	l	-	s	-	-	-	n	n	-
τ᾽	τε	55	d	-	-	-	-	-	-	-	-
ὀρθῶς	ὀρθός	56	d	-	-	-	-	-	-	-	-
ἔχον	ἔχω	57	v	-	s	p	p	a	n	n	-
ὀφθῇ	ὁράω	58	v	3	s	a	s	p	-	-	-
καὶ	καί	59	c	-	-	-	-	-	-	-	-
τὸ	ὁ	60	l	-	s	-	-	-	n	n	-
χρήσιμον	χρήσιμος	61	a	-	s	-	-	-	n	n	-
,	punc1	62	u	-	-	-	-	-	-	-	-
ἔτι	ἔτι	63	d	-	-	-	-	-	-	-	-
δὲ	δέ	64	c	-	-	-	-	-	-	-	-
τὸ	ὁ	65	l	-	s	-	-	-	n	n	-
ζητεῖν	ζητέω	66	v	-	-	p	n	a	-	-	-
τι	τις	67	p	-	s	-	-	-	n	a	-
παρ᾽	παρά	68	r	-	-	-	-	-	-	-	-
αὐτὰς	αὐτός	69	p	-	p	-	-	-	f	a	-
ἕτερον	ἕτερος	70	a	-	s	-	-	-	n	a	-
μὴ	μή	71	d	-	-	-	-	-	-	-	-
δοκῇ	δοκέω	72	v	3	s	p	s	a	-	-	-
πάντως	πάντως	73	d	-	-	-	-	-	-	-	-
εἶναι	εἰμί	74	v	-	-	p	n	a	-	-	-
σοφίζεσθαι	σοφίζομαι	75	v	-	-	p	n	e	-	-	-
βουλομένων	βούλομαι	76	v	-	p	p	p	e	m	g	-
,	punc1	77	u	-	-	-	-	-	-	-	-
ἀλλὰ	ἀλλά	78	c	-	-	-	-	-	-	-	-
διὰ	διά	79	r	-	-	-	-	-	-	-	-
τὸ	ὁ	80	l	-	s	-	-	-	n	a	-
μὴ	μή	81	d	-	-	-	-	-	-	-	-
καλῶς	καλός	82	d	-	-	-	-	-	-	-	-
ἔχειν	ἔχω	83	v	-	-	p	n	a	-	-	-
ταύτας	οὗτος	84	p	-	p	-	-	-	f	a	-
τὰς	ὁ	85	l	-	p	-	-	-	f	a	-
νῦν	νῦν	86	d	-	-	-	-	-	-	-	-
ὑπαρχούσας	ὑπάρχω	87	v	-	p	p	p	a	f	a	-
,	punc1	88	u	-	-	-	-	-	-	-	-
διὰ	διά	89	r	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	90	p	-	s	-	-	-	n	a	-
ταύτην	οὗτος	91	a	-	s	-	-	-	f	a	_
δοκῶμεν	δοκέω	92	v	1	p	p	s	a	-	-	-
ἐπιβαλέσθαι	ἐπιβάλλω	93	v	-	-	a	n	m	-	-	-
τὴν	ὁ	94	l	-	s	-	-	-	f	a	-
μέθοδον	μέθοδος	95	n	-	s	-	-	-	f	a	-
.	punc1	96	u	-	-	-	-	-	-	-	-

ἀρχὴν	ἀρχή	1	n	-	s	-	-	-	f	a	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
πρῶτον	πρῶτος	3	a	-	s	-	-	-	n	a	-
ποιητέον	ποιητέος	4	a	-	s	-	-	-	n	n	-
ἥπερ	ὅς	5	a	-	s	-	-	-	f	n	_
πέφυκεν	φύω	6	v	3	s	r	i	a	-	-	-
ἀρχὴ	ἀρχή	7	n	-	s	-	-	-	f	n	-
ταύτης	οὗτος	8	a	-	s	-	-	-	f	g	_
τῆς	ὁ	9	l	-	s	-	-	-	f	g	-
σκέψεως	σκέψις	10	n	-	s	-	-	-	f	g	-
.	punc1	11	u	-	-	-	-	-	-	-	-

ἀνάγκη	ἀνάγκη	1	n	-	s	-	-	-	f	n	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἤτοι	ἤτοι	3	d	-	-	-	-	-	-	-	-
πάντας	πᾶς	4	a	-	p	-	-	-	m	a	-
πάντων	πᾶς	5	a	-	p	-	-	-	n	g	-
κοινωνεῖν	κοινωνέω	6	v	-	-	p	n	a	-	-	-
τοὺς	ὁ	7	l	-	p	-	-	-	m	a	-
πολίτας	πολίτης	8	n	-	p	-	-	-	m	a	-
,	punc1	9	u	-	-	-	-	-	-	-	-
ἢ	ἤ1	10	d	-	-	-	-	-	-	-	-
μηδενός	μηδείς	11	p	-	s	-	-	-	n	g	-
,	punc1	12	u	-	-	-	-	-	-	-	-
ἢ	ἢ	13	c	-	-	-	-	-	-	-	-
τινῶν	τις	14	p	-	p	-	-	-	n	g	-
μὲν	μέν	15	d	-	-	-	-	-	-	-	-
τινῶν	τις	16	p	-	p	-	-	-	n	g	-
δὲ	δέ	17	c	-	-	-	-	-	-	-	-
μή	μή	18	d	-	-	-	-	-	-	-	-
.	punc1	19	u	-	-	-	-	-	-	-	-

τὸ	ὁ	1	l	-	s	-	-	-	n	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
μηδενὸς	μηδείς	4	p	-	s	-	-	-	n	g	-
κοινωνεῖν	κοινωνέω	5	v	-	-	p	n	a	-	-	-
φανερὸν	φανερός	6	a	-	s	-	-	-	n	n	-
ὡς	ὡς	7	c	-	-	-	-	-	-	-	-
ἀδύνατον	ἀδύνατος	8	a	-	s	-	-	-	n	n	-
(	punc1	9	u	-	-	-	-	-	-	-	-
ἡ	ὁ	10	l	-	s	-	-	-	f	n	-
γὰρ	γάρ	11	d	-	-	-	-	-	-	-	-
