form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
πολλά	πολύς	1	a	-	p	-	-	-	n	n	-
με	ἐγώ	2	p	1	s	-	-	-	m	a	-
τὰ	ὁ	3	l	-	p	-	-	-	n	n	-
παρακαλοῦντα	παρακαλέω	4	v	-	p	p	p	a	n	n	-
ἦν	εἰμί	5	v	3	s	i	i	a	-	-	-
,	punc1	6	u	-	-	-	-	-	-	-	-
ὦ	ὦ	7	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	8	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	9	a	-	p	-	-	-	m	v	-
,	punc1	10	u	-	-	-	-	-	-	-	-
γράψασθαι	γράφω	11	v	-	-	a	n	m	-	-	-
Νέαιραν	Νέαιρα	12	n	-	s	-	-	-	f	a	-
τὴν	ὁ	13	l	-	s	-	-	-	f	a	-
γραφὴν	γραφή	14	n	-	s	-	-	-	f	a	-
ταυτηνὶ	οὗτος	15	a	-	s	-	-	-	f	a	_
καὶ	καί	16	c	-	-	-	-	-	-	-	-
εἰσελθεῖν	εἰσέρχομαι	17	v	-	-	a	n	a	-	-	-
εἰς	εἰς	18	r	-	-	-	-	-	-	-	-
ὑμᾶς	σύ	19	p	-	p	-	-	-	m	a	-
.	punc1	20	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἠδικήμεθα	ἀδικέω	3	v	1	p	r	i	e	-	-	-
ὑπὸ	ὑπό	4	r	-	-	-	-	-	-	-	-
Στεφάνου	Στέφανος	5	n	-	s	-	-	-	m	g	-
μεγάλα	μέγας	6	a	-	p	-	-	-	n	a	_
,	punc1	7	u	-	-	-	-	-	-	-	-
καὶ	καί	8	c	-	-	-	-	-	-	-	-
εἰς	εἰς	9	r	-	-	-	-	-	-	-	-
κινδύνους	κίνδυνος	10	n	-	p	-	-	-	m	a	-
τοὺς	ὁ	11	l	-	p	-	-	-	m	a	-
ἐσχάτους	ἔσχατος	12	a	-	p	-	-	-	m	a	-
κατέστημεν	καθίστημι	13	v	1	p	a	i	a	-	-	-
ὑπʼ	ὑπό	14	r	-	-	-	-	-	-	-	-
αὐτοῦ	αὐτός	15	p	-	s	-	-	-	m	g	-
,	punc1	16	u	-	-	-	-	-	-	-	-
ὅ	ὁ	17	l	-	s	-	-	-	m	n	-
τε	τε	18	d	-	-	-	-	-	-	-	-
κηδεστὴς	κηδεστής	19	n	-	s	-	-	-	m	n	-
καὶ	καί	20	d	-	-	-	-	-	-	-	-
ἐγὼ	ἐγώ	21	p	1	s	-	-	-	m	n	-
καὶ	καί	22	d	-	-	-	-	-	-	-	-
ἡ	ὁ	23	l	-	s	-	-	-	f	n	-
ἀδελφὴ	ἀδελφή	24	n	-	s	-	-	-	f	n	-
καὶ	καί	25	c	-	-	-	-	-	-	-	-
ἡ	ὁ	26	l	-	s	-	-	-	f	n	-
γυνὴ	γυνή	27	n	-	s	-	-	-	f	n	-
ἡ	ὁ	28	l	-	s	-	-	-	f	n	-
ἐμή	ἐμός	29	a	-	s	-	-	-	f	n	-
,	punc1	30	u	-	-	-	-	-	-	-	-
ὥστε	ὥστε	31	c	-	-	-	-	-	-	-	-
οὐχ	οὐ	32	d	-	-	-	-	-	-	-	-
ὑπάρχων	ὑπάρχω	33	v	-	s	p	p	a	m	n	-
