form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
περιιόντων	περίειμι1	1	v	-	p	p	p	a	m	g	-
τοίνυν	τοίνυν	2	d	-	-	-	-	-	-	-	-
τὴν	ὁ	3	l	-	s	-	-	-	f	a	-
χώραν	χώρα	4	n	-	s	-	-	-	f	a	-
τῶν	ὁ	5	l	-	p	-	-	-	m	g	-
Ἀμφικτυόνων	Ἀμφικτύων	6	n	-	p	-	-	-	m	g	-
κατὰ	κατά	7	r	-	-	-	-	-	-	-	-
τὴν	ὁ	8	l	-	s	-	-	-	f	a	-
ὑφήγησιν	ὑφήγησις	9	n	-	s	-	-	-	f	a	-
τὴν	ὁ	10	l	-	s	-	-	-	f	a	-
τούτου	οὗτος	11	p	-	s	-	-	-	m	g	-
,	,	12	u	-	-	-	-	-	-	-	-
προσπεσόντες	προσπίτνω	13	v	-	p	a	p	a	m	n	-
οἱ	ὁ	14	l	-	p	-	-	-	m	n	-
Λοκροὶ	Λοκροί	15	n	-	p	-	-	-	m	n	-
μικροῦ	μικρός	16	a	-	s	-	-	-	n	g	-
κατηκόντισαν	κατακοντίζω	17	v	3	p	a	i	a	-	-	-
ἅπαντας	ἅπας	18	a	-	p	-	-	-	m	a	-
,	,	19	u	-	-	-	-	-	-	-	-
τινὰς	τις	20	p	-	p	-	-	-	m	a	-
δὲ	δέ	21	c	-	-	-	-	-	-	-	-
καὶ	καί	22	d	-	-	-	-	-	-	-	-
συνήρπασαν	συναρπάζω	23	v	3	p	a	i	a	-	-	-
τῶν	ὁ	24	l	-	p	-	-	-	m	g	-
ἱερομνημόνων	ἱερομνήμων	25	n	-	p	-	-	-	m	g	-
.	.	26	u	-	-	-	-	-	-	-	-

ὡς	ὡς	1	c	-	-	-	-	-	-	-	-
δ ̓	δέ	2	d	-	-	-	-	-	-	-	-
ἅπαξ	ἅπαξ	3	d	-	-	-	-	-	-	-	-
ἐκ	ἐκ	4	r	-	-	-	-	-	-	-	-
