form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
εἰ	εἰ	1	c	-	-	-	-	-	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
περὶ	περί	3	r	-	-	-	-	-	-	-	-
καινοῦ	καινός	4	a	-	s	-	-	-	n	g	-
τινος	τις	5	a	-	s	-	-	-	n	g	_
πράγματος	πρᾶγμα	6	n	-	s	-	-	-	n	g	-
προυτίθετʼ	προτίθημι	7	v	3	s	i	i	e	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
ὦ	ὦ	9	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	10	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	11	n	-	p	-	-	-	m	v	-
,	,	12	u	-	-	-	-	-	-	-	-
λέγειν	λέγω3	13	v	-	-	p	n	a	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
ἐπισχὼν	ἐπέχω	15	v	-	s	a	p	a	m	n	_
ἂν	ἄν1	16	d	-	-	-	-	-	-	-	-
ἕως	ἕως	17	c	-	-	-	-	-	-	-	-
οἱ	ὁ	18	l	-	p	-	-	-	m	n	-
πλεῖστοι	πλεῖστος	19	a	-	p	-	-	-	m	n	-
τῶν	ὁ	20	l	-	p	-	-	-	m	g	-
εἰωθότων	ἔθω	21	v	-	p	r	p	a	m	g	-
γνώμην	γνώμη	22	n	-	s	-	-	-	f	a	-
ἀπεφήναντο	ἀποφαίνω	23	v	3	p	a	i	m	-	-	-
,	,	24	u	-	-	-	-	-	-	-	-
εἰ	εἰ	25	c	-	-	-	-	-	-	-	-
μὲν	μέν	26	d	-	-	-	-	-	-	-	-
ἤρεσκέ	ἀρέσκω	27	v	3	s	i	i	a	-	-	-
τί	τις	28	p	-	s	-	-	-	n	n	-
μοι	ἐγώ	29	p	1	s	-	-	-	m	d	-
τῶν	ὁ	30	l	-	p	-	-	-	n	g	-
ὑπὸ	ὑπό	31	r	-	-	-	-	-	-	-	-
τούτων	οὗτος	32	p	-	p	-	-	-	m	g	-
ῥηθέντων	ἐρῶ	33	v	-	p	a	p	p	n	g	-
,	,	34	u	-	-	-	-	-	-	-	-
ἡσυχίαν	ἡσυχία	35	n	-	s	-	-	-	f	a	-
ἂν	ἄν1	36	d	-	-	-	-	-	-	-	-
ἦγον	ἄγω	37	v	1	s	i	i	a	-	-	-
,	,	38	u	-	-	-	-	-	-	-	-
εἰ	εἰ	39	c	-	-	-	-	-	-	-	-
δὲ	δέ	40	c	-	-	-	-	-	-	-	-
μή	μή	41	d	-	-	-	-	-	-	-	-
,	,	42	u	-	-	-	-	-	-	-	-
τότʼ	τότε	43	d	-	-	-	-	-	-	-	_
ἂν	ἄν1	44	d	-	-	-	-	-	-	-	-
κ-	καί	45	d	-	-	-	-	-	-	-	-
αὐτὸς	αὐτός	46	p	-	s	-	-	-	m	n	-
ἐπειρώμην	πειράω	47	v	1	s	i	i	e	-	-	-
ἃ	ὁ	48	l	-	s	-	-	-	f	n	-
γιγνώσκω	γιγνώσκω	49	v	1	s	p	s	a	-	-	-
λέγειν	λέγω1	50	v	-	-	p	n	a	-	-	-
·	·	51	u	-	-	-	-	-	-	-	-

ἐπειδὴ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δʼ	δέ	2	d	-	-	-	-	-	-	-	-
ὑπὲρ	ὑπέρ	3	r	-	-	-	-	-	-	-	-
ὧν	ὅς	4	p	-	p	-	-	-	n	g	-
πολλάκις	πολλάκις	5	d	-	-	-	-	-	-	-	-
εἰρήκασιν	ἐρῶ	6	v	3	p	r	i	a	-	-	-
οὗτοι	οὗτος	7	p	-	p	-	-	-	m	n	-
πρότερον	πρότερος	8	a	-	s	-	-	-	n	a	-
συμβαίνει	συμβαίνω	9	v	3	s	p	i	a	-	-	-
καὶ	καί	10	d	-	-	-	-	-	-	-	-
νυνὶ	νυνί	11	d	-	-	-	-	-	-	-	-
σκοπεῖν	σκοπέω	12	v	-	-	p	n	a	-	-	-
,	,	13	u	-	-	-	-	-	-	-	-
ἡγοῦμαι	ἡγέομαι	14	v	1	s	p	i	m	-	-	-
καὶ	καί	15	d	-	-	-	-	-	-	-	-
πρῶτος	πρότερος	16	a	-	s	-	-	-	m	n	-
ἀναστὰς	ἀνίστημι	17	v	-	s	a	p	a	m	n	-
εἰκότως	ἐοικότως	18	d	-	-	-	-	-	-	-	-
ἂν	ἄν1	19	d	-	-	-	-	-	-	-	-
συγγνώμης	συγγνώμη	20	n	-	s	-	-	-	f	g	-
τυγχάνειν	τυγχάνω	21	v	-	-	p	n	a	-	-	-
.	.	22	u	-	-	-	-	-	-	-	-

εἰ	εἰ	1	c	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἐκ	ἐκ	3	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	4	l	-	s	-	-	-	m	g	-
