form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
μετὰ	μετά	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
οὐ	οὐ	3	d	-	-	-	-	-	-	-	-
πολὺν	πολύς	4	a	-	s	-	-	-	m	a	-
χρόνον	χρόνος	5	n	-	s	-	-	-	m	a	-
στόλος	στόλος	6	n	-	s	-	-	-	m	n	-
ἄλλος	ἄλλος	7	a	-	s	-	-	-	m	n	_
Ἑλληνικὸς	Ἑλληνικός	8	a	-	s	-	-	-	m	n	-
εἰς	εἰς	9	r	-	-	-	-	-	-	-	-
ταῦτα	οὗτος	10	a	-	p	-	-	-	n	a	_
τὰ	ὁ	11	l	-	p	-	-	-	n	a	-
χωρία	χωρίον	12	n	-	p	-	-	-	n	a	-
τῆς	ὁ	13	l	-	s	-	-	-	f	g	-
Ἰταλίας	Ἰταλία	14	n	-	s	-	-	-	f	g	-
κατάγεται	κατάγω	15	v	3	s	p	i	e	-	-	-
,	punc1	16	u	-	-	-	-	-	-	-	-
ἑξηκοστῷ	ἑξηκοστός	17	a	-	s	-	-	-	n	d	-
μάλιστα	μάλιστα	18	d	-	-	-	-	-	-	-	-
ἔτει	ἔτος	19	n	-	s	-	-	-	n	d	-
πρότερον	πρότερος	20	a	-	s	-	-	-	n	a	-
τῶν	ὁ	21	l	-	p	-	-	-	n	g	-
Τρωικῶν	Τρωικός	22	a	-	p	-	-	-	n	g	-
,	punc1	23	u	-	-	-	-	-	-	-	-
ὡς	ὡς	24	c	-	-	-	-	-	-	-	-
αὐτοὶ	αὐτός	25	a	-	p	-	-	-	m	n	_
Ῥωμαῖοι	Ῥωμαῖος	26	n	-	p	-	-	-	m	n	-
λέγουσιν	λέγω3	27	v	3	p	p	i	a	-	-	-
,	punc1	28	u	-	-	-	-	-	-	-	-
ἐκ	ἐκ	29	r	-	-	-	-	-	-	-	-
Παλλαντίου	Παλλάντιος	30	n	-	s	-	-	-	n	g	-
πόλεως	πόλις	31	n	-	s	-	-	-	f	g	-
Ἀρκαδικῆς	Ἀρκαδικός	32	a	-	s	-	-	-	f	g	-
ἀναστάς	ἀνίστημι	33	v	-	s	a	p	a	m	n	-
.	punc1	34	u	-	-	-	-	-	-	-	-

ἡγεῖτο	ἡγέομαι	1	v	3	s	i	i	m	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
