form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
μεγίστου	μέγας	1	a	-	s	-	-	-	n	g	s
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
ἐπὶ	ἐπί	3	r	-	-	-	-	-	-	-	-
τῷ	ὁ	4	l	-	s	-	-	-	m	d	-
φόνῳ	φόνος	5	n	-	s	-	-	-	m	d	-
γενομένου	γίγνομαι	6	v	-	s	a	p	m	n	g	-
κινήματος	κίνημα	7	n	-	s	-	-	-	n	g	-
καὶ	καί	8	c	-	-	-	-	-	-	-	-
διαστασιασθέντων	διαστασιάζω	9	v	-	p	a	p	p	m	g	-
τῶν	ὁ	10	l	-	p	-	-	-	m	g	-
δυνατῶν	δυνάτης	11	n	-	p	-	-	-	m	g	-
ἕκαστος	ἕκαστος	12	a	-	s	-	-	-	m	n	-
ἐλπίσιν	ἐλπίς	13	n	-	p	-	-	-	f	d	-
οἰκείαις	οἰκεῖος	14	a	-	p	-	-	-	f	d	-
ἐχώρει	χωρέω	15	v	3	s	i	i	a	-	-	-
πρὸς	πρός	16	r	-	-	-	-	-	-	-	-
ὃ	ὅς	17	p	-	s	-	-	-	n	a	-
συμφέρειν	συμφέρω	18	v	-	-	p	n	a	-	-	-
ὑπελάμβανεν	ὑπολαμβάνω	19	v	3	s	i	i	a	-	-	-
,	punc1	20	u	-	-	-	-	-	-	-	-
καὶ	καί	21	c	-	-	-	-	-	-	-	-
δὴ	δή	22	d	-	-	-	-	-	-	-	-
καὶ	καί	23	d	-	-	-	-	-	-	-	-
Κάσσιος	Κάσσιος	24	n	-	s	-	-	-	m	n	-
εἰς	εἰς	25	r	-	-	-	-	-	-	-	-
Συρίαν	Συρία	26	n	-	s	-	-	-	f	a	-
καταληψόμενος	καταλαμβάνω	27	v	-	s	f	p	m	m	n	-
τὰς	ὁ	28	l	-	p	-	-	-	f	a	-
περὶ	περί	29	r	-	-	-	-	-	-	-	-
Ἀπάμειαν	Ἀπάμεια	30	n	-	s	-	-	-	f	a	-
δυνάμεις	δύναμις	31	n	-	p	-	-	-	f	a	-
.	punc1	32	u	-	-	-	-	-	-	-	-

ἔνθα	ἔνθα	1	d	-	-	-	-	-	-	-	-
Βάσσῳ	Βάσσος	2	n	-	s	-	-	-	m	d	-
τε	τε	3	d	-	-	-	-	-	-	-	-
Μοῦρκον	Μοῦρκος	4	n	-	s	-	-	-	m	a	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
τὰ	ὁ	6	l	-	p	-	-	-	n	a	-
διεστῶτα	διίστημι	7	v	-	p	r	p	a	n	a	-
τάγματα	τάγμα	8	n	-	p	-	-	-	n	a	-
διαλλάξας	διαλλάσσω	9	v	-	s	a	p	a	m	n	-
ἐλευθεροῖ	ἐλευθερόω	10	v	3	s	p	i	a	-	-	-
μὲν	μέν	11	d	-	-	-	-	-	-	-	-
Ἀπάμειαν	Ἀπάμεια	12	n	-	s	-	-	-	f	a	-
τῆς	ὁ	13	l	-	s	-	-	-	f	g	-
πολιορκίας	πολιορκία	14	n	-	s	-	-	-	f	g	-
,	punc1	15	u	-	-	-	-	-	-	-	-
ἡγούμενος	ἡγέομαι	16	v	-	s	p	p	m	m	n	-
δ᾽	δέ	17	c	-	-	-	-	-	-	-	-
αὐτὸς	αὐτός	18	p	-	s	-	-	-	m	n	-
τῆς	ὁ	19	l	-	s	-	-	-	f	g	-
στρατιᾶς	στρατιά	20	n	-	s	-	-	-	f	g	-
ἐπῄει	ἔπειμι2	21	v	3	s	i	i	a	-	-	-
φορολογῶν	φορολογέω	22	v	-	s	p	p	a	m	n	-
τὰς	ὁ	23	l	-	p	-	-	-	f	a	-
πόλεις	πόλις	24	n	-	p	-	-	-	f	a	-
καὶ	καί	25	c	-	-	-	-	-	-	-	-
παρὰ	παρά	26	r	-	-	-	-	-	-	-	-
δύναμιν	δύναμις	27	n	-	s	-	-	-	f	a	-
τὰς	ὁ	28	l	-	p	-	-	-	f	a	-
εἰσπράξεις	εἴσπραξις	29	n	-	p	-	-	-	f	a	-
ποιούμενος	ποιέω	30	v	-	s	p	p	e	m	n	-
.	punc1	31	u	-	-	-	-	-	-	-	-

Κελευσθὲν	κελεύω	1	v	-	s	a	p	p	n	a	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
Ἰουδαίοις	Ἰουδαῖος	4	n	-	p	-	-	-	m	d	-
εἰσενεγκεῖν	εἰσφέρω	5	v	-	-	a	n	a	-	-	-
ἑπτακόσια	ἑπτακόσιοι	6	a	-	p	-	-	-	n	a	-
τάλαντα	τάλαντον	7	n	-	p	-	-	-	n	a	-
δείσας	δείδω	8	v	-	s	a	p	a	m	n	-
Ἀντίπατρος	Ἀντίπατρος	9	n	-	s	-	-	-	m	n	-
τὴν	ὁ	10	l	-	s	-	-	-	f	a	-
ἀπειλὴν	ἀπειλή	11	n	-	s	-	-	-	f	a	-
τοῦ	ὁ	12	l	-	s	-	-	-	m	g	-
Κασσίου	Κάσσιος	13	n	-	s	-	-	-	m	g	-
τοῖς	ὁ	14	l	-	p	-	-	-	m	d	-
τε	τε	15	d	-	-	-	-	-	-	-	-
υἱοῖς	υἱός	16	n	-	p	-	-	-	m	d	-
διεῖλεν	διαιρέω	17	v	3	s	a	i	a	-	-	-
εἰσπράττειν	εἰσπράσσω	18	v	-	-	p	n	a	-	-	-
τὰ	ὁ	19	l	-	p	-	-	-	n	a	-
