form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἐγὼ	ἐγώ	1	p	1	s	-	-	-	m	n	-
μέν	μέν	2	d	-	-	-	-	-	-	-	-
,	punc1	3	u	-	-	-	-	-	-	-	-
ὦ	ὦ	4	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	5	n	-	p	-	-	-	m	v	-
δικασταί	δικαστής	6	n	-	p	-	-	-	m	v	-
,	punc1	7	u	-	-	-	-	-	-	-	-
καὶ	καί	8	d	-	-	-	-	-	-	-	_
ὑμᾶς	σύ	9	p	2	p	-	-	-	m	a	-
αἰτοῦμαι	αἰτέω	10	v	1	s	p	i	e	-	-	-
τὰ	ὁ	11	l	-	p	-	-	-	n	a	-
δίκαια	δίκαιος	12	a	-	p	-	-	-	n	a	-
ψηφίσασθαι	ψηφίζω	13	v	-	-	a	n	m	-	-	-
,	punc1	14	u	-	-	-	-	-	-	-	-
καὶ	καί	15	c	-	-	-	-	-	-	-	-
τῶν	ὁ	16	l	-	p	-	-	-	m	g	-
στρατηγῶν	στρατηγός	17	n	-	p	-	-	-	m	g	-
δέομαι	δέομαι	18	v	1	s	p	i	e	-	-	-
,	punc1	19	u	-	-	-	-	-	-	-	-
ἐπεὶ	ἐπεί	20	c	-	-	-	-	-	-	-	-
καὶ	καί	21	d	-	-	-	-	-	-	-	_
ἐν	ἐν	22	r	-	-	-	-	-	-	-	-
τῇ	ὁ	23	l	-	s	-	-	-	f	d	-
ἄλλῃ	ἄλλος	24	p	-	s	-	-	-	f	d	-
ἀρχῇ	ἀρχή	25	n	-	s	-	-	-	f	d	-
πολλοῦ	πολύς	26	a	-	s	-	-	-	n	g	-
ἄξιοι	ἄξιος	27	a	-	p	-	-	-	m	n	-
τῇ	ὁ	28	l	-	s	-	-	-	f	d	-
πόλει	πόλις	29	n	-	s	-	-	-	f	d	-
γεγόνασι	γίγνομαι	30	v	3	p	r	i	a	-	-	-
,	punc1	31	u	-	-	-	-	-	-	-	-
καὶ	καί	32	d	-	-	-	-	-	-	-	_
τῶν	ὁ	33	l	-	p	-	-	-	f	g	-
τῆς	ὁ	34	l	-	s	-	-	-	f	g	-
ἀστρατείας	ἀστρατεία	35	n	-	s	-	-	-	f	g	-
γραφῶν	γραφή	36	n	-	p	-	-	-	f	g	-
κοινοὺς	κοινός	37	a	-	p	-	-	-	m	a	-
εἶναι	εἰμί	38	v	-	-	p	n	a	-	-	-
τῷ	ὁ	39	l	-	s	-	-	-	m	d	-
τε	τε	40	d	-	-	-	-	-	-	-	-
διώκοντι	διώκω	41	v	-	s	p	p	a	m	d	-
καὶ	καί	42	c	-	-	-	-	-	-	-	-
τῷ	ὁ	43	l	-	s	-	-	-	m	d	-
φεύγοντι	φεύγω	44	v	-	s	p	p	a	m	d	-
,	punc1	45	u	-	-	-	-	-	-	-	-
καὶ	καί	46	c	-	-	-	-	-	-	-	-
μὴ	μή	47	d	-	-	-	-	-	-	-	_
βοηθοῦντας	βοηθέω	48	v	-	p	p	p	a	m	a	-
ᾧ	ὅς	49	p	-	s	-	-	-	m	d	-
ἂν	ἄν1	50	d	-	-	-	-	-	-	-	-
βούλωνται	βούλομαι	51	v	3	p	p	s	e	-	-	-
πᾶσαν	πᾶς	52	a	-	s	-	-	-	f	a	-
προθυμίαν	προθυμία	53	n	-	s	-	-	-	f	a	-
ἔχειν	ἔχω	54	v	-	-	p	n	a	-	-	-
παρὰ	παρά	55	r	-	-	-	-	-	-	-	-
τὸ	ὁ	56	l	-	s	-	-	-	n	a	-
δίκαιον	δίκαιος	57	a	-	s	-	-	-	n	a	-
ὑμᾶς	σύ	58	p	2	p	-	-	-	m	a	-
ψηφίσασθαι	ψηφίζω	59	v	-	-	a	n	m	-	-	-
,	punc1	60	u	-	-	-	-	-	-	-	-
ἐνθυμουμένους	ἐνθυμέομαι	61	v	-	p	p	p	e	m	a	-
ὅτι	ὅτι2	62	c	-	-	-	-	-	-	-	-
σφόδρʼ	σφοδρός	63	a	-	p	-	-	-	n	a	p
ἂν	ἄν1	64	d	-	-	-	-	-	-	-	-
ἠγανακτεῖτε	ἀγανακτέω	65	v	2	p	i	i	a	-	-	-
,	punc1	66	u	-	-	-	-	-	-	-	-
εἰ	εἰ	67	c	-	-	-	-	-	-	-	-
ἐν	ἐν	68	r	-	-	-	-	-	-	-	-
τῇ	ὁ	69	l	-	s	-	-	-	f	d	-
ὑμετέρᾳ	ὑμέτερος	70	a	-	s	-	-	-	f	d	-
δοκιμασίᾳ	δοκιμασία	71	n	-	s	-	-	-	f	d	-
οἱ	ὁ	72	l	-	p	-	-	-	m	n	-
θεσμοθέται	θεσμοθέτης	73	n	-	p	-	-	-	m	n	-
ἀναβάντες	ἀναβαίνω	74	v	-	p	a	p	a	m	n	-
ὑμῶν	σύ	75	p	2	p	-	-	-	m	g	-
ἐδέοντο	δέομαι	76	v	3	p	i	i	e	-	-	-
καταψηφίσασθαι	καταψηφίζομαι	77	v	-	-	a	n	e	-	-	-
,	punc1	78	u	-	-	-	-	-	-	-	-
ἡγούμενοι	ἡγέομαι	79	v	-	p	p	p	m	m	n	-
δεινὸν	δεινός	80	a	-	s	-	-	-	n	a	-
εἶναι	εἰμί	81	v	-	-	p	n	a	-	-	-
εἰ	εἰ	82	c	-	-	-	-	-	-	-	-
οἱ	ὁ	83	l	-	p	-	-	-	m	n	-
τιθέντες	τίθημι	84	v	-	p	p	p	a	m	n	-
τὸν	ὁ	85	l	-	s	-	-	-	m	a	-
ἀγῶνα	ἀγών	86	n	-	s	-	-	-	m	a	-
καὶ	καί	87	c	-	-	-	-	-	-	-	-
τὴν	ὁ	88	l	-	s	-	-	-	f	a	-
ψῆφον	ψῆφος	89	n	-	s	-	-	-	f	a	-
διδόντες	δίδωμι	90	v	-	p	p	p	a	m	n	-
παρακελεύσονται	παρακελεύομαι	91	v	3	p	f	i	e	-	-	-
