form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
αἱ	ὁ	1	l	-	p	-	-	-	f	n	-
πολλοὺς	πολύς	2	a	-	p	-	-	-	m	a	-
πολλάκις	πολλάκις	3	d	-	-	-	-	-	-	-	-
ἠγωνισμέναι	ἀγωνίζομαι	4	v	-	p	r	p	e	f	n	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
μεγάλους	μέγας	6	a	-	p	-	-	-	m	a	-
ἀγῶνας	ἀγών	7	n	-	p	-	-	-	m	a	-
Ἀρετὴ	Ἀρετή	8	n	-	s	-	-	-	f	n	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
Τύχη	Τύχη	10	n	-	s	-	-	-	f	n	-
πρὸς	πρός	11	r	-	-	-	-	-	-	-	-
ἀλλήλας	ἀλλήλων	12	p	-	p	-	-	-	f	a	-
μέγιστον	μέγας	13	a	-	s	-	-	-	m	a	s
ἀγωνίζονται	ἀγωνίζομαι	14	v	3	p	p	i	e	-	-	-
τὸν	ὁ	15	l	-	s	-	-	-	m	a	-
παρόντα	πάρειμι1	16	v	-	s	p	p	a	m	a	-
,	,	17	u	-	-	-	-	-	-	-	-
περὶ	περί	18	r	-	-	-	-	-	-	-	-
τῆς	ὁ	19	l	-	s	-	-	-	f	g	-
Ῥωμαίων	Ῥωμαῖος	20	n	-	p	-	-	-	m	g	-
ἡγεμονίας	ἡγεμονία	21	n	-	s	-	-	-	f	g	-
διαδικαζόμεναι	διαδικάζω	22	v	-	p	p	p	e	f	n	-
ποτέρας	πότερος	23	a	-	s	-	-	-	f	g	-
γέγονεν	γίγνομαι	24	v	3	s	r	i	a	-	-	-
ἔργον	ἔργον	25	n	-	s	-	-	-	n	n	-
καὶ	καί	26	c	-	-	-	-	-	-	-	-
ποτέρα	πότερος	27	a	-	s	-	-	-	f	n	-
τὴν	ὁ	28	l	-	s	-	-	-	f	a	-
τηλικαύτην	τηλικοῦτος	29	a	-	s	-	-	-	f	a	_
δύναμιν	δύναμις	30	n	-	s	-	-	-	f	a	-
γεγέννηκεν	γεννάω	31	v	3	s	r	i	a	-	-	-
.	.	32	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
μικρὸν	μικρός	3	a	-	s	-	-	-	n	n	-
ἔσται	εἰμί	4	v	3	s	f	i	m	-	-	-
τῇ	ὁ	5	l	-	s	-	-	-	f	d	-
περιγενομένῃ	περιγίγνομαι	6	v	-	s	a	p	m	f	d	-
