form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
οὗτος	οὗτος	1	a	-	s	-	-	-	m	n	_
ὁ	ὁ	2	l	-	s	-	-	-	m	n	-
τῆς	ὁ	3	l	-	s	-	-	-	f	g	-
Τύχης	Τύχη	4	n	-	s	-	-	-	f	g	-
λόγος	λόγος	5	n	-	s	-	-	-	m	n	-
ἐστίν	εἰμί	6	v	3	s	p	i	a	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
ἴδιον	ἴδιος	8	a	-	s	-	-	-	n	a	-
καὶ	καί	9	d	-	-	-	-	-	-	-	-
μόνης	μόνος	10	a	-	s	-	-	-	f	g	-
αὑτῆς	ἑαυτοῦ	11	p	-	s	-	-	-	f	g	-
ἔργον	ἔργον	12	n	-	s	-	-	-	n	a	-
ἀποφαινομένης	ἀποφαίνω	13	v	-	s	p	p	e	f	g	-
Ἀλέξανδρον	Ἀλέξανδρος	14	n	-	s	-	-	-	m	a	-
.	.	15	u	-	-	-	-	-	-	-	-

δεῖ	δεῖ	1	v	3	s	p	i	a	-	-	-
δ ̓	δέ	2	d	-	-	-	-	-	-	-	-
ἀντειπεῖν	ἀντεῖπον	3	v	-	-	a	n	a	-	-	-
ὑπὲρ	ὑπέρ	4	r	-	-	-	-	-	-	-	-
φιλοσοφίας	φιλοσοφία	5	n	-	s	-	-	-	f	g	-
,	,	6	u	-	-	-	-	-	-	-	-
μᾶλλον	μᾶλλον	7	d	-	-	-	-	-	-	-	-
δ ̓	δέ	8	c	-	-	-	-	-	-	-	-
ὑπὲρ	ὑπέρ	9	r	-	-	-	-	-	-	-	-
Ἀλεξάνδρου	Ἀλέξανδρος	10	n	-	s	-	-	-	m	g	-
δυσχεραίνοντος	δυσχεραίνω	11	v	-	s	p	p	a	m	g	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
ἀγανακτοῦντος	ἀγανακτέω	13	v	-	s	p	p	a	m	g	-
,	,	14	u	-	-	-	-	-	-	-	-
εἰ	εἰ	15	c	-	-	-	-	-	-	-	-
προῖκα	προίξ	16	n	-	s	-	-	-	f	a	-
δόξει	δοκέω	17	v	3	s	a	s	a	-	-	-
καὶ	καί	18	d	-	-	-	-	-	-	-	-
παρὰ	παρά	19	r	-	-	-	-	-	-	-	-
τῆς	ὁ	20	l	-	s	-	-	-	f	g	-
Τύχης	Τύχη	21	n	-	s	-	-	-	f	g	-
λαβεῖν	λαμβάνω	22	v	-	-	a	n	a	-	-	-
τὴν	ὁ	23	l	-	s	-	-	-	f	a	-
ἡγεμονίαν	ἡγεμονία	24	n	-	s	-	-	-	f	a	-
,	,	25	u	-	-	-	-	-	-	-	-
ἣν	ὅς	26	p	-	s	-	-	-	f	a	-
ὤνιον	ὤνιος	27	a	-	s	-	-	-	f	a	-
αἵματος	αἷμα	28	n	-	s	-	-	-	n	g	-
πολλοῦ	πολύς	29	a	-	s	-	-	-	n	g	-
καὶ	καί	30	c	-	-	-	-	-	-	-	-
τραυμάτων	τραῦμα	31	n	-	p	-	-	-	n	g	-
ἐπαλλήλων	ἐπάλληλος	32	a	-	p	-	-	-	n	g	-
κτώμενος	κτάομαι	33	v	-	s	p	p	e	m	n	-
πολλὰς	πολύς	34	a	-	p	-	-	-	f	a	-
μὲν	μέν	35	d	-	-	-	-	-	-	-	-
ἀύπνους	ἄυπνος	36	a	-	p	-	-	-	f	a	-
νύκτας	νύξ	37	n	-	p	-	-	-	f	a	-
ἴαυεν	ἰαύω	38	v	3	s	i	i	a	-	-	-
,	,	39	u	-	-	-	-	-	-	-	-
ἤματα	ἦμαρ	40	n	-	p	-	-	-	n	a	-
δ ̓	δέ	41	c	-	-	-	-	-	-	-	-
αἱματόεντα	αἱματόεις	42	a	-	p	-	-	-	n	a	-
διέπρησσεν	διαπράσσω	43	v	3	s	i	i	a	-	-	-
πολεμίζων	πολεμίζω	44	v	-	s	p	p	a	m	n	-
πρὸς	πρός	45	r	-	-	-	-	-	-	-	-
ἀμάχους	ἄμαχος	46	a	-	p	-	-	-	f	a	-
δυνάμεις	δύναμις	47	n	-	p	-	-	-	f	a	-
καὶ	καί	48	d	-	-	-	-	-	-	-	-
ἄπειρα	ἄπειρος1	49	a	-	p	-	-	-	n	a	-
