form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
περὶ	περί	1	r	-	-	-	-	-	-	-	-
Λυκούργου	Λυκοῦργος	2	n	-	s	-	-	-	m	g	-
τοῦ	ὁ	3	l	-	s	-	-	-	m	g	-
νομοθέτου	νομοθέτης	4	n	-	s	-	-	-	m	g	-
καθόλου	καθόλου	5	d	-	-	-	-	-	-	-	-
μὲν	μέν	6	d	-	-	-	-	-	-	-	-
οὐδὲν	οὐδείς	7	p	-	s	-	-	-	n	a	-
ἔστιν	εἰμί	8	v	3	s	p	i	a	-	-	-
εἰπεῖν	εἶπον	9	v	-	-	a	n	a	-	-	-
ἀναμφισβήτητον	ἀναμφισβήτητος	10	a	-	s	-	-	-	n	a	-
,	punc1	11	u	-	-	-	-	-	-	-	-
οὗ	ὅς	12	p	-	s	-	-	-	m	g	-
γε	γε	13	d	-	-	-	-	-	-	-	-
καὶ	καί	14	d	-	-	-	-	-	-	-	-
γένος	γένος	15	n	-	s	-	-	-	n	n	-
καὶ	καί	16	d	-	-	-	-	-	-	-	-
ἀποδημία	ἀποδημία	17	n	-	d	-	-	-	f	n	-
καὶ	καί	18	d	-	-	-	-	-	-	-	-
τελευτὴ	τελευτή	19	n	-	s	-	-	-	f	n	-
καὶ	καί	20	c	-	-	-	-	-	-	-	-
πρὸς	πρός	21	r	-	-	-	-	-	-	-	-
ἅπασιν	ἅπας	22	a	-	p	-	-	-	m	d	-
ἡ	ὁ	23	l	-	s	-	-	-	f	n	-
περὶ	περί	24	r	-	-	-	-	-	-	-	-
τοὺς	ὁ	25	l	-	p	-	-	-	m	a	-
νόμους	νόμος	26	n	-	p	-	-	-	m	a	-
αὐτοῦ	αὐτός	27	p	-	s	-	-	-	m	g	-
καὶ	καί	28	c	-	-	-	-	-	-	-	-
τὴν	ὁ	29	l	-	s	-	-	-	f	a	-
πολιτείαν	πολιτεία	30	n	-	s	-	-	-	f	a	-
πραγματεία	πραγματεία	31	n	-	s	-	-	-	f	n	-
διαφόρους	διάφορος	32	a	-	p	-	-	-	f	a	-
ἔσχηκεν	ἔχω	33	v	3	p	l	i	a	-	-	-
ἱστορίας	ἱστορία	34	n	-	p	-	-	-	f	a	-
,	punc1	35	u	-	-	-	-	-	-	-	-
ἥκιστα	ἥκιστος	36	a	-	p	-	-	-	n	a	-
δὲ	δέ	37	c	-	-	-	-	-	-	-	-
οἱ	ὁ	38	l	-	p	-	-	-	m	n	-
χρόνοι	χρόνος	39	n	-	p	-	-	-	m	n	-
καθ᾽	κατά	40	r	-	-	-	-	-	-	-	-
οὓς	ὅς	41	p	-	p	-	-	-	m	a	-
γέγονεν	γίγνομαι	42	v	3	s	r	i	a	-	-	-
ὁ	ὁ	43	l	-	s	-	-	-	m	n	-
ἀνὴρ	ἀνήρ	44	n	-	s	-	-	-	m	n	-
ὁμολογοῦνται	ὁμολογέω	45	v	3	p	p	i	e	-	-	-
.	punc1	46	u	-	-	-	-	-	-	-	-

οἱ	ὁ	1	l	-	p	-	-	-	m	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
γάρ	γάρ	3	d	-	-	-	-	-	-	-	-
Ἰφίτῳ	Ἴφιτος	4	n	-	s	-	-	-	m	d	-
συνακμάσαι	συνακμάζω	5	v	-	-	a	n	a	-	-	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
συνδιαθεῖναι	σύν-διατίθημι	7	v	-	-	a	n	a	-	-	-
τὴν	ὁ	8	l	-	s	-	-	-	f	a	-
Ὀλυμπιακὴν	Ὀλυμπιακός	9	a	-	s	-	-	-	f	a	-
ἐκεχειρίαν	ἐκεχειρία	10	n	-	s	-	-	-	f	a	-
λέγουσιν	λέγω3	11	v	3	p	p	i	a	-	-	-
αὐτόν	αὐτός	12	p	-	s	-	-	-	m	a	-
,	punc1	13	u	-	-	-	-	-	-	-	-
ὧν	ὅς	14	p	-	p	-	-	-	m	g	-
ἐστι	εἰμί	15	v	3	s	p	i	a	-	-	-
καὶ	καί	16	d	-	-	-	-	-	-	-	-
Ἀριστοτέλης	Ἀριστοτέλης	17	n	-	p	-	-	-	m	a	-
ὁ	ὁ	18	l	-	s	-	-	-	m	n	-
φιλόσοφος	φιλόσοφος	19	n	-	s	-	-	-	m	n	-
,	punc1	20	u	-	-	-	-	-	-	-	-
τεκμήριον	τεκμήριον	21	n	-	s	-	-	-	n	a	-
προσφέρων	προσφέρω	22	v	-	s	p	p	a	m	n	-
τὸν	ὁ	23	l	-	s	-	-	-	m	a	-
Ὀλυμπίασι	Ὀλυμπία	24	d	-	-	-	-	-	-	-	-
δίσκον	δίσκος	25	n	-	s	-	-	-	m	a	-
ἐν	εἰς	26	r	-	-	-	-	-	-	-	-
ᾧ	ὅς	27	p	-	s	-	-	-	m	d	-
τοὔνομα	ὄνομα	28	n	-	s	-	-	-	n	n	-
τοῦ	ὁ	29	l	-	s	-	-	-	m	g	-
Λυκούργου	Λυκοῦργος	30	n	-	s	-	-	-	m	g	-
διασώζεται	διασῴζω	31	v	3	s	p	i	e	-	-	-
καταγεγραμμένον	καταγράφω	32	v	-	s	r	p	e	n	n	-
:	punc1	33	u	-	-	-	-	-	-	-	-

οἱ	ὀ	1	l	-	p	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ταῖς	ὁ	3	l	-	p	-	-	-	f	d	-
διαδοχαῖς	διαδοχή	4	n	-	p	-	-	-	f	d	-
τῶν	ὁ	5	l	-	p	-	-	-	m	g	-
ἐν	ἐν	6	r	-	-	-	-	-	-	-	-
Σπάρτῃ	σπάρτη	7	n	-	s	-	-	-	f	d	-
βεβασιλευκότων	βασιλεύω	8	v	-	p	r	p	a	m	g	-
ἀναλεγόμενοι	ἀναλέγω	9	v	-	p	p	p	e	m	n	-
τὸν	ὁ	10	l	-	s	-	-	-	m	a	-
χρόνον	χρόνος	11	n	-	s	-	-	-	m	a	-
,	punc1	12	u	-	-	-	-	-	-	-	-
ὥσπερ	ὥσπερ	13	c	-	-	-	-	-	-	-	-
Ἐρατοσθένης	Ἐρατοσθένης	14	n	-	p	-	-	-	m	a	-
καὶ	καί	15	c	-	-	-	-	-	-	-	-
Ἀπολλόδωρος	Ἀπολλόδωρος	16	n	-	s	-	-	-	m	n	-
,	punc1	17	u	-	-	-	-	-	-	-	-
οὐκ	οὐ	18	d	-	-	-	-	-	-	-	-
ὀλίγοις	ὀλίγος	19	a	-	p	-	-	-	m	d	-
ἔτεσι	ἔτος	20	n	-	p	-	-	-	n	d	-
πρεσβύτερον	πρέσβυς	21	a	-	s	-	-	-	m	a	-
ἀποφαίνουσι	ἀποφαίνω	22	v	3	p	p	i	a	-	-	-
τῆς	ὁ	23	l	-	s	-	-	-	f	g	-
πρώτης	πρότερος	24	a	-	s	-	-	-	f	g	-
Ὀλυμπιάδος	Ὀλυμπιάς	25	n	-	s	-	-	-	f	g	-
.	punc1	26	u	-	-	-	-	-	-	-	-

Τίμαιος	Τίμαιος	1	n	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ὑπονοεῖ	ὑπονοέω	3	v	3	s	p	i	a	-	-	-
,	punc1	4	u	-	-	-	-	-	-	-	-
δυεῖν	δύο	5	a	-	d	-	-	-	m	g	-
ἐν	ἐν	6	r	-	-	-	-	-	-	-	-
Σπάρτῃ	σπάρτη	7	n	-	s	-	-	-	f	d	-
γεγονότων	γίγνομαι	8	v	-	p	r	p	a	m	g	-
Λυκούργων	Λυκοῦργος	9	n	-	p	-	-	-	m	g	-
οὐ	οὐ	10	d	-	-	-	-	-	-	-	-
κατὰ	κατά	11	r	-	-	-	-	-	-	-	-
τὸν	ὁ	12	l	-	s	-	-	-	m	a	-
αὐτὸν	αὐτός	13	a	-	s	-	-	-	m	a	-
χρόνον	χρόνος	14	n	-	s	-	-	-	m	a	-
,	punc1	15	u	-	-	-	-	-	-	-	-
τῷ	ὁ	16	l	-	s	-	-	-	m	d	-
ἑτέρῳ	ἕτερος	17	a	-	s	-	-	-	m	d	-
τὰς	ὁ	18	l	-	p	-	-	-	f	a	-
ἀμφοῖν	ἄμφω	19	a	-	d	-	-	-	m	g	-
πράξεις	πρᾶξις	20	n	-	p	-	-	-	f	n	-
διὰ	διά	21	r	-	-	-	-	-	-	-	-
τὴν	ὁ	22	l	-	s	-	-	-	f	a	-
δόξαν	δόξα	23	n	-	s	-	-	-	f	a	-
ἀνακεῖσθαι	ἀνακέομαι	24	v	-	-	p	n	e	-	-	-
:	punc1	25	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
τόν	ὁ	2	l	-	s	-	-	-	m	a	-
γε	γε	3	d	-	-	-	-	-	-	-	-
πρεσβύτερον	πρέσβυς	4	a	-	s	-	-	-	m	a	-
οὐ	οὐ	5	d	-	-	-	-	-	-	-	-
πόρρω	πρόσω	6	d	-	-	-	-	-	-	-	-
τῶν	ὁ	7	l	-	p	-	-	-	m	g	-
Ὁμήρου	ὅμηρος	8	n	-	s	-	-	-	m	g	-
γεγονέναι	γίγνομαι	9	v	-	-	r	n	a	-	-	-
χρόνων	χρόνος	10	n	-	p	-	-	-	m	g	-
,	punc1	11	u	-	-	-	-	-	-	-	-
ἔνιοι	ἔνιοι	12	a	-	p	-	-	-	m	n	-
δὲ	δέ	13	c	-	-	-	-	-	-	-	-
καὶ	καί	14	d	-	-	-	-	-	-	-	-
κατ᾽	κατά	15	r	-	-	-	-	-	-	-	-
ὄψιν	ὄψις	16	n	-	s	-	-	-	f	a	-
ἐντυχεῖν	ἐντυγχάνω	17	v	-	-	a	n	a	-	-	-
Ὁμήρῳ	ὅμηρος	18	n	-	s	-	-	-	m	d	-
.	punc1	19	u	-	-	-	-	-	-	-	-

δίδωσι	δίδωμι	1	v	3	s	p	i	a	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
Ξενοφῶν	Ξενοφῶν	4	n	-	s	-	-	-	m	n	-
ὑπόνοιαν	ὑπόνοια	5	n	-	s	-	-	-	f	a	-
ἀρχαιότητος	ἀρχαιότης	6	n	-	s	-	-	-	f	g	-
ἐν	ἐν	7	r	-	-	-	-	-	-	-	-
οἷς	ὅς	8	p	-	p	-	-	-	m	d	-
τὸν	ὁ	9	l	-	s	-	-	-	m	a	-
ἄνδρα	ἀνήρ	10	n	-	s	-	-	-	m	a	-
λέγει	λέγω3	11	v	3	s	p	i	a	-	-	-
γεγονέναι	γίγνομαι	12	v	-	-	r	n	a	-	-	-
κατὰ	κατά	13	r	-	-	-	-	-	-	-	-
τοὺς	ὁ	14	l	-	p	-	-	-	m	a	-
Ἡρακλείδας	Ἡρακλείδης	15	n	-	p	-	-	-	m	a	-
.	punc1	16	u	-	-	-	-	-	-	-	-

γένει	γένος	1	n	-	s	-	-	-	n	d	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
Ἡρακλεῖδαι	Ἡρακλείδης	4	n	-	p	-	-	-	m	n	-
δήπουθεν	δήπουθεν	5	d	-	-	-	-	-	-	-	-
ἦσαν	εἰμί	6	v	3	p	i	i	a	-	-	-
καὶ	καί	7	d	-	-	-	-	-	-	-	-
