form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὅτι	ὅτι1	1	d	-	-	-	-	-	-	-	-
τοιαύτης	τοιοῦτος	2	a	-	s	-	-	-	f	g	-
διαθέσεως	διάθεσις	3	n	-	s	-	-	-	f	g	-
ὑπαρχούσης	ὑπάρχω	4	v	-	s	p	p	a	f	g	-
περί	περί	5	r	-	-	-	-	-	-	-	-
τε	τε	6	d	-	-	-	-	-	-	-	-
τοὺς	ὁ	7	l	-	p	-	-	-	m	a	-
Ῥωμαίους	Ῥωμαῖος	8	n	-	p	-	-	-	m	a	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
Καρχηδονίους	Καρχηδόνιος	10	n	-	p	-	-	-	m	a	-
,	,	11	u	-	-	-	-	-	-	-	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
παλιντρόπων	παλίντροπος	13	a	-	p	-	-	-	n	g	-
ἑκατέροις	ἑκάτερος	14	a	-	p	-	-	-	m	d	-
ἐκ	ἐκ	15	r	-	-	-	-	-	-	-	-
τῶν	ὁ	16	l	-	p	-	-	-	n	g	-
ὑπὸ	ὑπό	17	r	-	-	-	-	-	-	-	-
τῆς	ὁ	18	l	-	s	-	-	-	f	g	-
τύχης	τύχη	19	n	-	s	-	-	-	f	g	-
ἀπαντωμένων	ἀπαντάω	20	v	-	p	p	p	e	n	g	-
ἐναλλὰξ	ἐναλλάξ	21	d	-	-	-	-	-	-	-	-
προσπιπτόντων	προσπίτνω	22	v	-	p	p	p	a	n	g	-
,	,	23	u	-	-	-	-	-	-	-	-
κατὰ	κατά	24	r	-	-	-	-	-	-	-	-
τὸν	ὁ	25	l	-	s	-	-	-	m	a	-
ποιητὴν	ποιητής	26	n	-	s	-	-	-	m	a	-
ἅμα	ἅμα	27	d	-	-	-	-	-	-	-	-
λύπην	λύπη	28	n	-	s	-	-	-	f	a	-
καὶ	καί	29	c	-	-	-	-	-	-	-	-
χαρὰν	χαρά	30	n	-	s	-	-	-	f	a	-
ὑποτρέχειν	ὑποτρέχω	31	v	-	-	p	n	a	-	-	-
εἰκὸς	ἔοικα	32	v	-	s	r	p	a	n	n	-
ἦν	εἰμί	33	v	3	s	i	i	a	-	-	-
τὰς	ὁ	34	l	-	p	-	-	-	f	a	-
ἑκάστων	ἕκαστος	35	a	-	p	-	-	-	m	g	-
ψυχάς	ψυχή	36	n	-	p	-	-	-	f	a	-
.	.	37	u	-	-	-	-	-	-	-	-

ὅτι	ὅτι2	1	c	-	-	-	-	-	-	-	-
τῶν	ὁ	2	l	-	p	-	-	-	n	g	-
ἑκατέροις	ἑκάτερος	3	a	-	p	-	-	-	m	d	-
,	,	4	u	-	-	-	-	-	-	-	-
Ῥωμαίοις	Ῥωμαῖος	5	n	-	p	-	-	-	m	d	-
φημὶ	φημί	6	v	1	s	p	i	a	-	-	-
καὶ	καί	7	c	-	-	-	-	-	-	-	-
Καρχηδονίοις	Καρχηδόνιος	8	n	-	p	-	-	-	m	d	-
,	,	9	u	-	-	-	-	-	-	-	-
προσπιπτόντων	προσπίτνω	10	v	-	p	p	p	a	n	g	-
καὶ	καί	11	c	-	-	-	-	-	-	-	-
συμβαινόντων	συμβαίνω	12	v	-	p	p	p	a	n	g	-
εἷς	εἷς	13	a	-	s	-	-	-	m	n	_
ἦν	εἰμί	14	v	3	s	i	i	a	-	-	-
ἀνὴρ	ἀνήρ	15	n	-	s	-	-	-	m	n	-
αἴτιος	αἴτιος	16	a	-	s	-	-	-	m	n	-
καὶ	καί	17	c	-	-	-	-	-	-	-	-
μία	εἷς	18	a	-	s	-	-	-	f	n	-
ψυχή	ψυχή	19	n	-	s	-	-	-	f	n	-
,	,	20	u	-	-	-	-	-	-	-	-
λέγω	λέγω3	21	v	1	s	p	s	a	-	-	-
δὲ	δέ	22	c	-	-	-	-	-	-	-	-
τὴν	ὁ	23	l	-	s	-	-	-	f	a	-
Ἀννίβου	Ἀννίβας	24	n	-	s	-	-	-	m	g	-
.	.	25	u	-	-	-	-	-	-	-	-

τά	ὁ	1	l	-	p	-	-	-	n	a	-
τε	τε	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
κατὰ	κατά	4	r	-	-	-	-	-	-	-	-
τὴν	ὁ	5	l	-	s	-	-	-	f	a	-
Ἰταλίαν	Ἰταλία	6	n	-	s	-	-	-	f	a	-
ὁμολογουμένως	ὁμολογουμένως	7	d	-	-	-	-	-	-	-	-
οὗτος	οὗτος	8	p	-	s	-	-	-	m	n	-
