form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
οἱ	ὁ	1	l	-	p	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Καρχηδόνιοι	Καρχηδόνιος	3	n	-	p	-	-	-	m	n	-
θεωροῦντες	θεωρέω	4	v	-	p	p	p	a	m	n	-
τὴν	ὁ	5	l	-	s	-	-	-	f	a	-
τῶν	ὁ	6	l	-	p	-	-	-	f	g	-
πολεμίων	πολέμιος	7	n	-	p	-	-	-	m	g	-
παρασκευὴν	παρασκευή	8	n	-	s	-	-	-	f	a	-
χρονιωτέραν	χρόνιος	9	a	-	s	-	-	-	f	a	c
οὖσαν	εἰμί	10	v	-	s	p	p	a	f	a	-
,	,	11	u	-	-	-	-	-	-	-	-
πρῶτον	πρότερος	12	a	-	s	-	-	-	n	a	-
μὲν	μέν	13	d	-	-	-	-	-	-	-	-
στρατηγοὺς	στρατηγός	14	n	-	p	-	-	-	m	a	-
ἑαυτῶν	ἑαυτοῦ	15	p	-	p	-	-	-	m	g	-
εἵλοντο	αἱρέω	16	v	3	p	a	i	m	-	-	-
δύο	δύο	17	a	-	-	-	-	-	-	-	-
,	,	18	u	-	-	-	-	-	-	-	-
τόν	ὁ	19	l	-	s	-	-	-	m	a	-
τ᾽	τε	20	d	-	-	-	-	-	-	-	-
Ἄννωνος	Ἄννων	21	n	-	s	-	-	-	m	g	-
Ἀσδρούβαν	Ἀσδρούβας	22	n	-	s	-	-	-	m	a	-
καὶ	καί	23	c	-	-	-	-	-	-	-	-
Βώσταρον	Βώσταρος	24	n	-	s	-	-	-	m	a	-
,	,	25	u	-	-	-	-	-	-	-	-
μετὰ	μετά	26	r	-	-	-	-	-	-	-	-
δὲ	δὲ	27	c	-	-	-	-	-	-	-	-
ταῦτα	οὗτος	28	p	-	p	-	-	-	n	a	-
πρὸς	πρός	29	r	-	-	-	-	-	-	-	-
τὸν	ὁ	30	l	-	s	-	-	-	m	a	-
Ἀμίλκαν	Ἀμίλκας	31	n	-	s	-	-	-	m	a	-
ἔπεμπον	πέμπω	32	v	3	p	i	i	a	-	-	-
εἰς	εἰς	33	r	-	-	-	-	-	-	-	-
τὴν	ὁ	34	l	-	s	-	-	-	f	a	-
Ἡράκλειαν	Ἡράκλεια	35	n	-	s	-	-	-	f	a	-
,	,	36	u	-	-	-	-	-	-	-	-
καλοῦντες	καλέω	37	v	-	p	f	p	a	m	n	-
κατὰ	κατά	38	r	-	-	-	-	-	-	-	-
τάχος	τάχος	39	n	-	s	-	-	-	n	a	-
αὐτόν	αὐτός	40	p	-	s	-	-	-	m	a	-
.	.	41	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δ᾽	δέ	2	d	-	-	-	-	-	-	-	-
ἀναλαβὼν	ἀναλαμβάνω	3	v	-	s	a	p	a	m	n	-
ἱππεῖς	ἱππεύς	4	n	-	p	-	-	-	m	a	-
πεντακοσίους	πεντακόσιοι	5	a	-	p	-	-	-	m	a	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
πεζοὺς	πεζός	7	a	-	p	-	-	-	m	a	-
πεντακισχιλίους	πεντακισχίλιοι	8	a	-	p	-	-	-	m	a	-
παρῆν	πάρειμι1	9	v	3	s	i	i	a	-	-	-
εἰς	εἰς	10	r	-	-	-	-	-	-	-	-
τὴν	ὁ	11	l	-	s	-	-	-	f	a	-
Καρχηδόνα	Καρχηδών	12	n	-	s	-	-	-	f	a	-
:	:	13	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
κατασταθεὶς	καθίστημι	2	v	-	s	a	p	p	m	n	-
στρατηγὸς	στρατηγός	3	n	-	s	-	-	-	m	n	-
τρίτος	τρίτος	4	a	-	s	-	-	-	m	n	-
ἐβουλεύετο	βουλεύω	5	v	3	s	i	i	e	-	-	-
μετὰ	μετά	6	r	-	-	-	-	-	-	-	-
τῶν	ὁ	7	l	-	p	-	-	-	m	g	-
περὶ	περί	8	r	-	-	-	-	-	-	-	-
τὸν	ὁ	9	l	-	s	-	-	-	m	a	-
Ἀσδρούβαν	Ἀσδρούβας	10	n	-	s	-	-	-	m	a	-
πῶς	πῶς	11	d	-	-	-	-	-	-	-	-
δεῖ	δεῖ	12	v	3	s	p	i	a	-	-	-
χρῆσθαι	χράομαι	13	v	-	-	p	n	e	-	-	-
τοῖς	ὁ	14	l	-	p	-	-	-	n	d	-
παροῦσιν	πάρειμι1	15	v	-	p	p	p	a	n	d	-
.	.	16	u	-	-	-	-	-	-	-	-

ἔδοξεν	δοκέω	1	v	3	s	a	i	a	-	-	-
οὖν	οὖν	2	d	-	-	-	-	-	-	-	-
αὐτοῖς	αὐτός	3	p	-	p	-	-	-	m	d	-
βοηθεῖν	βοηθέω	4	v	-	-	p	n	a	-	-	-
τῇ	ὁ	5	l	-	s	-	-	-	f	d	-
χώρᾳ	χώρη	6	n	-	s	-	-	-	f	d	-
καὶ	καί	7	c	-	-	-	-	-	-	-	-
μὴ	μή	8	d	-	-	-	-	-	-	-	-
περιορᾶν	περιοράω	9	v	-	-	p	n	a	-	-	-
αὐτὴν	αὐτός	10	p	-	s	-	-	-	f	a	-
ἀδεῶς	ἀδεής	11	d	-	-	-	-	-	-	-	-
πορθουμένην	πορθέω	12	v	-	s	p	p	e	f	a	-
.	.	13	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Μάρκος	Μάρκος	3	n	-	s	-	-	-	m	n	-
μετά	μετά	4	r	-	-	-	-	-	-	-	-
τινας	τις	5	a	-	p	-	-	-	f	a	_
