form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
περὶ	περί	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τῆς	ὁ	3	l	-	s	-	-	-	f	g	-
Ἀθηναίων	Ἀθήναιος	4	n	-	p	-	-	-	m	g	-
πολιτείας	πολιτεία	5	n	-	s	-	-	-	f	g	-
,	,	6	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	7	c	-	-	-	-	-	-	-	-
μὲν	μέν	8	d	-	-	-	-	-	-	-	-
εἵλοντο	αἱρέω	9	v	3	p	a	i	m	-	-	-
τοῦτον	οὗτος	10	a	-	s	-	-	-	m	a	_
τὸν	ὁ	11	l	-	s	-	-	-	m	a	-
τρόπον	τρόπος	12	n	-	s	-	-	-	m	a	-
τῆς	ὁ	13	l	-	s	-	-	-	f	g	-
πολιτείας	πολιτεία	14	n	-	s	-	-	-	f	g	-
οὐκ	οὐ	15	d	-	-	-	-	-	-	-	-
ἐπαινῶ	ἐπαινέω	16	v	1	s	p	i	a	-	-	-
διὰ	διά	17	r	-	-	-	-	-	-	-	-
τόδε	ὅδε	18	p	-	s	-	-	-	n	a	-
,	,	19	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	20	c	-	-	-	-	-	-	-	-
ταῦθ᾽	οὗτος	21	p	-	p	-	-	-	n	a	-
ἑλόμενοι	αἱρέω	22	v	-	p	a	p	m	m	n	-
εἵλοντο	αἱρέω	23	v	3	p	a	i	m	-	-	-
τοὺς	ὁ	24	l	-	p	-	-	-	m	a	-
πονηροὺς	πονηρός	25	a	-	p	-	-	-	m	a	-
ἄμεινον	ἀμείνων	26	a	-	s	-	-	-	n	a	c
πράττειν	πράσσω	27	v	-	-	p	n	a	-	-	-
ἢ	ἢ	28	c	-	-	-	-	-	-	-	-
τοὺς	ὁ	29	l	-	p	-	-	-	m	a	-
χρηστούς	χρηστός	30	a	-	p	-	-	-	m	a	-
:	:	31	u	-	-	-	-	-	-	-	-

διὰ	διά	1	r	-	-	-	-	-	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	4	p	-	s	-	-	-	n	a	-
οὐκ	οὐ	5	d	-	-	-	-	-	-	-	-
ἐπαινῶ	ἐπαινέω	6	v	1	s	p	i	a	-	-	-
.	.	7	u	-	-	-	-	-	-	-	-

ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ταῦτα	οὗτος	3	p	-	p	-	-	-	n	n	-
ἔδοξεν	δοκέω	4	v	3	s	a	i	a	-	-	-
οὕτως	οὕτως	5	d	-	-	-	-	-	-	-	-
αὐτοῖς	αὐτός	6	p	-	p	-	-	-	m	d	-
,	,	7	u	-	-	-	-	-	-	-	-
ὡς	ὡς	8	c	-	-	-	-	-	-	-	-
εὖ	εὖ	9	d	-	-	-	-	-	-	-	-
διασῴζονται	διασῴζω	10	v	3	p	p	i	e	-	-	-
τὴν	ὁ	11	l	-	s	-	-	-	f	a	-
πολιτείαν	πολιτεία	12	n	-	s	-	-	-	f	a	-
καὶ	καί	13	c	-	-	-	-	-	-	-	-
τ-	ὁ	14	l	-	s	-	-	-	n	a	-
ἆλλα	ἄλλος	15	p	-	p	-	-	-	n	a	-
διαπράττονται	διαπράσσω	16	v	3	p	p	i	e	-	-	-
ἃ	ὅς	17	p	-	p	-	-	-	n	a	-
δοκοῦσιν	δοκέω	18	v	3	p	p	i	a	-	-	-
ἁμαρτάνειν	ἁμαρτάνω	19	v	-	-	p	n	a	-	-	-
τοῖς	ὁ	20	l	-	p	-	-	-	n	d	-
ἄλλοις	ἄλλος	21	a	-	p	-	-	-	m	d	_
Ἕλλησι	Ἕλλην	22	n	-	p	-	-	-	m	d	-
,	,	23	u	-	-	-	-	-	-	-	-
τοῦτ᾽	οὗτος	24	p	-	s	-	-	-	n	a	-
ἀποδείξω	ἀποδείκνυμι	25	v	1	s	f	i	a	-	-	-
.	.	26	u	-	-	-	-	-	-	-	-

πρῶτον	πρῶτος	1	a	-	s	-	-	-	n	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	4	p	-	s	-	-	-	n	a	-
ἐρῶ	ἐρέω	5	v	1	s	f	i	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	7	c	-	-	-	-	-	-	-	-
δικαίως	δίκαιος	8	d	-	-	-	-	-	-	-	-
<	<	9	u	-	-	-	-	-	-	-	-
δοκοῦσιν	δοκέω	10	v	3	p	p	i	a	-	-	-
>	>	11	u	-	-	-	-	-	-	-	-
αὐτόθι	αὐτόθι	12	d	-	-	-	-	-	-	-	-
[	[	13	u	-	-	-	-	-	-	-	-
καὶ	καί	14	d	-	-	-	-	-	-	-	-
]	]	15	u	-	-	-	-	-	-	-	-
οἱ	ὁ	16	l	-	p	-	-	-	m	n	-
πένητες	πένης	17	n	-	p	-	-	-	m	n	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
ὁ	ὁ	19	l	-	s	-	-	-	m	n	-
δῆμος	δῆμος	20	n	-	s	-	-	-	m	n	-
πλέον	πλέος	21	a	-	s	-	-	-	n	a	-
ἔχειν	ἔχω	22	v	-	-	p	n	a	-	-	-
τῶν	ὁ	23	l	-	p	-	-	-	m	g	-
γενναίων	γενναῖος	24	a	-	p	-	-	-	m	g	-
καὶ	καί	25	c	-	-	-	-	-	-	-	-
τῶν	ὁ	26	l	-	p	-	-	-	m	g	-
πλουσίων	πλούσιος	27	a	-	p	-	-	-	m	g	-
διὰ	διά	28	r	-	-	-	-	-	-	-	-
τόδε	ὅδε	29	p	-	s	-	-	-	n	a	-
,	,	30	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	31	c	-	-	-	-	-	-	-	-
ὁ	ὁ	32	l	-	s	-	-	-	m	n	-
δῆμός	δῆμος	33	n	-	s	-	-	-	m	n	-
ἐστιν	εἰμί	34	v	3	s	p	i	a	-	-	-
ὁ	ὁ	35	l	-	s	-	-	-	m	n	-
