form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
δὴ	δή	3	d	-	-	-	-	-	-	-	-
Κῦρος	Κῦρος	4	n	-	s	-	-	-	m	n	-
οὕτως	οὕτως	5	d	-	-	-	-	-	-	-	-
ἀπελθὼν	ἀπέρχομαι	6	v	-	s	a	p	a	m	n	-
ἐν	ἐν	7	r	-	-	-	-	-	-	-	-
Πέρσαις	Πέρσης	8	n	-	p	-	-	-	m	d	-
ἐνιαυτὸν	ἐνιαυτός	9	n	-	s	-	-	-	m	a	-
λέγεται	λέγω3	10	v	3	s	p	i	e	-	-	-
ἐν	ἐν	11	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	12	l	-	p	-	-	-	m	d	-
παισὶν	παῖς	13	n	-	p	-	-	-	m	d	-
ἔτι	ἔτι	14	d	-	-	-	-	-	-	-	-
γενέσθαι	γίγνομαι	15	v	-	-	a	n	m	-	-	-
.	.	16	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
τὸ	ὁ	2	l	-	s	-	-	-	n	a	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
πρῶτον	πρότερος	4	a	-	s	-	-	-	n	a	-
οἱ	ὁ	5	l	-	p	-	-	-	m	n	-
παῖδες	παῖς	6	n	-	p	-	-	-	m	n	-
ἔσκωπτον	σκώπτω	7	v	3	p	i	i	a	-	-	-
αὐτὸν	αὐτός	8	p	-	s	-	-	-	m	a	-
ὡς	ὡς	9	c	-	-	-	-	-	-	-	-
ἡδυπαθεῖν	ἡδυπαθέω	10	v	-	-	p	n	a	-	-	-
ἐν	ἐν	11	r	-	-	-	-	-	-	-	-
Μήδοις	Μῆδος	12	n	-	p	-	-	-	m	d	-
μεμαθηκὼς	μανθάνω	13	v	-	s	r	p	a	m	n	-
ἥκοι	ἥκω	14	v	3	s	p	o	a	-	-	-
·	·	15	u	-	-	-	-	-	-	-	-

ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
ἐσθίοντα	ἐσθίω	4	v	-	s	p	p	a	m	a	-
αὐτὸν	αὐτός	5	p	-	s	-	-	-	m	a	-
ἑώρων	ὁράω	6	v	3	p	i	i	a	-	-	-
ὥσπερ	ὥσπερ	7	c	-	-	-	-	-	-	-	-
καὶ	καί	8	d	-	-	-	-	-	-	-	-
αὐτοὶ	αὐτός	9	p	-	p	-	-	-	m	n	-
ἡδέως	ἡδέως	10	d	-	-	-	-	-	-	-	-
καὶ	καί	11	c	-	-	-	-	-	-	-	-
πίνοντα	πίνω	12	v	-	s	p	p	a	m	a	-
,	,	13	u	-	-	-	-	-	-	-	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
εἴ	εἰ	15	c	-	-	-	-	-	-	-	-
ποτε	ποτέ	16	d	-	-	-	-	-	-	-	-
ἐν	ἐν	17	r	-	-	-	-	-	-	-	-
ἑορτῇ	ἑορτή	18	n	-	s	-	-	-	f	d	-
εὐωχία	εὐωχία	19	n	-	s	-	-	-	f	n	-
γένοιτο	γίγνομαι	20	v	3	s	a	o	m	-	-	-
,	,	21	u	-	-	-	-	-	-	-	-
ἐπιδιδόντα	ἐπιδίδωμι	22	v	-	s	p	p	a	m	a	-
μᾶλλον	μᾶλλον	23	d	-	-	-	-	-	-	-	-
αὐτὸν	αὐτός	24	p	-	s	-	-	-	m	a	-
τοῦ	ὁ	25	l	-	s	-	-	-	n	g	-
ἑαυτοῦ	ἑαυτοῦ	26	p	-	s	-	-	-	m	g	-
μέρους	μέρος	27	n	-	s	-	-	-	n	g	-
ᾐσθάνοντο	αἰσθάνομαι	28	v	3	p	i	i	m	-	-	-
ἢ	ἤ1	29	c	-	-	-	-	-	-	-	-
προσδεόμενον	προσδέομαι	30	v	-	s	p	p	e	m	a	-
,	,	31	u	-	-	-	-	-	-	-	-
καὶ	καί	32	d	-	-	-	-	-	-	-	-
πρὸς	πρός	33	r	-	-	-	-	-	-	-	-
τούτοις	οὗτος	34	p	-	p	-	-	-	n	d	-
δὲ	δέ	35	c	-	-	-	-	-	-	-	-
τ-	ὁ	36	l	-	p	-	-	-	n	a	-
ἆλλα	ἄλλος	37	p	-	p	-	-	-	n	a	-
κρατιστεύοντα	κρατιστεύω	38	v	-	s	p	p	a	m	a	-
αὐτὸν	αὐτός	39	p	-	s	-	-	-	m	a	-
ἑώρων	ὁράω	40	v	3	p	i	i	a	-	-	-
ἑαυτῶν	ἑαυτοῦ	41	p	-	p	-	-	-	m	g	-
,	,	42	u	-	-	-	-	-	-	-	-
ἐνταῦθα	ἐνταῦθα	43	d	-	-	-	-	-	-	-	-
δὴ	δή	44	d	-	-	-	-	-	-	-	-
πάλιν	πάλιν	45	d	-	-	-	-	-	-	-	-
ὑπέπτησσον	ὑποπτήσσω	46	v	3	p	i	i	a	-	-	-
αὐτῷ	αὐτός	47	p	-	s	-	-	-	m	d	-
οἱ	ὁ	48	l	-	p	-	-	-	m	n	-
ἥλικες	ἧλιξ	49	n	-	p	-	-	-	m	n	-
.	.	50	u	-	-	-	-	-	-	-	-

ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
διελθὼν	διέρχομαι	3	v	-	s	a	p	a	m	n	-
τὴν	ὁ	4	l	-	s	-	-	-	f	a	-
παιδείαν	παιδεία	5	n	-	s	-	-	-	f	a	-
ταύτην	οὗτος	6	a	-	s	-	-	-	f	a	_
ἤδη	ἤδη	7	d	-	-	-	-	-	-	-	-
εἰσῆλθεν	εἰσέρχομαι	8	v	3	s	a	i	a	-	-	-
εἰς	εἰς	9	r	-	-	-	-	-	-	-	-
τοὺς	ὁ	10	l	-	p	-	-	-	m	a	-
ἐφήβους	ἔφηβος	11	n	-	p	-	-	-	m	a	-
,	,	12	u	-	-	-	-	-	-	-	-
ἐν	ἐν	13	r	-	-	-	-	-	-	-	-
τούτοις	οὗτος	14	p	-	p	-	-	-	m	d	-
αὖ	αὖ	15	d	-	-	-	-	-	-	-	-
ἐδόκει	δοκέω	16	v	3	s	i	i	a	-	-	-
κρατιστεύειν	κρατιστεύω	17	v	-	-	p	n	a	-	-	-
καὶ	καί	18	d	-	-	-	-	-	-	-	-
μελετῶν	μελετάω	19	v	-	s	p	p	a	m	n	-
ἃ	ὅς	20	p	-	p	-	-	-	n	a	-
χρῆν	χρή	21	v	3	s	i	i	a	-	-	-
καὶ	καί	22	d	-	-	-	-	-	-	-	-
καρτερῶν	καρτερέω	23	v	-	s	p	p	a	m	n	-
καὶ	καί	24	d	-	-	-	-	-	-	-	-
αἰδούμενος	αἰδέομαι	25	v	-	s	p	p	e	m	n	-
τοὺς	ὁ	26	l	-	p	-	-	-	m	a	-
πρεσβυτέρους	πρέσβυς	27	a	-	p	-	-	-	m	a	c
καὶ	καί	28	c	-	-	-	-	-	-	-	-
πειθόμενος	πείθω	29	v	-	s	p	p	e	m	n	-
τοῖς	ὁ	30	l	-	p	-	-	-	m	d	-
ἄρχουσι	ἄρχω	31	v	-	p	p	p	a	m	d	-
.	.	32	u	-	-	-	-	-	-	-	-

προϊόντος	πρόειμι2	1	v	-	s	p	p	a	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τοῦ	ὁ	3	l	-	s	-	-	-	m	g	-
χρόνου	χρόνος	4	n	-	s	-	-	-	m	g	-
ὁ	ὁ	5	l	-	s	-	-	-	m	n	-
μὲν	μέν	6	d	-	-	-	-	-	-	-	-
Ἀστυάγης	Ἀστυάγης	7	n	-	s	-	-	-	m	n	-
ἐν	ἐν	8	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	9	l	-	p	-	-	-	m	d	-
Μήδοις	Μῆδος	10	n	-	p	-	-	-	m	d	-
ἀποθνῄσκει	ἀποθνήσκω	11	v	3	s	p	i	a	-	-	-
,	,	12	u	-	-	-	-	-	-	-	-
ὁ	ὁ	13	l	-	s	-	-	-	m	n	-
δὲ	δέ	14	c	-	-	-	-	-	-	-	-
