form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Κῦρος	Κῦρος	1	n	-	s	-	-	-	m	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
οὕτως	οὕτως	4	d	-	-	-	-	-	-	-	-
εἶπεν	εἶπον	5	v	3	s	a	i	a	-	-	-
·	·	6	u	-	-	-	-	-	-	-	-

ἀνέστη	ἀνίστημι	1	v	3	s	a	i	a	-	-	-
δʼ	δέ	2	d	-	-	-	-	-	-	-	-
ἐπʼ	ἐπί	3	r	-	-	-	-	-	-	-	-
αὐτῷ	αὐτός	4	p	-	s	-	-	-	m	d	-
Χρυσάντας	Χρυσάντας	5	n	-	s	-	-	-	m	n	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
εἶπεν	εἶπον	7	v	3	s	a	i	a	-	-	-
ὧδε	ὧδε	8	d	-	-	-	-	-	-	-	-
.	.	9	u	-	-	-	-	-	-	-	-

ἀλλὰ	ἀλλά	1	d	-	-	-	-	-	-	-	-
πολλάκις	πολλάκις	2	d	-	-	-	-	-	-	-	-
μὲν	μέν	3	d	-	-	-	-	-	-	-	-
δή	δή	4	d	-	-	-	-	-	-	-	-
,	,	5	u	-	-	-	-	-	-	-	-
ὦ	ὦ	6	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	7	n	-	p	-	-	-	m	v	-
,	,	8	u	-	-	-	-	-	-	-	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
ἄλλοτε	ἄλλοτε	10	d	-	-	-	-	-	-	-	-
κατενόησα	κατανοέω	11	v	1	s	a	i	a	-	-	-
ὅτι	ὅτι2	12	c	-	-	-	-	-	-	-	-
ἄρχων	ἄρχων	13	n	-	s	-	-	-	m	n	-
ἀγαθὸς	ἀγαθός	14	a	-	s	-	-	-	m	n	-
οὐδὲν	οὐδείς	15	a	-	s	-	-	-	n	a	_
διαφέρει	διαφέρω	16	v	3	s	p	i	a	-	-	-
πατρὸς	πατήρ	17	n	-	s	-	-	-	m	g	-
ἀγαθοῦ	ἀγαθός	18	a	-	s	-	-	-	m	g	-
·	·	19	u	-	-	-	-	-	-	-	-

οἵ	ὁ	1	l	-	p	-	-	-	m	n	-
τε	τε	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
πατέρες	πατήρ	4	n	-	p	-	-	-	m	n	-
προνοοῦσι	προνοέω	5	v	3	p	p	i	a	-	-	-
τῶν	ὁ	6	l	-	p	-	-	-	m	g	-
παίδων	παῖς	7	n	-	p	-	-	-	m	g	-
ὅπως	ὅπως	8	c	-	-	-	-	-	-	-	-
μήποτε	μήποτε	9	d	-	-	-	-	-	-	-	-
αὐτοὺς	αὐτός	10	p	-	p	-	-	-	m	a	-
τ-	ὁ	11	l	-	s	-	-	-	n	a	-
ἀγαθὰ	ἀγαθός	12	a	-	p	-	-	-	n	a	-
ἐπιλείψει	ἐπιλείπω	13	v	3	s	f	i	a	-	-	-
,	,	14	u	-	-	-	-	-	-	-	-
Κῦρός	Κῦρος	15	n	-	s	-	-	-	m	n	-
τέ	τε	16	c	-	-	-	-	-	-	-	-
μοι	ἐγώ	17	p	1	s	-	-	-	m	d	-
δοκεῖ	δοκέω	18	v	3	s	p	i	a	-	-	-
νῦν	νῦν	19	d	-	-	-	-	-	-	-	-
συμβουλεύειν	συμβουλεύω	20	v	-	-	p	n	a	-	-	-
ἡμῖν	ἐγώ	21	p	1	p	-	-	-	m	d	-
ἀφʼ	ἀπό	22	r	-	-	-	-	-	-	-	-
ὧν	ὅς	23	p	-	p	-	-	-	n	g	-
μάλιστʼ	μάλιστα	24	d	-	-	-	-	-	-	-	_
ἂν	ἄν1	25	d	-	-	-	-	-	-	-	-
εὐδαιμονοῦντες	εὐδαιμονέω	26	v	-	p	p	p	a	m	n	-
διατελοῖμεν	διατελέω	27	v	1	p	p	o	a	-	-	-
·	·	28	u	-	-	-	-	-	-	-	-

ὃ	ὅς	1	p	-	s	-	-	-	n	n	-
δέ	δέ	2	d	-	-	-	-	-	-	-	-
μοι	ἐγώ	3	p	1	s	-	-	-	m	d	-
δοκεῖ	δοκέω	4	v	3	s	p	i	a	-	-	-
ἐνδεέστερον	ἐνδεής	5	a	-	s	-	-	-	n	n	c
ἢ	ἢ	6	c	-	-	-	-	-	-	-	-
ὡς	ὡς	7	c	-	-	-	-	-	-	-	-
ἐχρῆν	χρή	8	v	3	s	i	i	a	-	-	-
δηλῶσαι	δηλόω	9	v	-	-	a	n	a	-	-	-
,	,	10	u	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	11	p	-	s	-	-	-	n	a	-
ἐγὼ	ἐγώ	12	p	1	s	-	-	-	m	n	-
πειράσομαι	πειράω	13	v	1	s	f	i	m	-	-	-
τοὺς	ὁ	14	l	-	p	-	-	-	m	a	-
