form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
μετὰ	μετά	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ταῦτα	οὗτος	3	p	-	p	-	-	-	n	a	-
οὐ	οὐ	4	d	-	-	-	-	-	-	-	-
πολλαῖς	πολύς	5	a	-	p	-	-	-	f	d	-
ἡμέραις	ἡμέρα	6	n	-	p	-	-	-	f	d	-
ὕστερον	ὕστερος	7	a	-	s	-	-	-	n	a	-
ἦλθεν	ἔρχομαι	8	v	3	s	a	i	a	-	-	-
ἐξ	ἐκ	9	r	-	-	-	-	-	-	-	-
Ἀθηνῶν	Ἀθῆναι	10	n	-	p	-	-	-	f	g	-
Θυμοχάρης	Θυμοχάρης	11	n	-	s	-	-	-	m	n	-
ἔχων	ἔχω	12	v	-	s	p	p	a	m	n	-
ναῦς	ναῦς	13	n	-	p	-	-	-	f	a	-
ὀλίγας	ὀλίγος	14	a	-	p	-	-	-	f	a	-
·	punc1	15	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
εὐθὺς	εὐθύς2	2	d	-	-	-	-	-	-	-	-
ἐναυμάχησαν	ναυμαχέω	3	v	3	p	a	i	a	-	-	-
αὖθις	αὖθις	4	d	-	-	-	-	-	-	-	-
Λακεδαιμόνιοι	Λακεδαιμόνιος	5	n	-	p	-	-	-	m	n	-
καὶ	καί	6	c	-	-	-	-	-	-	-	-
Ἀθηναῖοι	Ἀθηναῖος	7	n	-	p	-	-	-	m	n	-
,	punc1	8	u	-	-	-	-	-	-	-	-
ἐνίκησαν	νικάω	9	v	3	p	a	i	a	-	-	-
δὲ	δέ	10	c	-	-	-	-	-	-	-	-
Λακεδαιμόνιοι	Λακεδαιμόνιος	11	n	-	p	-	-	-	m	n	-
ἡγουμένου	ἡγέομαι	12	v	-	s	p	p	m	m	g	-
Ἀγησανδρίδου	Ἀγησανδρίδας	13	n	-	s	-	-	-	m	g	-
.	punc1	14	u	-	-	-	-	-	-	-	-

μετʼ	μετά	1	r	-	-	-	-	-	-	-	-
ὀλίγον	ὀλίγος	2	a	-	s	-	-	-	n	a	-
δὲ	δέ	3	d	-	-	-	-	-	-	-	-
τούτων	οὗτος	4	p	-	p	-	-	-	n	g	-
Δωριεὺς	Δωριεύς	5	n	-	s	-	-	-	m	n	-
