form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Ἡροδότου	Ἡρόδοτος	1	n	-	s	-	-	-	m	g	-
Ἁλικαρνησσέος	Ἁλικαρνησσεύς	2	n	-	s	-	-	-	m	g	-
ἱστορίης	ἱστορία	3	n	-	s	-	-	-	f	g	-
ἀπόδεξις	ἀπόδειξις	4	n	-	s	-	-	-	f	n	-
ἥδε	ὅδε	5	p	-	s	-	-	-	f	n	-
,	,	6	u	-	-	-	-	-	-	-	-
ὡς	ὡς	7	c	-	-	-	-	-	-	-	-
μήτε	μήτε	8	d	-	-	-	-	-	-	-	-
τὰ	ὁ	9	l	-	p	-	-	-	n	n	-
γενόμενα	γίγνομαι	10	v	-	p	a	p	m	n	n	-
ἐξ	ἐκ	11	r	-	-	-	-	-	-	-	-
ἀνθρώπων	ἄνθρωπος	12	n	-	p	-	-	-	m	g	-
τῷ	ὁ	13	l	-	s	-	-	-	m	d	-
χρόνῳ	χρόνος	14	n	-	s	-	-	-	m	d	-
ἐξίτηλα	ἐξίτηλος	15	a	-	p	-	-	-	n	n	-
γένηται	γίγνομαι	16	v	3	s	a	s	m	-	-	-
,	,	17	u	-	-	-	-	-	-	-	-
μήτε	μήτε	18	c	-	-	-	-	-	-	-	-
ἔργα	ἔργον	19	n	-	p	-	-	-	n	n	-
μεγάλα	μέγας	20	a	-	d	-	-	-	f	n	-
τε	τε	21	d	-	-	-	-	-	-	-	-
καὶ	καί	22	c	-	-	-	-	-	-	-	-
θωμαστά	θαυμαστός	23	a	-	p	-	-	-	n	n	-
,	,	24	u	-	-	-	-	-	-	-	-
τὰ	ὁ	25	l	-	p	-	-	-	n	n	-
μὲν	μέν	26	d	-	-	-	-	-	-	-	-
Ἕλλησι	Ἕλλην	27	n	-	p	-	-	-	m	d	-
τὰ	ὁ	28	l	-	p	-	-	-	n	n	-
δὲ	δέ	29	c	-	-	-	-	-	-	-	-
βαρβάροισι	βάρβαρος	30	a	-	p	-	-	-	m	d	-
ἀποδεχθέντα	ἀποδέχομαι	31	v	-	p	a	p	p	n	n	-
,	,	32	u	-	-	-	-	-	-	-	-
