form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τρίτον	τρίτος	1	a	-	s	-	-	-	n	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
δὴ	δή	3	d	-	-	-	-	-	-	-	-
τόδε	ὅδε	4	p	-	s	-	-	-	n	n	-
ἔργον	ἔργον	5	n	-	s	-	-	-	n	n	-
ἐμφύλιον	ἐμφύλιος	6	a	-	s	-	-	-	n	n	-
ἦν	εἰμί	7	v	3	s	i	i	a	-	-	-
τὸ	ὁ	8	l	-	s	-	-	-	n	n	-
Ἀπουληίου	Ἀπουλήιος	9	n	-	s	-	-	-	m	g	-
,	,	10	u	-	-	-	-	-	-	-	-
μετὰ	μετά	11	r	-	-	-	-	-	-	-	-
δύο	δύο	12	a	-	_	-	-	-	_	_	_
τὰ	ὁ	13	l	-	p	-	-	-	n	a	-
Γράκχεια	Γράκχειος	14	a	-	p	-	-	-	n	a	_
,	,	15	u	-	-	-	-	-	-	-	-
καὶ	καί	16	c	-	-	-	-	-	-	-	-
τοσάδε	τοσόσδε	17	p	-	p	-	-	-	n	a	-
εἴργαστο	ἐργάζομαι	18	v	3	s	l	i	e	-	-	-
Ῥωμαίους	Ῥωμαῖος	19	n	-	p	-	-	-	m	a	-
·	·	20	u	-	-	-	-	-	-	-	-

οὕτω	οὕτως	1	d	-	-	-	-	-	-	-	-
δʼ	δέ	2	d	-	-	-	-	-	-	-	-
ἔχουσιν	ἔχω	3	v	-	p	p	p	a	m	d	-
αὐτοῖς	αὐτός	4	p	-	p	-	-	-	m	d	-
ὁ	ὁ	5	l	-	s	-	-	-	m	n	-
συμμαχικὸς	συμμαχικός	6	a	-	s	-	-	-	m	n	-
καλούμενος	καλέω	7	v	-	s	f	p	m	m	n	-
πόλεμος	πόλεμος	8	n	-	s	-	-	-	m	n	-
ἐπιγίγνεται	ἐπιγίγνομαι	9	v	3	s	p	i	e	-	-	-
ἐθνῶν	ἔθνος	10	n	-	p	-	-	-	n	g	-
ἀνὰ	ἀνά	11	r	-	-	-	-	-	-	-	-
τὴν	ὁ	12	l	-	s	-	-	-	f	a	-
Ἰταλίαν	Ἰταλία	13	n	-	s	-	-	-	f	a	-
πολλῶν	πολύς	14	a	-	p	-	-	-	n	g	-
,	,	15	u	-	-	-	-	-	-	-	-
ἀρξάμενός	ἄρχω	16	v	-	s	a	p	m	m	n	-
τε	τε	17	d	-	-	-	-	-	-	-	-
παραδόξως	παράδοξος	18	d	-	-	-	-	-	-	-	-
,	,	19	u	-	-	-	-	-	-	-	-
καὶ	καί	20	d	-	-	-	-	-	-	-	-
ἀθρόως	ἀθρόος	21	d	-	-	-	-	-	-	-	_
ἐπὶ	ἐπί	22	r	-	-	-	-	-	-	-	-
μέγα	μέγας	23	a	-	s	-	-	-	n	n	-
προελθών	προέρχομαι	24	v	-	s	a	p	a	m	n	-
,	,	25	u	-	-	-	-	-	-	-	-
καὶ	καί	26	c	-	-	-	-	-	-	-	-
τὰς	ὁ	27	l	-	p	-	-	-	f	a	-
στάσεις	στάσις	28	n	-	p	-	-	-	f	a	-
ἐν	ἐν	29	r	-	-	-	-	-	-	-	-
Ῥώμῃ	Ῥώμη	30	n	-	s	-	-	-	f	d	-
σβέσας	σβέννυμι	31	v	-	s	a	p	a	m	n	-
ὑπὸ	ὑπό	32	r	-	-	-	-	-	-	-	-
δέους	δέος	33	n	-	s	-	-	-	n	g	-
ἐπὶ	ἐπί	34	r	-	-	-	-	-	-	-	-
πολύ	πολύς	35	a	-	s	-	-	-	n	a	-
.	.	36	u	-	-	-	-	-	-	-	-

λήγων	λήγω	1	v	-	s	p	p	a	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
ὅδε	ὅδε	4	p	-	s	-	-	-	m	n	-
στάσεις	στάσις	5	n	-	p	-	-	-	f	a	-
τε	τε	6	d	-	-	-	-	-	-	-	-
ἄλλας	ἄλλος	7	a	-	p	-	-	-	f	a	_
καὶ	καί	8	c	-	-	-	-	-	-	-	-
στασιάρχους	στασίαρχος	9	a	-	p	-	-	-	m	a	-
δυνατωτέρους	δυνατός	10	a	-	p	-	-	-	m	a	c
ἀνέθρεψεν	ἀνατρέφω	11	v	3	s	a	i	a	-	-	-
οὐ	οὐ	12	d	-	-	-	-	-	-	-	_
νόμων	νόμος	13	n	-	p	-	-	-	m	g	-
εἰσηγήσεσιν	εἰσήγησις	14	n	-	p	-	-	-	f	d	-
ἔτι	ἔτι	15	d	-	-	-	-	-	-	-	-
οὐ	οὐ	16	d	-	-	-	-	-	-	-	_
-δὲ	-δὲ	17	c	-	-	-	-	-	-	-	-
δημοκοπίαις	δημοκοπία	18	n	-	p	-	-	-	f	d	-
,	,	19	u	-	-	-	-	-	-	-	-
ἀλλὰ	ἀλλά	20	c	-	-	-	-	-	-	-	-
ἀθρόοις	ἀθρόος	21	a	-	p	-	-	-	n	d	-
στρατεύμασι	στράτευμα	22	n	-	p	-	-	-	n	d	-
κατʼ	κατά	23	r	-	-	-	-	-	-	-	-
ἀλλήλων	ἀλλήλων	24	p	-	p	-	-	-	m	g	-
χρωμένους	χράομαι	25	v	-	p	p	p	e	m	a	-
.	.	26	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
αὐτὸν	αὐτός	2	p	-	s	-	-	-	m	a	-
διὰ	διά	3	r	-	-	-	-	-	-	-	-
τάδε	ὅδε	4	p	-	p	-	-	-	n	a	-
συνήγαγον	συνάγω	5	v	1	s	a	i	a	-	-	-
ἐς	εἰς	6	r	-	-	-	-	-	-	-	-
τήνδε	ὅδε	7	a	-	s	-	-	-	f	a	_
τὴν	ὁ	8	l	-	s	-	-	-	f	a	-
συγγραφήν	συγγραφή	9	n	-	s	-	-	-	f	a	-
,	,	10	u	-	-	-	-	-	-	-	-
ἔκ	ἐκ	11	r	-	-	-	-	-	-	-	-
τε	τε	12	d	-	-	-	-	-	-	-	-
τῆς	ὁ	13	l	-	s	-	-	-	f	g	-
ἐν	ἐν	14	r	-	-	-	-	-	-	-	-
Ῥώμῃ	Ῥώμη	15	n	-	s	-	-	-	f	d	-
στάσεως	στάσις	16	n	-	s	-	-	-	f	g	-
ἀρξάμενον	ἄρχω	17	v	-	s	a	p	m	m	a	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
ἐς	εἰς	19	r	-	-	-	-	-	-	-	-
πολὺ	πολύς	20	a	-	s	-	-	-	n	a	-
χείρονα	χείρων	21	a	-	s	-	-	-	f	a	c
στάσιν	στάσις	22	n	-	s	-	-	-	f	a	-
ἑτέραν	ἕτερος	23	a	-	s	-	-	-	f	a	-
ἐκπεσόντα	ἐκπίτνω	24	v	-	s	a	p	a	m	a	-
.	.	25	u	-	-	-	-	-	-	-	-

ἤρξατο	ἄρχω	1	v	3	s	a	i	m	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ὧδε	ὧδε	3	d	-	-	-	-	-	-	-	-
.	.	4	u	-	-	-	-	-	-	-	-

Φούλβιος	Φούλβιος	1	n	-	s	-	-	-	m	n	-
Φλάκκος	Φλάκκος	2	n	-	s	-	-	-	m	n	-
ὑπατεύων	ὑπατεύω	3	v	-	s	p	p	a	m	n	-
μάλιστα	μάλιστα	4	d	-	-	-	-	-	-	-	-
δὴ	δή	5	d	-	-	-	-	-	-	-	-
πρῶτος	πρῶτος	6	a	-	s	-	-	-	m	n	-
ὅδε	ὅδε	7	a	-	s	-	-	-	m	n	_
ἐς	εἰς	8	r	-	-	-	-	-	-	-	-
τὸ	ὁ	9	l	-	s	-	-	-	n	a	-
φανερώτατον	φανερός	10	a	-	s	-	-	-	n	a	s
ἠρέθιζε	ἐρεθίζω	11	v	3	s	i	i	a	-	-	-
τοὺς	ὁ	12	l	-	p	-	-	-	m	a	-
Ἰταλιώτας	Ἰταλιώτης	13	n	-	p	-	-	-	m	a	-
ἐπιθυμεῖν	ἐπιθυμέω	14	v	-	-	p	n	a	-	-	-
τῆς	ὁ	15	l	-	s	-	-	-	f	g	-
Ῥωμαίων	Ῥωμαῖος	16	n	-	p	-	-	-	m	g	-
πολιτείας	πολιτεία	17	n	-	s	-	-	-	f	g	-
ὡς	ὡς	18	d	-	-	-	-	-	-	-	-
κοινωνοὺς	κοινωνός	19	n	-	p	-	-	-	m	a	-
τῆς	ὁ	20	l	-	s	-	-	-	f	g	-
ἡγεμονίας	ἡγεμονία	21	n	-	s	-	-	-	f	g	-
ἀντὶ	ἀντί	22	r	-	-	-	-	-	-	-	-
ὑπηκόων	ὑπήκοος	23	n	-	p	-	-	-	m	g	-
ἐσομένους	εἰμί	24	v	-	p	f	p	m	m	a	-
.	.	25	u	-	-	-	-	-	-	-	-

εἰσηγούμενος	εἰσηγέομαι	1	v	-	s	p	p	e	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τὴν	ὁ	3	l	-	s	-	-	-	f	a	-
γνώμην	γνώμη	4	n	-	s	-	-	-	f	a	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
ἐπιμένων	ἐπιμένω	6	v	-	s	p	p	a	m	n	-
αὐτῇ	αὐτός	7	p	-	s	-	-	-	f	d	-
καρτερῶς	καρτερός	8	d	-	-	-	-	-	-	-	p
,	,	9	u	-	-	-	-	-	-	-	-
ὑπὸ	ὑπό	10	r	-	-	-	-	-	-	-	-
τῆς	ὁ	11	l	-	s	-	-	-	f	g	-
βουλῆς	βουλή	12	n	-	s	-	-	-	f	g	-
ἐπί	ἐπί	13	r	-	-	-	-	-	-	-	-
τινα	τις	14	a	-	s	-	-	-	f	a	_
στρατείαν	στρατεία	15	n	-	s	-	-	-	f	a	-
ἐξεπέμφθη	ἐκπέμπω	16	v	3	s	a	i	p	-	-	-
διὰ	διά	17	r	-	-	-	-	-	-	-	-
τόδε	ὅδε	18	p	-	s	-	-	-	n	a	-
.	.	19	u	-	-	-	-	-	-	-	-

ἐν	ἐν	1	r	-	-	-	-	-	-	-	-
ᾗ	ὅς	2	p	-	s	-	-	-	f	d	-
τῆς	ὁ	3	l	-	s	-	-	-	f	g	-
ὑπατείας	ὑπατεία	4	n	-	s	-	-	-	f	g	-
αὐτῷ	αὐτός	5	p	-	s	-	-	-	m	d	-
δεδαπανημένης	δαπανάω	6	v	-	s	r	p	e	f	g	-
,	,	7	u	-	-	-	-	-	-	-	-
ὁ	ὁ	8	l	-	s	-	-	-	m	n	-
δὲ	δέ	9	d	-	-	-	-	-	-	-	-
καὶ	καί	10	d	-	-	-	-	-	-	-	-
δημαρχεῖν	δημαρχέω	11	v	-	-	p	n	a	-	-	-
εἵλετο	αἱρέω	12	v	3	s	a	i	m	-	-	-
μετʼ	μετά	13	r	-	-	-	-	-	-	-	-
αὐτὴν	αὐτός	14	p	-	s	-	-	-	f	a	-
καὶ	καί	15	c	-	-	-	-	-	-	-	-
ἔπραξε	πράσσω	16	v	3	s	a	i	a	-	-	-
γενέσθαι	γίγνομαι	17	v	-	-	a	n	m	-	-	-
σὺν	σύν	18	r	-	-	-	-	-	-	-	-
Γράκχῳ	Γράκχος	19	n	-	s	-	-	-	m	d	-
τῷ	ὁ	20	l	-	s	-	-	-	m	d	-
νεωτέρῳ	νέος	21	a	-	s	-	-	-	m	d	c
,	,	22	u	-	-	-	-	-	-	-	-
τοιάδε	τοιόσδε	23	a	-	p	-	-	-	n	a	_
ἄλλα	ἄλλος	24	p	-	p	-	-	-	n	a	-
ὑπὲρ	ὑπέρ	25	r	-	-	-	-	-	-	-	-
τῆς	ὁ	26	l	-	s	-	-	-	f	g	-
Ἰταλίας	Ἰταλία	27	n	-	s	-	-	-	f	g	-
ἐσφέροντι	εἰσφέρω	28	v	-	s	p	p	a	m	d	-
κ-	καί	29	d	-	-	-	-	-	-	-	-
ἀκείνῳ	ἐκεῖνος	30	p	-	s	-	-	-	m	d	-
.	.	31	u	-	-	-	-	-	-	-	-

ἀναιρεθέντοιν	ἀναιρέω	1	v	-	d	a	p	p	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἀμφοῖν	ἄμφω	3	a	-	d	-	-	-	m	g	-
,	,	4	u	-	-	-	-	-	-	-	-
ὥς	ὡς	5	c	-	-	-	-	-	-	-	-
μοι	ἐγώ	6	p	1	s	-	-	-	m	d	-
προείρηται	προερέω	7	v	3	s	r	i	e	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
πολὺ	πολύς	9	a	-	s	-	-	-	n	a	-
μᾶλλον	μᾶλλον	10	d	-	-	-	-	-	-	-	-
ἠρέθιστο	ἐρεθίζω	11	v	3	s	l	i	e	-	-	-
ἡ	ὁ	12	l	-	s	-	-	-	f	n	-
Ἰταλία	Ἰταλία	13	n	-	s	-	-	-	f	n	-
·	·	14	u	-	-	-	-	-	-	-	-

οὔ	οὐ	1	d	-	-	-	-	-	-	-	-
-τε	-τε	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
ἠξίουν	ἀξιόω	4	v	3	p	i	i	a	-	-	-
ἐν	ἐν	5	r	-	-	-	-	-	-	-	-
ὑπηκόων	ὑπήκοος	6	n	-	p	-	-	-	m	g	-
ἀντὶ	ἀντί	7	r	-	-	-	-	-	-	-	-
κοινωνῶν	κοινωνός	8	n	-	p	-	-	-	m	g	-
εἶναι	εἰμί	9	v	-	-	p	n	a	-	-	-
μέρει	μέρος	10	n	-	s	-	-	-	n	d	-
οὔ	οὐ	11	d	-	-	-	-	-	-	-	-
-τε	-τε	12	c	-	-	-	-	-	-	-	-
Φλάκκον	Φλάκκος	13	n	-	s	-	-	-	m	a	-
καὶ	καί	14	c	-	-	-	-	-	-	-	-
Γράκχον	Γράκχος	15	n	-	s	-	-	-	m	a	-
ὑπὲρ	ὑπέρ	16	r	-	-	-	-	-	-	-	-
αὐτῶν	αὐτός	17	p	-	p	-	-	-	n	g	-
πολιτεύοντας	πολιτεύω	18	v	-	p	p	p	a	m	a	-
τοιάδε	τοιόσδε	19	p	-	p	-	-	-	n	a	-
παθεῖν	πάσχω	20	v	-	-	a	n	a	-	-	-
.	.	21	u	-	-	-	-	-	-	-	-

ἐπὶ	ἐπί	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἐκείνοις	ἐκεῖνος	3	p	-	p	-	-	-	m	d	-
καὶ	καί	4	d	-	-	-	-	-	-	-	-
Λίβιος	Λίβιος	5	n	-	s	-	-	-	m	n	-
Δροῦσος	Δροῦσος	6	n	-	s	-	-	-	m	n	-
δημαρχῶν	δημαρχέω	7	v	-	s	p	p	a	m	n	-
,	,	8	u	-	-	-	-	-	-	-	-
ἀνὴρ	ἀνήρ	9	n	-	s	-	-	-	m	n	-
ἐπιφανέστατος	ἐπιφανής	10	a	-	s	-	-	-	m	n	s
ἐκ	ἐκ	11	r	-	-	-	-	-	-	-	-
γένους	γένος	12	n	-	s	-	-	-	n	g	-
,	,	13	u	-	-	-	-	-	-	-	-
δεηθεῖσι	δέω2	14	v	-	p	a	p	p	m	d	-
τοῖς	ὁ	15	l	-	p	-	-	-	m	d	-
Ἰταλιώταις	Ἰταλιώτης	16	n	-	p	-	-	-	m	d	-
νόμον	νόμος	17	n	-	s	-	-	-	m	a	-
αὖθις	αὖθις	18	d	-	-	-	-	-	-	-	-
ἐσενεγκεῖν	εἰσφέρω	19	v	-	-	a	n	a	-	-	-
περὶ	περί	20	r	-	-	-	-	-	-	-	-
τῆς	ὁ	21	l	-	s	-	-	-	f	g	-
πολιτείας	πολιτεία	22	n	-	s	-	-	-	f	g	-
ὑπέσχετο	ὑπισχνέομαι	23	v	3	s	a	i	m	-	-	-
·	·	24	u	-	-	-	-	-	-	-	-

τούτου	οὗτος	1	p	-	s	-	-	-	n	g	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
δὴ	δή	3	d	-	-	-	-	-	-	-	-
μάλιστα	μάλιστα	4	d	-	-	-	-	-	-	-	-
ἐπεθύμουν	ἐπιθυμέω	5	v	3	p	i	i	a	-	-	-
ὡς	ὡς	6	d	-	-	-	-	-	-	-	-
ἑνὶ	εἷς	7	n	-	s	-	-	-	n	d	-
τῷδε	ὅδε	8	a	-	s	-	-	-	n	d	_
αὐτίκα	αὐτίκα	9	d	-	-	-	-	-	-	-	-
ἡγεμόνες	ἡγεμών	10	n	-	p	-	-	-	m	n	-
ἀντὶ	ἀντί	11	r	-	-	-	-	-	-	-	-
ὑπηκόων	ὑπήκοος	12	n	-	p	-	-	-	m	g	-
ἐσόμενοι	εἰμί	13	v	-	p	f	p	m	m	n	-
.	.	14	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
