form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἀντὶ	ἀντί	1	r	-	-	-	-	-	-	-	-
πολλῶν	πολύς	2	a	-	p	-	-	-	n	g	-
ἄν	ἄν	3	d	-	-	-	-	-	-	-	-
,	,	4	u	-	-	-	-	-	-	-	-
ὦ	ὦ	5	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	6	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	7	a	-	p	-	-	-	m	v	-
,	,	8	u	-	-	-	-	-	-	-	-
χρημάτων	χρῆμα	9	n	-	p	-	-	-	n	g	-
ὑμᾶς	σύ	10	p	-	p	-	-	-	m	a	-
ἑλέσθαι	αἱρέω	11	v	-	-	a	n	m	-	-	-
νομίζω	νομίζω	12	v	1	s	p	i	a	-	-	-
,	,	13	u	-	-	-	-	-	-	-	-
εἰ	εἰ	14	c	-	-	-	-	-	-	-	-
φανερὸν	φανερός	15	a	-	s	-	-	-	n	n	-
γένοιτο	γίγνομαι	16	v	3	s	a	o	m	-	-	-
τὸ	ὁ	17	l	-	s	-	-	-	n	a	-
μέλλον	μέλλω	18	v	-	s	p	p	a	n	a	-
συνοίσειν	συμφέρω	19	v	-	-	f	n	a	-	-	-
τῇ	ὁ	20	l	-	s	-	-	-	f	d	-
πόλει	πόλις	21	n	-	s	-	-	-	f	d	-
περὶ	περί	22	r	-	-	-	-	-	-	-	-
ὧν	ὅς	23	p	-	p	-	-	-	n	g	-
νυνὶ	νυνί	24	d	-	-	-	-	-	-	-	-
σκοπεῖτε	σκοπέω	25	v	2	p	p	i	a	-	-	-
.	.	26	u	-	-	-	-	-	-	-	-

ὅτε	ὅτε	1	c	-	-	-	-	-	-	-	-
τοίνυν	τοίνυν	2	d	-	-	-	-	-	-	-	-
τοῦθ’	οὗτος	3	p	-	s	-	-	-	n	n	-
οὕτως	οὕτως	4	d	-	-	-	-	-	-	-	-
ἔχει	ἔχω	5	v	3	s	p	i	a	-	-	-
,	,	6	u	-	-	-	-	-	-	-	-
προσήκει	προσήκω	7	v	3	s	p	i	a	-	-	-
προθύμως	πρόθυμος	8	d	-	-	-	-	-	-	-	-
ἐθέλειν	ἐθέλω	9	v	-	-	p	n	a	-	-	-
ἀκούειν	ἀκούω	10	v	-	-	p	n	a	-	-	-
τῶν	ὁ	11	l	-	p	-	-	-	m	g	-
βουλομένων	βούλομαι	12	v	-	p	p	p	e	m	g	-
συμβουλεύειν	συμβουλεύω	13	v	-	-	p	n	a	-	-	-
·	·	14	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
μόνον	μόνον	3	d	-	-	-	-	-	-	-	-
εἴ	εἰ	4	c	-	-	-	-	-	-	-	-
τι	τις	5	p	-	s	-	-	-	n	a	-
χρήσιμον	χρήσιμος	6	a	-	s	-	-	-	n	a	-
ἐσκεμμένος	σκέπτομαι	7	v	-	s	r	p	e	m	n	-
ἥκει	ἥκω	8	v	3	s	p	i	a	-	-	-
τις	τις	9	p	-	s	-	-	-	m	n	-
,	,	10	u	-	-	-	-	-	-	-	-
τοῦτ’	οὗτος	11	p	-	p	-	-	-	n	a	-
ἂν	ἄν	12	d	-	-	-	-	-	-	-	-
ἀκούσαντες	ἀκούω	13	v	-	p	a	p	a	m	n	-
λάβοιτε	λαμβάνω	14	v	2	p	a	o	a	-	-	-
,	,	15	u	-	-	-	-	-	-	-	-
ἀλλὰ	ἀλλά	16	c	-	-	-	-	-	-	-	-
καὶ	καί	17	d	-	-	-	-	-	-	-	-
τῆς	ὁ	18	l	-	s	-	-	-	f	g	-
ὑμετέρας	ὑμέτερος	19	a	-	s	-	-	-	f	g	-
τύχης	τύχη	20	n	-	s	-	-	-	f	g	-
ὑπολαμβάνω	ὑπολαμβάνω	21	v	1	s	p	i	a	-	-	-
πολλὰ	πολύς	22	a	-	p	-	-	-	n	a	-
τῶν	ὁ	23	l	-	p	-	-	-	n	g	-
δεόντων	δέω	24	v	-	p	p	p	a	n	g	-
ἐκ	ἐκ	25	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	26	l	-	s	-	-	-	n	g	-
παραχρῆμ’	παραχρῆμα	27	d	-	-	-	-	-	-	-	-
ἐνίοις	ἔνιοι	28	a	-	p	-	-	-	m	d	-
ἂν	ἄν	29	d	-	-	-	-	-	-	-	-
ἐπελθεῖν	ἐπέρχομαι	30	v	-	-	a	n	a	-	-	-
εἰπεῖν	λέγω	31	v	-	-	a	n	a	-	-	-
,	,	32	u	-	-	-	-	-	-	-	-
ὥστ’	ὥστε	33	c	-	-	-	-	-	-	-	-
ἐξ	ἐκ	34	r	-	-	-	-	-	-	-	-
ἁπάντων	ἅπας	35	a	-	p	-	-	-	m	g	-
ῥᾳδίαν	ῥᾴδιος	36	a	-	s	-	-	-	f	a	-
τὴν	ὁ	37	l	-	s	-	-	-	f	a	-
τοῦ	ὁ	38	l	-	s	-	-	-	n	g	-
συμφέροντος	συμφέρω	39	v	-	s	p	p	a	n	g	-
ὑμῖν	σύ	40	p	-	p	-	-	-	m	d	-
αἵρεσιν	αἵρεσις	41	n	-	s	-	-	-	f	a	-
γενέσθαι	γίγνομαι	42	v	-	-	a	n	m	-	-	-
.	.	43	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
παρὼν	πάρειμι	4	v	-	s	p	p	a	m	n	-
καιρός	καιρός	5	n	-	s	-	-	-	m	n	-
,	,	6	u	-	-	-	-	-	-	-	-
ὦ	ὦ	7	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	8	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	9	a	-	p	-	-	-	m	v	-
,	,	10	u	-	-	-	-	-	-	-	-
μόνον	μόνος	11	a	-	s	-	-	-	n	a	-
οὐχὶ	οὐ	12	d	-	-	-	-	-	-	-	-
λέγει	λέγω	13	v	3	s	p	i	a	-	-	-
φωνὴν	φωνή	14	n	-	s	-	-	-	f	a	-
ἀφιεὶς	ἀφίημι	15	v	-	s	p	p	a	m	n	-
ὅτι	ὅτι	16	c	-	-	-	-	-	-	-	-
τῶν	ὁ	17	l	-	p	-	-	-	n	g	-
πραγμάτων	πρᾶγμα	18	n	-	p	-	-	-	n	g	-
ὑμῖν	σύ	19	p	-	p	-	-	-	m	d	-
ἐκείνων	ἐκεῖνος	20	a	-	p	-	-	-	n	g	-
αὐτοῖς	αὐτός	21	a	-	p	-	-	-	m	d	_
