form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
καίτοι	καίτοι	1	d	-	-	-	-	-	-	-	-
φιλίαν	φιλία	2	n	-	s	-	-	-	f	a	-
γε	γε	3	d	-	-	-	-	-	-	-	-
καὶ	καί	4	c	-	-	-	-	-	-	-	-
ξενίαν	ξενία	5	n	-	s	-	-	-	f	a	-
αὐτὴν	αὐτός	6	p	-	s	-	-	-	f	a	-
ὀνομάζει	ὀνομάζω	7	v	3	s	p	i	a	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
νῦν	νῦν	10	d	-	-	-	-	-	-	-	-
εἶπέ	εἶπον	11	v	3	s	a	i	a	-	-	-
που	πού	12	d	-	-	-	-	-	-	-	-
λέγων	λέγω3	13	v	-	s	p	p	a	m	n	-
ὁ	ὁ	14	l	-	s	-	-	-	m	n	-
τὴν	ὁ	15	l	-	s	-	-	-	f	a	-
Ἀλεξάνδρου	Ἀλέξανδρος	16	n	-	s	-	-	-	m	g	-
ξενίαν	ξενία	17	n	-	s	-	-	-	f	a	-
ὀνειδίζων	ὀνειδίζω	18	v	-	s	p	p	a	m	n	-
ἐμοί	ἐγώ	19	p	1	s	-	-	-	m	d	-
.	.	20	u	-	-	-	-	-	-	-	-

ἐγώ	ἐγώ	1	p	1	s	-	-	-	m	n	-
σοι	σοι	2	p	-	s	-	-	-	m	d	-
ξενίαν	ξενία	3	n	-	s	-	-	-	f	a	-
Ἀλεξάνδρου	Ἀλέξανδρος	4	n	-	s	-	-	-	m	g	-
;	;	5	u	-	-	-	-	-	-	-	-

πόθεν	πόθεν	1	d	-	-	-	-	-	-	-	-
λαβόντι	λαμβάνω	2	v	-	s	a	p	a	m	d	-
ἢ	ἤ1	3	c	-	-	-	-	-	-	-	-
πῶς	πῶς2	4	d	-	-	-	-	-	-	-	-
ἀξιωθέντι	ἀξιόω	5	v	-	s	a	p	p	m	d	-
;	;	6	u	-	-	-	-	-	-	-	-

οὔ	οὐ	1	d	-	-	-	-	-	-	-	-
-τε	-τε	2	d	-	-	-	-	-	-	-	-
Φιλίππου	Φίλιππος	3	n	-	s	-	-	-	m	g	-
ξένον	ξένος1	4	n	-	s	-	-	-	m	a	-
οὔ	οὐ	5	d	-	-	-	-	-	-	-	-
-τ ̓	-τ ̓	6	c	-	-	-	-	-	-	-	-
Ἀλεξάνδρου	Ἀλέξανδρος	7	n	-	s	-	-	-	m	g	-
φίλον	φίλος	8	n	-	s	-	-	-	m	a	-
