form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
εἰ	εἰ	1	c	-	-	-	-	-	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
περὶ	περί	3	r	-	-	-	-	-	-	-	-
καινοῦ	καινός	4	a	-	s	-	-	-	n	g	-
τινος	τις	5	a	-	s	-	-	-	n	g	_
πράγματος	πρᾶγμα	6	n	-	s	-	-	-	n	g	-
προυτίθετʼ	προτίθημι	7	v	3	s	i	i	e	-	-	-
,	punc1	8	u	-	-	-	-	-	-	-	-
ὦ	ὦ	9	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	10	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	11	n	-	p	-	-	-	m	v	-
,	punc1	12	u	-	-	-	-	-	-	-	-
λέγειν	λέγω3	13	v	-	-	p	n	a	-	-	-
,	punc1	14	u	-	-	-	-	-	-	-	-
ἐπισχὼν	ἐπέχω	15	v	-	s	a	p	a	m	n	_
ἂν	ἄν1	16	d	-	-	-	-	-	-	-	-
ἕως	ἕως	17	c	-	-	-	-	-	-	-	-
οἱ	ὁ	18	l	-	p	-	-	-	m	n	-
πλεῖστοι	πλεῖστος	19	a	-	p	-	-	-	m	n	-
τῶν	ὁ	20	l	-	p	-	-	-	m	g	-
εἰωθότων	ἔθω	21	v	-	p	r	p	a	m	g	-
γνώμην	γνώμη	22	n	-	s	-	-	-	f	a	-
ἀπεφήναντο	ἀποφαίνω	23	v	3	p	a	i	m	-	-	-
,	punc1	24	u	-	-	-	-	-	-	-	-
εἰ	εἰ	25	c	-	-	-	-	-	-	-	-
μὲν	μέν	26	d	-	-	-	-	-	-	-	-
ἤρεσκέ	ἀρέσκω	27	v	3	s	i	i	a	-	-	-
τί	τις	28	p	-	s	-	-	-	n	n	-
μοι	ἐγώ	29	p	1	s	-	-	-	m	d	-
τῶν	ὁ	30	l	-	p	-	-	-	n	g	-
ὑπὸ	ὑπό	31	r	-	-	-	-	-	-	-	-
τούτων	οὗτος	32	p	-	p	-	-	-	m	g	-
