form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τὴν	ὁ	1	l	-	s	-	-	-	f	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
δὴ	δή	3	d	-	-	-	-	-	-	-	-
πρώτην	πρῶτος	4	a	-	s	-	-	-	f	a	-
οἴκησιν	οἴκησις	5	n	-	s	-	-	-	f	a	-
οἱ	ὁ	6	l	-	p	-	-	-	m	n	-
Ἀβοριγῖνες	Ἀβοριγῖνες	7	n	-	p	-	-	-	m	n	-
ἐν	ἐν	8	r	-	-	-	-	-	-	-	-
τούτοις	οὗτος	9	a	-	p	-	-	-	m	d	_
λέγονται	λέγω3	10	v	3	p	p	i	e	-	-	-
ποιήσασθαι	ποιέω	11	v	-	-	a	n	m	-	-	-
τοῖς	ὁ	12	l	-	p	-	-	-	m	d	-
τόποις	τόπος	13	n	-	p	-	-	-	m	d	-
,	,	14	u	-	-	-	-	-	-	-	-
ἐξελάσαντες	ἐξελαύνω	15	v	-	p	a	p	a	m	n	-
ἐξ	ἐκ	16	r	-	-	-	-	-	-	-	-
αὐτῶν	αὐτός	17	p	-	p	-	-	-	m	g	-
Ὀμβρικούς	Ὀμβρικός	18	n	-	p	-	-	-	m	a	-
.	.	19	u	-	-	-	-	-	-	-	-

ἐντεῦθεν	ἐντεῦθεν	1	d	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ὁρμώμενοι	ὁρμάζω	3	v	-	p	f	p	m	m	n	-
τοῖς	ὁ	4	l	-	p	-	-	-	m	d	-
τε	τε	5	d	-	-	-	-	-	-	-	-
ἄλλοις	ἄλλος	6	a	-	p	-	-	-	m	d	_
βαρβάροις	βάρβαρος	7	n	-	p	-	-	-	m	d	-
καὶ	καί	8	c	-	-	-	-	-	-	-	-
πάντων	πᾶς	9	a	-	p	-	-	-	m	g	-
μάλιστα	μάλιστα	10	d	-	-	-	-	-	-	-	-
Σικελοῖς	Σικελοί	11	n	-	p	-	-	-	m	d	-
ὁμοτέρμοσιν	ὁμοτέρμων	12	a	-	p	-	-	-	m	d	_
οὖσιν	εἰμί	13	v	-	p	p	p	a	m	d	-
ὑπὲρ	ὑπέρ	14	r	-	-	-	-	-	-	-	-
τῆς	ὁ	15	l	-	s	-	-	-	f	g	-
χώρας	χώρα	16	n	-	p	-	-	-	f	a	-
ἐπολέμουν	πολεμέω	17	v	3	p	i	i	a	-	-	-
,	,	18	u	-	-	-	-	-	-	-	-
τὸ	ὁ	19	l	-	s	-	-	-	n	a	-
μὲν	μέν	20	d	-	-	-	-	-	-	-	-
πρῶτον	πρῶτος	21	a	-	s	-	-	-	n	a	-
ἱερά	ἱερός	22	a	-	s	-	-	-	f	n	p
τις	τις	23	a	-	s	-	-	-	f	n	_
ἐξελθοῦσα	ἐξέρχομαι	24	v	-	s	a	p	a	f	n	-
νεότης	νεότης	25	n	-	s	-	-	-	f	n	-
,	,	26	u	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	27	n	-	p	-	-	-	m	n	-
ὀλίγοι	ὀλίγος	28	a	-	p	-	-	-	m	n	-
κατὰ	κατά	29	r	-	-	-	-	-	-	-	-
βίου	βίος	30	n	-	s	-	-	-	m	g	-
ζήτησιν	ζήτησις	31	n	-	s	-	-	-	f	a	-
ὑπὸ	ὑπό	32	r	-	-	-	-	-	-	-	-
τῶν	ὁ	33	l	-	p	-	-	-	m	g	-
γειναμένων	γείνομαι	34	v	-	p	a	p	m	m	g	-
ἀποσταλέντες	ἀποστέλλω	35	v	-	p	a	p	p	m	n	-
,	,	36	u	-	-	-	-	-	-	-	-
ἔθος	ἔθος	37	n	-	s	-	-	-	n	a	-
ἐκπληροῦντες	ἐκπληρόω	38	v	-	p	p	p	a	m	n	-
ἀρχαῖον	ἀρχαῖος	39	a	-	s	-	-	-	n	a	-
,	,	40	u	-	-	-	-	-	-	-	-
ᾧ	ὅς	41	p	-	s	-	-	-	n	d	-
πολλοὺς	πολύς	42	a	-	p	-	-	-	m	a	-
βαρβάρων	βάρβαρος	43	n	-	p	-	-	-	m	g	-
τε	τε	44	d	-	-	-	-	-	-	-	-
καὶ	καί	45	c	-	-	-	-	-	-	-	-
Ἑλλήνων	Ἕλλην	46	n	-	p	-	-	-	m	g	-
ἐπίσταμαι	ἐπίσταμαι	47	v	1	s	p	i	e	-	-	-
χρησαμένους	χράω2	48	v	-	p	a	p	m	m	a	-
.	.	49	u	-	-	-	-	-	-	-	-

ὁπότε	ὁπότε	1	c	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
εἰς	εἰς	3	r	-	-	-	-	-	-	-	-
ὄχλου	ὄχλος	4	n	-	s	-	-	-	m	g	-
πλῆθος	πλῆθος	5	n	-	s	-	-	-	n	a	-
ἐπίδοσιν	ἐπίδοσις	6	n	-	s	-	-	-	f	a	-
αἱ	ὁ	7	l	-	p	-	-	-	f	n	-
πόλεις	πόλις	8	n	-	p	-	-	-	f	n	-
τισὶ	τις	9	a	-	p	-	-	-	f	d	_
λάβοιεν	λαμβάνω	10	v	3	p	a	o	a	-	-	-
ὥστε	ὥστε	11	c	-	-	-	-	-	-	-	-
μηκέτι	μηκέτι	12	d	-	-	-	-	-	-	-	-
τὰς	ὁ	13	l	-	p	-	-	-	f	a	-
οἰκείας	οἰκεῖος	14	a	-	p	-	-	-	f	a	-
τροφὰς	τροφή	15	n	-	p	-	-	-	f	a	-
ἅπασιν	ἅπας	16	a	-	p	-	-	-	m	d	-
εἶναι	εἰμί	17	v	-	-	p	n	a	-	-	-
διαρκεῖς	διαρκής	18	a	-	p	-	-	-	f	a	-
,	,	19	u	-	-	-	-	-	-	-	-
ἢ	ἤ1	20	d	-	-	-	-	-	-	-	-
κακωθεῖσα	κακόω	21	v	-	s	a	p	p	f	n	-
ταῖς	ὁ	22	l	-	p	-	-	-	f	d	-
