form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Σμύρνην	Σμύρνα	1	n	-	s	-	-	-	f	a	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ὧδε	ὧδε	3	d	-	-	-	-	-	-	-	-
ἀπέβαλον	ἀποβάλλω	4	v	3	p	a	i	a	-	-	-
Αἰολέες	Αἰολεύς	5	n	-	p	-	-	-	m	n	-
.	.	6	u	-	-	-	-	-	-	-	-

Κολοφωνίους	Κολοφώνιος	1	n	-	p	-	-	-	m	a	-
ἄνδρας	ἀνήρ	2	n	-	p	-	-	-	m	a	-
στάσι	στάσις	3	n	-	s	-	-	-	f	v	-
ἑσσωθέντας	ἑσσόομαι	4	v	-	p	a	p	e	m	a	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
ἐκπεσόντας	ἐκπίτνω	6	v	-	p	a	p	a	m	a	-
ἐκ	ἐκ	7	r	-	-	-	-	-	-	-	-
τῆς	ὁ	8	l	-	s	-	-	-	f	g	-
πατρίδος	πατρίς	9	n	-	s	-	-	-	f	g	-
ὑπεδέξαντο	ὑποδέχομαι	10	v	3	p	a	i	m	-	-	-
.	.	11	u	-	-	-	-	-	-	-	-

μετὰ	μετά	1	d	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
οἱ	ὁ	3	l	-	p	-	-	-	m	n	-
φυγάδες	φυγάς	4	n	-	p	-	-	-	m	n	-
τῶν	ὁ	5	l	-	p	-	-	-	m	g	-
Κολοφωνίων	Κολοφώνιος	6	n	-	p	-	-	-	m	g	-
φυλάξαντες	φυλάζω	7	v	-	p	a	p	a	m	n	-
τοὺς	ὁ	8	l	-	p	-	-	-	m	a	-
Σμυρναίους	σμυρναῖος	9	n	-	p	-	-	-	m	a	-
ὁρτὴν	ἑορτή	10	n	-	s	-	-	-	f	a	-
ἔξω	ἔξω	11	r	-	-	-	-	-	-	-	-
τείχεος	τεῖχος	12	n	-	s	-	-	-	n	g	-
ποιευμένους	ποιέω	13	v	-	p	p	p	e	m	a	-
Διονύσῳ	Διονύσος	14	n	-	s	-	-	-	m	d	-
,	,	15	u	-	-	-	-	-	-	-	-
