form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
πολλὰ	πολύς	1	a	-	p	-	-	-	n	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
λέγειν	λέγω3	3	v	-	-	p	n	a	-	-	-
,	,	4	u	-	-	-	-	-	-	-	-
ὦ	ὦ	5	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	6	n	-	p	-	-	-	m	v	-
δικασταί	δικαστής	7	n	-	p	-	-	-	m	v	-
,	,	8	u	-	-	-	-	-	-	-	-
περὶ	περί	9	r	-	-	-	-	-	-	-	-
τουτουὶ	οὗτος	10	a	-	s	-	-	-	n	g	_
τοῦ	ὁ	11	l	-	s	-	-	-	n	g	-
πράγματος	πρᾶγμα	12	n	-	s	-	-	-	n	g	-
οὔτʼ	οὔτε	13	d	-	-	-	-	-	-	-	-
ἂν	ἄν1	14	d	-	-	-	-	-	-	-	-
δυναίμην	δύναμαι	15	v	1	s	p	o	e	-	-	-
οὔ	οὐ	16	d	-	-	-	-	-	-	-	-
-τε	-τε	17	c	-	-	-	-	-	-	-	-
μοι	ἐγώ	18	p	1	s	-	-	-	m	d	-
δοκεῖ	δοκέω	19	v	3	s	p	i	a	-	-	-
δεῖν	δεῖ	20	v	-	-	p	n	a	-	-	-
·	·	21	u	-	-	-	-	-	-	-	-

ὡς	ὡς	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ὀρθῶς	ὀρθός	3	d	-	-	-	-	-	-	-	-
τὴν	ὁ	4	l	-	s	-	-	-	f	a	-
δίκην	δίκη	5	n	-	s	-	-	-	f	a	-
ἔλαχον	λαγχάνω	6	v	1	s	a	i	a	-	-	-
τουτῳὶ	οὗτος	7	a	-	s	-	-	-	m	d	_
Παγκλέωνι	Παγκλέων	8	n	-	s	-	-	-	m	d	-
οὐκ	οὐ	9	d	-	-	-	-	-	-	-	-
ὄντι	εἰμί	10	v	-	s	p	p	a	m	d	-
Πλαταιεῖ	Πλαταιεύς	11	n	-	s	-	-	-	m	d	-
,	,	12	u	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	13	p	-	s	-	-	-	n	a	-
ὑμῖν	σύ	14	p	-	p	-	-	-	m	d	-
πειράσομαι	πειράω	15	v	1	s	f	i	m	f	-	-
ἀποδεῖξαι	ἀποδείκνυμι	16	v	-	-	a	n	a	-	-	-
.	.	17	u	-	-	-	-	-	-	-	-

ὡς	ὡς	1	c	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
ἀδικῶν	ἀδικέω	3	v	-	s	p	p	a	m	n	-
με	ἐγώ	4	p	1	s	-	-	-	m	a	-
πολὺν	πολύς	5	a	-	s	-	-	-	m	a	-
χρόνον	χρόνος	6	n	-	s	-	-	-	m	a	-
οὐκ	οὐ	7	d	-	-	-	-	-	-	-	-
ἐπαύετο	παύω	8	v	3	s	i	i	e	-	-	-
,	,	9	u	-	-	-	-	-	-	-	-
ἐλθὼν	ἔρχομαι	10	v	-	s	a	p	a	m	n	-
ἐπὶ	ἐπί	11	r	-	-	-	-	-	-	-	-
τὸ	ὁ	12	l	-	s	-	-	-	n	a	-
γναφεῖον	κναφεῖον	13	n	-	s	-	-	-	n	a	-
,	,	14	u	-	-	-	-	-	-	-	-
ἐν	ἐν	15	r	-	-	-	-	-	-	-	-
ᾧ	ὅς	16	p	-	s	-	-	-	n	d	-
εἰργάζετο	ἐργάζομαι	17	v	3	s	i	i	e	-	-	-
,	,	18	u	-	-	-	-	-	-	-	-
προσεκαλεσάμην	προσκαλέω	19	v	1	s	a	i	m	-	-	-
αὐτὸν	αὐτός	20	p	-	s	-	-	-	m	a	-
πρὸς	πρός	21	r	-	-	-	-	-	-	-	-
τὸν	ὁ	22	l	-	s	-	-	-	m	a	-
πολέμαρχον	πολέμαρχος	23	n	-	s	-	-	-	m	a	-
,	,	24	u	-	-	-	-	-	-	-	-
νομίζων	νομίζω	25	v	-	s	p	p	a	m	n	-
μέτοικον	μέτοικος	26	n	-	s	-	-	-	m	a	-
εἶναι	εἰμί	27	v	-	-	p	n	a	-	-	-
.	.	28	u	-	-	-	-	-	-	-	-

εἰπόντος	εἶπον	1	v	-	s	a	p	a	m	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τούτου	οὗτος	3	p	-	s	-	-	-	m	g	-
ὅτι	ὅτι2	4	c	-	-	-	-	-	-	-	-
Πλαταιεὺς	Πλαταιεύς	5	n	-	s	-	-	-	m	n	-
εἴη	εἰμί	6	v	3	s	p	o	a	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
ἠρόμην	ἔρομαι	8	v	1	s	a	i	m	-	-	-
ὁπόθεν	ὁπόθεν	9	d	-	-	-	-	-	-	-	-
δημοτεύοιτο	δημοτεύομαι	10	v	3	s	p	o	e	-	-	-
,	,	11	u	-	-	-	-	-	-	-	-
παραινέσαντός	παραινέω	12	v	-	s	a	p	a	m	g	-
τινος	τις	13	p	-	s	-	-	-	m	g	-
τῶν	ὁ	14	l	-	p	-	-	-	m	g	-
παρόντων	πάρειμι1	15	v	-	p	p	p	a	m	g	-
προσκαλέσασθαι	προσκαλέω	16	v	-	-	a	n	m	-	-	-
καὶ	καί	17	d	-	-	-	-	-	-	-	-
πρὸς	πρός	18	r	-	-	-	-	-	-	-	-
τὴν	ὁ	19	l	-	s	-	-	-	f	a	-
φυλήν	φυλή	20	n	-	s	-	-	-	f	a	-
,	,	21	u	-	-	-	-	-	-	-	-
ἧστινος	ὅστις	22	p	-	s	-	-	-	f	g	-
εἶναι	εἰμί	23	v	-	-	p	n	a	-	-	-
