form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τὸ	ὁ	1	l	-	s	-	-	-	n	n	-
Ἀλκιβιάδου	Ἀλκιβιάδης	2	n	-	s	-	-	-	m	g	-
γένος	γένος	3	n	-	s	-	-	-	n	n	-
ἄνωθεν	ἄνωθεν	4	d	-	-	-	-	-	-	-	-
Εὐρυσάκην	Εὐρυσάκης	5	n	-	s	-	-	-	m	a	-
τὸν	ὁ	6	l	-	s	-	-	-	m	a	-
Αἴαντος	Αἴας	7	n	-	s	-	-	-	m	g	-
ἀρχηγὸν	ἀρχηγός	8	a	-	s	-	-	-	m	a	-
ἔχειν	ἔχω	9	v	-	-	p	n	a	-	-	-
δοκεῖ	δοκέω	10	v	3	s	p	i	a	-	-	-
,	punc1	11	u	-	-	-	-	-	-	-	-
πρὸς	πρός	12	r	-	-	-	-	-	-	-	-
δὲ	δέ	13	c	-	-	-	-	-	-	-	-
μητρὸς	μήτηρ	14	n	-	s	-	-	-	f	g	-
Ἀλκμαιωνίδης	Ἀλκμαιωνίδης	15	n	-	s	-	-	-	m	n	-
ἦν	εἰμί	16	v	3	s	i	i	a	-	-	-
,	punc1	17	u	-	-	-	-	-	-	-	-
ἐκ	ἐκ	18	r	-	-	-	-	-	-	-	-
Δεινομάχης	Δεινομάχη	19	n	-	s	-	-	-	f	g	-
γεγονὼς	γίγνομαι	20	v	-	s	r	p	a	m	n	-
τῆς	ὁ	21	l	-	s	-	-	-	f	g	-
Μεγακλέους	Μεγακλῆς	22	n	-	s	-	-	-	m	g	-
.	punc1	23	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
πατὴρ	πατήρ	3	n	-	s	-	-	-	m	n	-
αὐτοῦ	αὐτός	4	p	-	s	-	-	-	m	g	-
Κλεινίας	Κλεινίας	5	n	-	s	-	-	-	m	n	-
ἰδιοστόλῳ	ἰδιόστολος	6	a	-	s	-	-	-	f	d	-
τριήρει	τριήρης	7	n	-	s	-	-	-	f	d	-
περὶ	περί	8	r	-	-	-	-	-	-	-	-
Ἀρτεμίσιον	Ἀρτεμίσιον	9	n	-	s	-	-	-	n	a	-
ἐνδόξως	ἔνδοξος	10	d	-	-	-	-	-	-	-	p
ἐναυμάχησεν	ναυμαχέω	11	v	3	s	a	i	a	-	-	-
,	punc1	12	u	-	-	-	-	-	-	-	-
ὕστερον	ὕστερος	13	a	-	s	-	-	-	n	a	-
δὲ	δέ	14	c	-	-	-	-	-	-	-	-
Βοιωτοῖς	Βοιωτός	15	n	-	p	-	-	-	m	d	-
μαχόμενος	μάχομαι	16	v	-	s	p	p	e	m	n	-
περὶ	περί	17	r	-	-	-	-	-	-	-	-
