form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὅτι	ὅτι1	1	d	-	-	-	-	-	-	-	-
κατὰ	κατά	2	r	-	-	-	-	-	-	-	-
τὸν	ὁ	3	l	-	s	-	-	-	m	a	-
καιρὸν	καιρός	4	n	-	s	-	-	-	m	a	-
τοῦτον	οὗτος	5	a	-	s	-	-	-	m	a	_
συνέβη	συμβαίνω	6	v	3	s	a	i	a	-	-	-
καὶ	καί	7	d	-	-	-	-	-	-	-	-
τὴν	ὁ	8	l	-	s	-	-	-	f	a	-
ἐκ	ἐκ	9	r	-	-	-	-	-	-	-	-
τῆς	ὁ	10	l	-	s	-	-	-	f	g	-
Ῥώμης	Ῥώμη	11	n	-	s	-	-	-	f	g	-
πρεσβείαν	πρεσβεία	12	n	-	s	-	-	-	f	a	-
,	punc1	13	u	-	-	-	-	-	-	-	-
ἣν	ὅς	14	p	-	s	-	-	-	f	a	-
ἀπέστειλαν	ἀποστέλλω	15	v	3	p	a	i	a	-	-	-
οἱ	ὁ	16	l	-	p	-	-	-	m	n	-
Λακεδαιμόνιοι	Λακεδαιμόνιος	17	n	-	p	-	-	-	m	n	-
,	punc1	18	u	-	-	-	-	-	-	-	-
παραγενέσθαι	παραγίγνομαι	19	v	-	-	a	n	m	-	-	-
διεψευσμένην	διαψεύδω	20	v	-	s	r	p	e	f	a	-
τῶν	ὁ	21	l	-	p	-	-	-	f	g	-
ἐλπίδων	ἐλπίς	22	n	-	p	-	-	-	f	g	-
.	punc1	23	u	-	-	-	-	-	-	-	-

ἐπρέσβευον	πρεσβεύω	1	v	3	p	i	i	a	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
περὶ	περί	4	r	-	-	-	-	-	-	-	-
τῶν	ὁ	5	l	-	p	-	-	-	m	g	-
ὁμήρων	ὅμηρος	6	n	-	p	-	-	-	m	g	-
καὶ	καί	7	c	-	-	-	-	-	-	-	-
τῶν	ὁ	8	l	-	p	-	-	-	f	g	-
κωμῶν	κώμη	9	n	-	p	-	-	-	f	g	-
·	punc1	10	u	-	-	-	-	-	-	-	-

ἡ	ὁ	1	l	-	s	-	-	-	f	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
σύγκλητος	σύγκλητος	3	n	-	s	-	-	-	f	n	-
περὶ	περί	4	r	-	-	-	-	-	-	-	-
μὲν	μέν	5	d	-	-	-	-	-	-	-	-
τῶν	ὁ	6	l	-	p	-	-	-	f	g	-
κωμῶν	κώμη	7	n	-	p	-	-	-	f	g	-
ἔφησεν	φημί	8	v	3	s	a	i	a	-	-	-
ἐντολὰς	ἐντολή	9	n	-	p	-	-	-	f	a	-
δώσειν	δίδωμι	10	v	-	-	f	n	a	-	-	-
τοῖς	ὁ	11	l	-	p	-	-	-	m	d	-
παρʼ	παρά	12	r	-	-	-	-	-	-	-	-
αὐτῶν	αὐτός	13	p	-	p	-	-	-	m	g	-
ἀποστελλομένοις	ἀποστέλλω	14	v	-	p	a	p	m	m	d	-
πρέσβεσιν	πρέσβυς	15	n	-	p	-	-	-	m	d	-
,	punc1	16	u	-	-	-	-	-	-	-	-
περὶ	περί	17	r	-	-	-	-	-	-	-	-
δὲ	δέ	18	c	-	-	-	-	-	-	-	-
τῶν	ὁ	19	l	-	p	-	-	-	m	g	-
ὁμήρων	ὅμηρος	20	n	-	p	-	-	-	m	g	-
ἔτι	ἔτι	21	d	-	-	-	-	-	-	-	-
βουλεύσασθαι	βουλεύω	22	v	-	-	a	n	m	-	-	-
θέλειν	ἐθέλω	23	v	-	-	p	n	a	-	-	-
.	punc1	24	u	-	-	-	-	-	-	-	-

περὶ	περί	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τῶν	ὁ	3	l	-	p	-	-	-	m	g	-
φυγάδων	φυγάς	4	n	-	p	-	-	-	m	g	-
τῶν	ὁ	5	l	-	p	-	-	-	m	g	-
ἀρχαίων	ἀρχαῖος	6	a	-	p	-	-	-	m	g	-
θαυμάζειν	θαυμάζω	7	v	-	-	p	n	a	-	-	-
ἔφησαν	φημί	8	v	3	p	a	i	a	-	-	-
,	punc1	9	u	-	-	-	-	-	-	-	-
πῶς	πως	10	d	-	-	-	-	-	-	-	-
οὐ	οὐ	11	d	-	-	-	-	-	-	-	-
κατάγουσιν	κατάγω	12	v	3	p	p	i	a	-	-	-
αὐτοὺς	αὐτός	13	p	-	p	-	-	-	m	a	-
εἰς	εἰς	14	r	-	-	-	-	-	-	-	-
τὴν	ὁ	15	l	-	s	-	-	-	f	a	-
οἰκείαν	οἰκεῖος	16	a	-	s	-	-	-	f	a	-
,	punc1	17	u	-	-	-	-	-	-	-	-
