form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
προεστὼς	προίστημι	3	v	-	s	r	p	a	m	n	-
τῶν	ὁ	4	l	-	p	-	-	-	m	g	-
Καρχηδονίων	Καρχηδόνιος	5	n	-	p	-	-	-	m	g	-
Ἀσδρούβας	Ἀσδρούβας	6	n	-	s	-	-	-	m	n	-
,	,	7	u	-	-	-	-	-	-	-	-
ὁρῶν	ὁράω	8	v	-	s	p	p	a	m	n	-
ἀποδειλιῶντας	ἀποδειλιάω	9	v	-	p	p	p	a	m	a	-
τοὺς	ὁ	10	l	-	p	-	-	-	m	a	-
Ῥωμαίους	Ῥωμαῖος	11	n	-	p	-	-	-	m	a	-
ἐν	εἰς	12	r	-	-	-	-	-	-	-	-
ταῖς	ὁ	13	l	-	p	-	-	-	f	d	-
προγεγενημέναις	προγίγνομαι	14	v	-	p	r	p	e	f	d	-
παρατάξεσιν	παράταξις	15	n	-	p	-	-	-	f	d	-
,	,	16	u	-	-	-	-	-	-	-	-
πυθόμενος	πύθω	17	v	-	s	p	p	p	m	n	-
τὸν	ὁ	18	l	-	s	-	-	-	m	a	-
μὲν	μέν	19	d	-	-	-	-	-	-	-	-
ἕνα	εἷς	20	n	-	s	-	-	-	m	a	-
τῶν	ὁ	21	l	-	p	-	-	-	m	g	-
στρατηγῶν	στρατηγός	22	n	-	p	-	-	-	m	g	-
μετὰ	μετά	23	r	-	-	-	-	-	-	-	-
τῆς	ὁ	24	l	-	s	-	-	-	f	g	-
ἡμισείας	ἥμισυς	25	a	-	p	-	-	-	f	a	-
δυνάμεως	δύναμις	26	n	-	s	-	-	-	f	g	-
εἰς	εἰς	27	r	-	-	-	-	-	-	-	-
τὴν	ὁ	28	l	-	s	-	-	-	f	a	-
Ἰταλίαν	Ἰταλία	29	n	-	s	-	-	-	f	a	-
ἀπηλλάχθαι	ἀπαλλαξείω	30	v	-	-	r	n	e	-	-	-
,	,	31	u	-	-	-	-	-	-	-	-
τὸν	ὁ	32	l	-	s	-	-	-	m	a	-
δὲ	δέ	33	c	-	-	-	-	-	-	-	-
Καικίλιον	Καικίλιος	34	n	-	s	-	-	-	m	a	-
ἐν	εἰς	35	r	-	-	-	-	-	-	-	-
τῷ	ὁ	36	l	-	s	-	-	-	f	d	-
Πανόρμῳ	Πάνορμος	37	n	-	s	-	-	-	m	d	-
διατρίβειν	διατρίβω	38	v	-	-	p	n	a	-	-	-
τὸ	ὁ	39	l	-	s	-	-	-	n	a	-
λοιπὸν	λοιπός	40	a	-	s	-	-	-	n	a	-
μέρος	μέρος	41	n	-	s	-	-	-	n	a	-
ἔχοντα	ἔχω	42	v	-	s	p	p	a	m	a	-
τῆς	ὁ	43	l	-	s	-	-	-	f	g	-
στρατιᾶς	στρατία	44	n	-	s	-	-	-	f	g	-
,	,	45	u	-	-	-	-	-	-	-	-
βουλόμενον	βούλομαι	46	v	-	s	p	p	e	m	a	-
ἐφεδρεῦσαι	ἐφεδρεύω	47	v	-	-	a	n	a	-	-	-
τοῖς	ὁ	48	l	-	p	-	-	-	m	d	-
τῶν	ὁ	49	l	-	p	-	-	-	m	g	-
συμμάχων	σύμμαχος	50	n	-	p	-	-	-	m	g	-
καρποῖς	καρπός2	51	n	-	p	-	-	-	m	d	-
ἀκμαζούσης	ἀκμάζω	52	v	-	s	p	p	a	f	g	-
τῆς	ὁ	53	l	-	s	-	-	-	f	g	-
συγκομιδῆς	συγκομιδή	54	n	-	s	-	-	-	f	g	-
,	,	55	u	-	-	-	-	-	-	-	-
ἀναλαβὼν	ἀναλαμβάνω	56	v	-	s	a	p	a	m	n	-
ἐκ	ἐκ	57	r	-	-	-	-	-	-	-	-
τοῦ	ὁ	58	l	-	s	-	-	-	m	g	-
Λιλυβαίου	Λιλυβαῖον	59	n	-	s	-	-	-	n	g	-
τὴν	ὁ	60	l	-	s	-	-	-	f	a	-
δύναμιν	δύναμις	61	n	-	s	-	-	-	f	a	-
ὥρμησεν	ὁρμάω	62	v	3	s	a	i	a	-	-	-
καὶ	καί	63	c	-	-	-	-	-	-	-	-
κατεστρατοπέδευσεν	καταστρατοπεδεύω	64	v	3	s	a	i	a	-	-	-
πρὸς	πρός	65	r	-	-	-	-	-	-	-	-
τοῖς	ὁ	66	l	-	p	-	-	-	m	d	-
ὅροις	ὅρος	67	n	-	p	-	-	-	m	d	-
τῆς	ὁ	68	l	-	s	-	-	-	f	g	-
χώρας	χώρα	69	n	-	s	-	-	-	f	g	-
τῆς	ὁ	70	l	-	s	-	-	-	f	g	-
Πανορμίτιδος	Πανορμῖτις	71	n	-	s	-	-	-	f	g	-
.	.	72	u	-	-	-	-	-	-	-	-

ὁ	ὁ	1	l	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
Καικίλιος	Καικίλιος	3	n	-	s	-	-	-	m	n	-
,	,	4	u	-	-	-	-	-	-	-	-
θεωρῶν	θεωρέω	5	v	-	s	p	p	a	m	n	-
αὐτὸν	αὐτός	6	p	-	s	-	-	-	m	a	-
κατατεθαρρηκότα	κατά-θαρσέω	7	v	-	s	r	p	a	m	a	-
,	,	8	u	-	-	-	-	-	-	-	-
καὶ	καί	9	c	-	-	-	-	-	-	-	-
σπουδάζων	σπουδάζω	10	v	-	s	p	p	a	m	n	-
ἐκκαλεῖσθαι	ἐκκαλέω	11	v	-	-	p	n	e	-	-	-
τὴν	ὁ	12	l	-	s	-	-	-	f	a	-
ὁρμὴν	ὁρμή	13	n	-	s	-	-	-	f	a	-
αὐτοῦ	αὐτός	14	p	-	s	-	-	-	m	g	-
,	,	15	u	-	-	-	-	-	-	-	-
συνεῖχε	συνόχωκα	16	v	3	s	i	i	a	-	-	-
τοὺς	ὁ	17	l	-	p	-	-	-	m	a	-
στρατιώτας	στρατιώτης	18	n	-	p	-	-	-	m	a	-
ἐντὸς	ἐντός	19	r	-	-	-	-	-	-	-	-
τῶν	ὁ	20	l	-	p	-	-	-	f	g	-
πυλῶν	πύλη	21	n	-	p	-	-	-	f	g	-
.	.	22	u	-	-	-	-	-	-	-	-

οἷς	ὅς	1	p	-	p	-	-	-	n	d	-
ἐπαιρόμενος	ἐπαίρω	2	v	-	s	p	p	e	m	n	-
