form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
περὶ	περί	1	r	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τῆς	ὁ	3	l	-	s	-	-	-	f	g	-
Ἀθηναίων	Ἀθήναιος	4	n	-	p	-	-	-	m	g	-
πολιτείας	πολιτεία	5	n	-	s	-	-	-	f	g	-
,	punc1	6	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	7	c	-	-	-	-	-	-	-	-
μὲν	μέν	8	d	-	-	-	-	-	-	-	-
εἵλοντο	αἱρέω	9	v	3	p	a	i	m	-	-	-
τοῦτον	οὗτος	10	a	-	s	-	-	-	m	a	_
τὸν	ὁ	11	l	-	s	-	-	-	m	a	-
τρόπον	τρόπος	12	n	-	s	-	-	-	m	a	-
τῆς	ὁ	13	l	-	s	-	-	-	f	g	-
πολιτείας	πολιτεία	14	n	-	s	-	-	-	f	g	-
οὐκ	οὐ	15	d	-	-	-	-	-	-	-	-
ἐπαινῶ	ἐπαινέω	16	v	1	s	p	i	a	-	-	-
διὰ	διά	17	r	-	-	-	-	-	-	-	-
τόδε	ὅδε	18	p	-	s	-	-	-	n	a	-
,	punc1	19	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	20	c	-	-	-	-	-	-	-	-
ταῦθ᾽	οὗτος	21	p	-	p	-	-	-	n	a	-
ἑλόμενοι	αἱρέω	22	v	-	p	a	p	m	m	n	-
εἵλοντο	αἱρέω	23	v	3	p	a	i	m	-	-	-
τοὺς	ὁ	24	l	-	p	-	-	-	m	a	-
πονηροὺς	πονηρός	25	a	-	p	-	-	-	m	a	-
ἄμεινον	ἀμείνων	26	a	-	s	-	-	-	n	a	c
πράττειν	πράσσω	27	v	-	-	p	n	a	-	-	-
ἢ	ἢ	28	c	-	-	-	-	-	-	-	-
τοὺς	ὁ	29	l	-	p	-	-	-	m	a	-
χρηστούς	χρηστός	30	a	-	p	-	-	-	m	a	-
:	punc1	31	u	-	-	-	-	-	-	-	-

διὰ	διά	1	r	-	-	-	-	-	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	4	p	-	s	-	-	-	n	a	-
οὐκ	οὐ	5	d	-	-	-	-	-	-	-	-
ἐπαινῶ	ἐπαινέω	6	v	1	s	p	i	a	-	-	-
.	punc1	7	u	-	-	-	-	-	-	-	-

ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ταῦτα	οὗτος	3	p	-	p	-	-	-	n	n	-
ἔδοξεν	δοκέω	4	v	3	s	a	i	a	-	-	-
οὕτως	οὕτως	5	d	-	-	-	-	-	-	-	-
αὐτοῖς	αὐτός	6	p	-	p	-	-	-	m	d	-
,	punc1	7	u	-	-	-	-	-	-	-	-
