form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
Κῦρος	Κῦρος	1	n	-	s	-	-	-	m	n	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἐλθὼν	ἔρχομαι	3	v	-	s	a	p	a	m	n	-
οἴκαδε	οἴκαδε	4	d	-	-	-	-	-	-	-	-
καὶ	καί	5	c	-	-	-	-	-	-	-	-
προσευξάμενος	προσεύχομαι	6	v	-	s	a	p	m	m	n	-
Ἑστίᾳ	Ἑστία	7	n	-	s	-	-	-	f	d	-
πατρῴᾳ	πατρῷος	8	a	-	s	-	-	-	f	d	-
καὶ	καί	9	d	-	-	-	-	-	-	-	-
Διὶ	Ζεύς	10	n	-	s	-	-	-	m	d	-
πατρῴῳ	πατρῷος	11	a	-	s	-	-	-	m	d	-
καὶ	καί	12	c	-	-	-	-	-	-	-	-
τοῖς	ὁ	13	l	-	p	-	-	-	m	d	-
ἄλλοις	ἄλλος	14	a	-	p	-	-	-	m	d	_
θεοῖς	θεός	15	n	-	p	-	-	-	m	d	-
ὡρμᾶτο	ὁρμάω	16	v	3	s	i	i	e	-	-	-
ἐπὶ	ἐπί	17	r	-	-	-	-	-	-	-	-
τὴν	ὁ	18	l	-	s	-	-	-	f	a	-
στρατείαν	στρατεία	19	n	-	s	-	-	-	f	a	-
,	,	20	u	-	-	-	-	-	-	-	-
συμπρούπεμπε	συμπροπέμπω	21	v	3	s	i	i	a	-	-	-
δὲ	δέ	22	c	-	-	-	-	-	-	-	-
αὐτὸν	αὐτός	23	p	-	s	-	-	-	m	a	-
καὶ	καί	24	d	-	-	-	-	-	-	-	-
ὁ	ὁ	25	l	-	s	-	-	-	m	n	-
πατήρ	πατήρ	26	n	-	s	-	-	-	m	n	-
.	.	27	u	-	-	-	-	-	-	-	-

ἐπεὶ	ἐπεί	1	c	-	-	-	-	-	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
ἔξω	ἔξω	3	r	-	-	-	-	-	-	-	-
τῆς	ὁ	4	l	-	s	-	-	-	f	g	-
οἰκίας	οἰκία	5	n	-	s	-	-	-	f	g	-
ἐγένοντο	γίγνομαι	6	v	3	p	a	i	m	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
λέγονται	λέγω3	8	v	3	p	p	i	e	-	-	-
ἀστραπαὶ	ἀστραπή	9	n	-	p	-	-	-	f	n	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
βρονταὶ	βροντή	11	n	-	p	-	-	-	f	n	-
αὐτῷ	αὐτός	12	p	-	s	-	-	-	m	d	-
αἴσιοι	αἴσιος	13	a	-	p	-	-	-	m	n	-
γενέσθαι	γίγνομαι	14	v	-	-	a	n	m	-	-	-
.	.	15	u	-	-	-	-	-	-	-	-

τούτων	οὗτος	1	p	-	p	-	-	-	n	g	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
φανέντων	φαίνω	3	v	-	p	a	p	p	n	g	-
οὐδὲν	οὐδείς	4	p	-	s	-	-	-	n	a	-
ἄλλο	ἄλλος	5	a	-	s	-	-	-	n	a	_
ἔτι	ἔτι	6	d	-	-	-	-	-	-	-	-
οἰωνιζόμενοι	οἰωνίζομαι	7	v	-	p	p	p	e	m	n	-
ἐπορεύοντο	πορεύω	8	v	3	p	i	i	e	-	-	-
,	,	9	u	-	-	-	-	-	-	-	-
ὡς	ὡς	10	c	-	-	-	-	-	-	-	-
οὐδένα	οὐδείς	11	p	-	s	-	-	-	m	a	-
ἂν	ἄν1	12	d	-	-	-	-	-	-	-	-
λύσαντα	λύω	13	v	-	s	a	p	a	m	a	-
τὰ	ὁ	14	l	-	p	-	-	-	n	a	-
τοῦ	ὁ	15	l	-	s	-	-	-	m	g	-
μεγίστου	μέγας	16	a	-	s	-	-	-	m	g	s
θεοῦ	θεός	17	n	-	s	-	-	-	m	g	-
σημεῖα	σημεῖον	18	n	-	p	-	-	-	n	a	-
.	.	19	u	-	-	-	-	-	-	-	-

προϊόντι	πρόειμι2	1	v	-	s	p	p	a	m	d	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
τῷ	ὁ	3	l	-	s	-	-	-	m	d	-
Κύρῳ	Κῦρος	4	n	-	s	-	-	-	m	d	-
ὁ	ὁ	5	l	-	s	-	-	-	m	n	-
πατὴρ	πατήρ	6	n	-	s	-	-	-	m	n	-
ἤρχετο	ἄρχω	7	v	3	s	i	i	e	-	-	-
λόγου	λόγος	8	n	-	s	-	-	-	m	g	-
τοιοῦδε	τοιόσδε	9	a	-	s	-	-	-	m	g	_
.	.	10	u	-	-	-	-	-	-	-	-

ὦ	ὦ	1	i	-	-	-	-	-	-	-	-
παῖ	παῖς	2	n	-	s	-	-	-	m	v	-
,	,	3	u	-	-	-	-	-	-	-	-
ὅτι	ὅτι2	4	c	-	-	-	-	-	-	-	-
μὲν	μέν	5	d	-	-	-	-	-	-	-	-
οἱ	ὁ	6	l	-	p	-	-	-	m	n	-
θεοὶ	θεός	7	n	-	p	-	-	-	m	n	-
ἵλεῴ	ἵλαος	8	a	-	p	-	-	-	m	n	p
τε	τε	9	d	-	-	-	-	-	-	-	-
καὶ	καί	10	c	-	-	-	-	-	-	-	-
εὐμενεῖς	εὐμενής	11	a	-	p	-	-	-	m	a	-
πέμπουσί	πέμπω	12	v	3	p	p	i	a	-	-	-
σε	σύ	13	p	-	s	-	-	-	m	a	-
καὶ	καί	14	d	-	-	-	-	-	-	-	-
ἐν	ἐν	15	r	-	-	-	-	-	-	-	-
ἱεροῖς	ἱερός	16	a	-	p	-	-	-	n	d	-
δῆλον	δῆλος	17	a	-	s	-	-	-	n	n	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
ἐν	ἐν	19	r	-	-	-	-	-	-	-	-
οὐρανίοις	οὐράνιος	20	a	-	p	-	-	-	n	d	-
σημείοις	σημεῖον	21	n	-	p	-	-	-	n	d	-
·	·	22	u	-	-	-	-	-	-	-	-

γιγνώσκεις	γιγνώσκω	1	v	2	s	p	i	a	-	-	-
δὲ	δέ	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
αὐτός	αὐτός	4	p	-	s	-	-	-	m	n	-
.	.	5	u	-	-	-	-	-	-	-	-

ἐγὼ	ἐγώ	1	p	1	s	-	-	-	m	n	-
γάρ	γάρ	2	d	-	-	-	-	-	-	-	-
σε	σύ	3	p	-	s	-	-	-	m	a	-
ταῦτα	οὗτος	4	p	-	p	-	-	-	n	a	-
ἐπίτηδες	ἐπίτηδες	5	d	-	-	-	-	-	-	-	-
ἐδιδαξάμην	διδάσκω	6	v	1	s	a	i	m	-	-	-
,	,	7	u	-	-	-	-	-	-	-	-
ὅπως	ὅπως	8	c	-	-	-	-	-	-	-	-
μὴ	μή	9	d	-	-	-	-	-	-	-	-
δι’	διά	10	r	-	-	-	-	-	-	-	-
ἄλλων	ἄλλος	11	a	-	p	-	-	-	m	g	_
ἑρμηνέων	ἑρμηνεύς	12	n	-	p	-	-	-	m	g	-
τὰς	ὁ	13	l	-	p	-	-	-	f	a	-
τῶν	ὁ	14	l	-	p	-	-	-	m	g	-
θεῶν	θεός	15	n	-	p	-	-	-	m	g	-
συμβουλίας	συμβουλία	16	n	-	p	-	-	-	f	a	-
συνιείης	συνίημι	17	v	2	s	p	o	a	-	-	-
,	,	18	u	-	-	-	-	-	-	-	-
ἀλλ’	ἀλλά	19	c	-	-	-	-	-	-	-	-
αὐτὸς	αὐτός	20	p	-	s	-	-	-	m	n	-
καὶ	καί	21	d	-	-	-	-	-	-	-	-
ὁρῶν	ὁράω	22	v	-	s	p	p	a	m	n	-
τὰ	ὁ	23	l	-	p	-	-	-	n	a	-
ὁρατὰ	ὁρατός	24	a	-	p	-	-	-	n	a	-
καὶ	καί	25	c	-	-	-	-	-	-	-	-
ἀκούων	ἀκούω	26	v	-	s	p	p	a	m	n	-
τὰ	ὁ	27	l	-	p	-	-	-	n	a	-
