form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
τοιοῦτον	τοιοῦτος	1	a	-	s	-	-	-	m	a	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
πολίτην	πολίτης	3	n	-	s	-	-	-	m	a	-
ἑαυτὸν	ἑαυτοῦ	4	p	-	s	-	-	-	m	a	-
ἐξ	ἐκ	5	r	-	-	-	-	-	-	-	-
ἀρχῆς	ἀρχή	6	n	-	s	-	-	-	f	g	-
παρέσχεν	παρέχω	7	v	3	s	a	i	a	-	-	-
,	,	8	u	-	-	-	-	-	-	-	-
ὥστε	ὥστε	9	c	-	-	-	-	-	-	-	-
καὶ	καί	10	d	-	-	-	-	-	-	-	-
εἰ	εἰ	11	c	-	-	-	-	-	-	-	-
μή	μή	12	d	-	-	-	-	-	-	-	-
τις	τις	13	p	-	s	-	-	-	m	n	-
ἰδία	ἴδιος	14	a	-	p	-	-	-	n	a	-
ἀδικούμενος	ἀδικέω	15	v	-	s	p	p	e	m	n	-
ὑπ̓	ὑπό	16	r	-	-	-	-	-	-	-	-
αὐτοῦ	αὐτός	17	p	-	s	-	-	-	m	g	-
τυγχάνει	τυγχάνω	18	v	3	s	p	i	a	-	-	-
,	,	19	u	-	-	-	-	-	-	-	-
οὐδὲν	οὐδείς	20	p	-	s	-	-	-	n	a	-
ἧττον	ἥσσων	21	a	-	s	-	-	-	n	a	c
προσήκει	προσήκω	22	v	3	s	p	i	a	-	-	-
ἐκ	ἐκ	23	r	-	-	-	-	-	-	-	-
τῶν	ὁ	24	l	-	p	-	-	-	n	g	-
ἄλλων	ἄλλος	25	a	-	p	-	-	-	n	g	-
ἐπιτηδευμάτων	ἐπιτήδευμα	26	n	-	p	-	-	-	n	g	-
ἐχθρὸν	ἐχθρός	27	a	-	s	-	-	-	m	a	-
αὐτὸν	αὐτός	28	p	-	s	-	-	-	m	a	-
ἡγεῖσθαι	ἡγέομαι	29	v	-	-	p	n	e	-	-	-
.	.	30	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
μικρὰ	σμικρός	3	a	-	p	-	-	-	n	n	-
τὰ	ὁ	4	l	-	p	-	-	-	n	n	-
ἁμαρτήματα	ἁμάρτημα	5	n	-	p	-	-	-	n	n	-
οὐδὲ	οὐδέ	6	c	-	-	-	-	-	-	-	-
συγγνώμης	συγγνώμη	7	n	-	s	-	-	-	f	g	-
ἄξια	ἄξιος	8	a	-	p	-	-	-	n	n	-
,	,	9	u	-	-	-	-	-	-	-	-
οὐδ̓	οὐδέ	10	c	-	-	-	-	-	-	-	-
ἐλπίδα	ἐλπίς	11	n	-	s	-	-	-	f	a	-
παρέχοντα	παρέχω	12	v	-	p	p	p	a	n	n	-
ὡς	ὡς	13	c	-	-	-	-	-	-	-	-
ἔσται	εἰμί	14	v	3	s	f	i	m	-	-	-
τοῦ	ὁ	15	l	-	s	-	-	-	n	g	-
λοιποῦ	λοιπός	16	a	-	s	-	-	-	n	g	-
βελτίων	βελτίων	17	a	-	s	-	-	-	m	n	c
,	,	18	u	-	-	-	-	-	-	-	-
ἀλλ̓	ἀλλά	19	c	-	-	-	-	-	-	-	-
